Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2652538975,Torbo,0,164.7,P Trevor Bauer P Kevin Gausman SS Didi Gregorius 1B Rhys Hoskins OF Andrew McCutchen OF Mark Canha 3B Alec Bohm 2B Garrett Hampson OF Raimel Tapia C Elias D?az,,Trevor Bauer,P,80.00%,28.5
2,2652706205,cwisp,0,156.9,P Kevin Gausman P Pablo L?pez OF Bryce Harper C J.T. Realmuto SS Trevor Story 1B Rhys Hoskins OF Andrew McCutchen 3B Alec Bohm 2B Jake Cronenworth OF Raimel Tapia,,Bryce Harper,OF,70.00%,9
3,2652736082,bigpigdaddy,0,139.7,P Trevor Bauer P Kevin Gausman OF Bryce Harper 2B Jed Lowrie C Buster Posey OF Andrew McCutchen SS Brandon Crawford OF Raimel Tapia 3B Jon Berti 1B Brandon Belt,,Kevin Gausman,P,60.00%,36.2
4,2652765528,BellaBugsy,0,136.5,P Kevin Gausman P Dallas Keuchel SS Tim Anderson C J.T. Realmuto 1B Rhys Hoskins OF Luis Robert 3B Yo?n Moncada 2B Tommy La Stella OF Alex Dickerson OF AJ Pollock,,Rhys Hoskins,1B,60.00%,36
5,2652759037,JPFJR,0,132.7,P Trevor Bauer P Kevin Gausman OF Bryce Harper C J.T. Realmuto 2B Jed Lowrie OF Mark Canha 3B Austin Riley 1B Mitch Moreland OF Stephen Piscotty SS Nick Maton,,Alec Bohm,3B,50.00%,2
6,2652716596,cmurph2299,0,127.2,P Trevor Bauer P Pablo L?pez OF Bryce Harper C J.T. Realmuto 1B Rhys Hoskins 3B Matt Chapman 2B Tommy La Stella OF Stephen Piscotty SS Nick Maton OF Magneuris Sierra,,J.T. Realmuto,C,50.00%,7
7,2652729033,djallen89,0,121.2,P Trevor Bauer P Pablo L?pez OF Bryce Harper C J.T. Realmuto 1B Rhys Hoskins SS Jazz Chisholm Jr. 3B Alec Bohm 2B Nick Madrigal OF Roman Quinn OF Magneuris Sierra,,Raimel Tapia,OF,40.00%,13
8,2652704435,billpal,0,112.7,P Trevor Bauer P Kevin Gausman OF Bryce Harper 1B Matt Olson C Buster Posey 3B Alec Bohm 2B Garrett Hampson OF Adolis Garc?a OF Stephen Piscotty SS Nick Maton,,Buster Posey,C,40.00%,2
9,2652770517,MikeP212,0,112.2,P Trevor Bauer P Kyle Gibson OF Bryce Harper 1B Rhys Hoskins C Buster Posey 2B Jazz Chisholm Jr. OF Joey Gallo 3B Alec Bohm OF Roman Quinn SS Nick Maton,,Nick Maton,SS,40.00%,10
10,2652769615,xxxStrat9xxx,0,101.05,P Trevor Bauer P Aaron Nola 3B Justin Turner C Buster Posey OF Cedric Mullins SS Freddy Galvis 2B Garrett Hampson 1B Jes?s Aguilar OF Raimel Tapia OF DJ Stewart,,Andrew McCutchen,OF,30.00%,9
,,,,,,,Garrett Hampson,2B,30.00%,8
,,,,,,,Stephen Piscotty,OF,30.00%,0
,,,,,,,Pablo L?pez,P,30.00%,23.7
,,,,,,,Mark Canha,OF,20.00%,20
,,,,,,,Tommy La Stella,2B,20.00%,3
,,,,,,,Magneuris Sierra,OF,20.00%,6
,,,,,,,Jazz Chisholm Jr.,SS,20.00%,0
,,,,,,,Roman Quinn,OF,20.00%,2
,,,,,,,Jed Lowrie,2B,20.00%,18
,,,,,,,Didi Gregorius,SS,10.00%,5
,,,,,,,Elias D?az,C,10.00%,7
,,,,,,,Matt Olson,1B,10.00%,14
,,,,,,,Adolis Garc?a,OF,10.00%,3
,,,,,,,Trevor Story,SS,10.00%,10
,,,,,,,Jake Cronenworth,2B,10.00%,11
,,,,,,,Matt Chapman,3B,10.00%,4
,,,,,,,Nick Madrigal,2B,10.00%,7
,,,,,,,Brandon Crawford,SS,10.00%,0
,,,,,,,Jon Berti,3B,10.00%,16
,,,,,,,Brandon Belt,1B,10.00%,8
,,,,,,,Austin Riley,3B,10.00%,0
,,,,,,,Mitch Moreland,1B,10.00%,4
,,,,,,,Dallas Keuchel,P,10.00%,13.3
,,,,,,,Tim Anderson,SS,10.00%,3
,,,,,,,Luis Robert,OF,10.00%,7
,,,,,,,Yo?n Moncada,3B,10.00%,11
,,,,,,,Alex Dickerson,OF,10.00%,7
,,,,,,,AJ Pollock,OF,10.00%,13
,,,,,,,Aaron Nola,P,10.00%,15.55
,,,,,,,Justin Turner,3B,10.00%,7
,,,,,,,Cedric Mullins,OF,10.00%,5
,,,,,,,Freddy Galvis,SS,10.00%,3
,,,,,,,Jes?s Aguilar,1B,10.00%,16
,,,,,,,DJ Stewart,OF,10.00%,3
,,,,,,,Kyle Gibson,P,10.00%,16.7
,,,,,,,Joey Gallo,OF,10.00%,6
