Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob deGrom (22179117),Jacob deGrom,22179117,P,11400,SF@NYM 04/18/2022 07:10PM ET,NYM,0
SP,Brandon Woodruff (22179118),Brandon Woodruff,22179118,P,11300,PIT@MIL 04/18/2022 07:40PM ET,MIL,4.25
SP,Walker Buehler (22179119),Walker Buehler,22179119,P,11000,ATL@LAD 04/18/2022 10:10PM ET,LAD,14.8
RP,Corbin Burnes (22179120),Corbin Burnes,22179120,P,10900,PIT@MIL 04/18/2022 07:40PM ET,MIL,18.9
SP,Dinelson Lamet (22179121),Dinelson Lamet,22179121,P,10800,CIN@SD 04/18/2022 09:40PM ET,SD,4.83
SP,Yu Darvish (22179122),Yu Darvish,22179122,P,10700,CIN@SD 04/18/2022 09:40PM ET,SD,0.12
SP,Tyler Glasnow (22179123),Tyler Glasnow,22179123,P,10600,TB@CHC 04/18/2022 07:40PM ET,TB,0
SP,Max Scherzer (22179124),Max Scherzer,22179124,P,10600,SF@NYM 04/18/2022 07:10PM ET,NYM,21.48
SP,Luis Castillo (22179126),Luis Castillo,22179126,P,10500,CIN@SD 04/18/2022 09:40PM ET,CIN,0
SP,Julio Urias (22179125),Julio Urias,22179125,P,10500,ATL@LAD 04/18/2022 10:10PM ET,LAD,6.58
SP,Freddy Peralta (22179127),Freddy Peralta,22179127,P,10400,PIT@MIL 04/18/2022 07:40PM ET,MIL,3.78
SP,Clayton Kershaw (22178364),Clayton Kershaw,22178364,P,10300,ATL@LAD 04/18/2022 10:10PM ET,LAD,45.75
SP,Chris Bassitt (22179128),Chris Bassitt,22179128,P,10100,SF@NYM 04/18/2022 07:10PM ET,NYM,27.8
SP,Justin Verlander (22179129),Justin Verlander,22179129,P,10000,LAA@HOU 04/18/2022 08:10PM ET,HOU,27.62
SP,Aaron Nola (22178365),Aaron Nola,22178365,P,9900,PHI@COL 04/18/2022 08:40PM ET,PHI,13.6
