,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4
0,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,04-24-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aaron Nola,Aaron Nola,Aaron Nola,Aaron Nola,Adolis Garcia,Aaron Nola,Aaron Nola,Aaron Nola,Aaron Nola,Adolis Garcia,Aaron Nola,Aaron Nola,Aaron Nola,Aaron Nola,Adolis Garcia,Aaron Nola,Aaron Nola,Aaron Nola,Aaron Nola,Adolis Garcia,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Adolis Garcia,3.0,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Adolis Garcia,3.0,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Adolis Garcia,3.0,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Aaron Nola,15.549999999999999,Adolis Garcia,3.0
2,Adam Eaton,Adam Eaton,Adolis Garcia,Adolis Garcia,Alec Bohm,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Alec Bohm,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,DJ Stewart,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,DJ Stewart,Adam Eaton,0.0,Adam Eaton,0.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Alec Bohm,2.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Alec Bohm,2.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,DJ Stewart,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,DJ Stewart,3.0
3,Adolis Garcia,Adolis Garcia,Alec Bohm,Alec Bohm,J.T. Realmuto,Buster Posey,Buster Posey,Buster Posey,Buster Posey,Isiah Kiner-Falefa,Brandon Belt,Brandon Belt,DJ Stewart,DJ Stewart,Didi Gregorius,Brandon Belt,Brandon Belt,DJ Stewart,DJ Stewart,Isiah Kiner-Falefa,Adolis Garcia,3.0,Adolis Garcia,3.0,Alec Bohm,2.0,Alec Bohm,2.0,J.T. Realmuto,7.0,Buster Posey,2.0,Buster Posey,2.0,Buster Posey,2.0,Buster Posey,2.0,Isiah Kiner-Falefa,3.0,Brandon Belt,8.0,Brandon Belt,8.0,DJ Stewart,3.0,DJ Stewart,3.0,Didi Gregorius,5.0,Brandon Belt,8.0,Brandon Belt,8.0,DJ Stewart,3.0,DJ Stewart,3.0,Isiah Kiner-Falefa,3.0
4,Brandon Belt,Brandon Belt,Buster Posey,Buster Posey,Kevin Gausman,Eric Hosmer,Eric Hosmer,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Jose Trevino,DJ Stewart,DJ Stewart,Isiah Kiner-Falefa,Isiah Kiner-Falefa,J.T. Realmuto,DJ Stewart,DJ Stewart,Isiah Kiner-Falefa,Isiah Kiner-Falefa,J.T. Realmuto,Brandon Belt,8.0,Brandon Belt,8.0,Buster Posey,2.0,Buster Posey,2.0,Kevin Gausman,36.199999999999996,Eric Hosmer,6.0,Eric Hosmer,6.0,Isiah Kiner-Falefa,3.0,Isiah Kiner-Falefa,3.0,Jose Trevino,0.0,DJ Stewart,3.0,DJ Stewart,3.0,Isiah Kiner-Falefa,3.0,Isiah Kiner-Falefa,3.0,J.T. Realmuto,7.0,DJ Stewart,3.0,DJ Stewart,3.0,Isiah Kiner-Falefa,3.0,Isiah Kiner-Falefa,3.0,J.T. Realmuto,7.0
5,Buster Posey,Buster Posey,Mark Canha,Mark Canha,Mark Canha,Justin Turner,Justin Turner,Justin Turner,Justin Turner,Kevin Gausman,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,Justin Turner,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,Justin Turner,Buster Posey,2.0,Buster Posey,2.0,Mark Canha,20.0,Mark Canha,20.0,Mark Canha,20.0,Justin Turner,7.0,Justin Turner,7.0,Justin Turner,7.0,Justin Turner,7.0,Kevin Gausman,36.199999999999996,J.T. Realmuto,7.0,J.T. Realmuto,7.0,J.T. Realmuto,7.0,J.T. Realmuto,7.0,Justin Turner,7.0,J.T. Realmuto,7.0,J.T. Realmuto,7.0,J.T. Realmuto,7.0,J.T. Realmuto,7.0,Justin Turner,7.0
6,Justin Turner,Justin Turner,Nate Lowe,Nate Lowe,Matt Olson,Kevin Gausman,Kevin Gausman,Kevin Gausman,Kevin Gausman,Mark Canha,Jed Lowrie,Jed Lowrie,Kevin Gausman,Kevin Gausman,Kevin Gausman,Jed Lowrie,Jed Lowrie,Justin Turner,Justin Turner,Kevin Gausman,Justin Turner,7.0,Justin Turner,7.0,Nate Lowe,8.0,Nate Lowe,8.0,Matt Olson,14.0,Kevin Gausman,36.199999999999996,Kevin Gausman,36.199999999999996,Kevin Gausman,36.199999999999996,Kevin Gausman,36.199999999999996,Mark Canha,20.0,Jed Lowrie,18.0,Jed Lowrie,18.0,Kevin Gausman,36.199999999999996,Kevin Gausman,36.199999999999996,Kevin Gausman,36.199999999999996,Jed Lowrie,18.0,Jed Lowrie,18.0,Justin Turner,7.0,Justin Turner,7.0,Kevin Gausman,36.199999999999996
7,Mark Canha,Mark Canha,Nick Maton,Nick Maton,Nick Maton,Mark Canha,Mark Canha,Mark Canha,Mark Canha,Matt Olson,Justin Turner,Justin Turner,Maikel Franco,Maikel Franco,Mark Canha,Justin Turner,Justin Turner,Kevin Gausman,Kevin Gausman,Mark Canha,Mark Canha,20.0,Mark Canha,20.0,Nick Maton,10.0,Nick Maton,10.0,Nick Maton,10.0,Mark Canha,20.0,Mark Canha,20.0,Mark Canha,20.0,Mark Canha,20.0,Matt Olson,14.0,Justin Turner,7.0,Justin Turner,7.0,Maikel Franco,3.0,Maikel Franco,3.0,Mark Canha,20.0,Justin Turner,7.0,Justin Turner,7.0,Kevin Gausman,36.199999999999996,Kevin Gausman,36.199999999999996,Mark Canha,20.0
8,Nick Madrigal,Nick Madrigal,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Matt Olson,Matt Olson,Nick Solak,Kevin Gausman,Kevin Gausman,Mark Canha,Mark Canha,Matt Olson,Kevin Gausman,Kevin Gausman,Matt Olson,Matt Olson,Matt Olson,Nick Madrigal,7.0,Nick Madrigal,7.0,Nick Solak,8.0,Nick Solak,8.0,Nick Solak,8.0,Nick Solak,8.0,Nick Solak,8.0,Matt Olson,14.0,Matt Olson,14.0,Nick Solak,8.0,Kevin Gausman,36.199999999999996,Kevin Gausman,36.199999999999996,Mark Canha,20.0,Mark Canha,20.0,Matt Olson,14.0,Kevin Gausman,36.199999999999996,Kevin Gausman,36.199999999999996,Matt Olson,14.0,Matt Olson,14.0,Matt Olson,14.0
9,Nick Maton,Nick Maton,Stephen Piscotty,Stephen Piscotty,Trevor Bauer,Stephen Piscotty,Stephen Piscotty,Nick Solak,Nick Solak,Stephen Piscotty,Mark Canha,Mark Canha,Nate Lowe,Nate Lowe,Nick Solak,Mark Canha,Mark Canha,Nick Solak,Nick Solak,Nick Solak,Nick Maton,10.0,Nick Maton,10.0,Stephen Piscotty,0.0,Stephen Piscotty,0.0,Trevor Bauer,28.5,Stephen Piscotty,0.0,Stephen Piscotty,0.0,Nick Solak,8.0,Nick Solak,8.0,Stephen Piscotty,0.0,Mark Canha,20.0,Mark Canha,20.0,Nate Lowe,8.0,Nate Lowe,8.0,Nick Solak,8.0,Mark Canha,20.0,Mark Canha,20.0,Nick Solak,8.0,Nick Solak,8.0,Nick Solak,8.0
