"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Nico Hoerner","CHC","3","7","10","4","1","3","0","0","0","3","3","0","2","0","0","0","0","0","0",".571","21479"
"Chris Owings","COL","7","15","17","8","2","3","3","0","6","3","2","0","2","0","0","0","0","2","0",".533","10030"
"Ryan O'Hearn","KCR","1","2","4","1","0","0","0","1","1","1","2","0","0","0","0","0","0","0","0",".500","16442"
"Nick Maton","PHI","5","19","20","9","6","3","0","0","1","1","0","0","6","1","0","0","0","0","0",".474","21635"
"Ketel Marte","ARI","6","26","28","12","6","4","0","2","5","5","2","0","4","0","0","0","1","0","0",".462","13613"
"Yermin Mercedes","CHW","18","66","71","29","20","5","0","4","8","15","5","1","10","0","0","0","1","0","1",".439","17423"
"Alex Blandino","CIN","13","16","19","7","4","3","0","0","4","4","2","0","5","1","0","0","0","0","0",".438","16271"
"Josh Donaldson","MIN","8","24","27","10","8","1","0","1","4","4","2","0","2","0","1","0","2","0","0",".417","5038"
"Andy Young","ARI","7","5","10","2","0","0","0","2","3","5","2","0","2","3","0","0","0","0","0",".400","19521"
"Ronald Acuna Jr.","ATL","17","66","76","26","12","6","1","7","21","16","9","0","10","0","1","0","0","3","0",".394","18401"
"Mike Trout","LAA","17","56","71","22","11","5","0","6","15","12","14","3","20","1","0","0","0","0","0",".393","10155"
"Brandon Nimmo","NYM","15","51","62","20","15","4","0","1","7","8","10","0","15","0","0","1","0","2","0",".392","12927"
"Byron Buxton","MIN","14","51","55","20","8","6","0","6","10","11","2","0","12","2","0","0","0","1","0",".392","14161"
"Max Stassi","LAA","7","16","19","6","5","0","0","1","3","1","3","0","3","0","0","0","1","0","0",".375","10059"
"Danny Mendick","CHW","8","16","21","6","6","0","0","0","2","2","5","0","5","0","0","0","0","0","0",".375","18889"
"Jesse Winker","CIN","15","59","65","22","14","4","1","3","11","10","6","0","13","0","0","0","0","0","0",".373","13590"
"Omar Narvaez","MIL","17","51","60","19","15","1","0","3","7","11","6","0","7","2","1","0","1","0","0",".373","13338"
"Xander Bogaerts","BOS","20","78","83","29","19","7","0","3","9","11","5","1","14","0","0","0","2","1","0",".372","12161"
"Brad Miller","PHI","10","19","20","7","6","0","0","1","4","3","1","0","6","0","0","0","1","0","0",".368","12775"
"Tyler Stephenson","CIN","12","30","33","11","9","1","0","1","8","5","2","0","8","1","0","0","2","0","0",".367","17988"
"Tyrone Taylor","MIL","8","11","14","4","1","2","0","1","1","3","1","0","5","2","0","0","0","1","0",".364","13675"
"J.D. Davis","NYM","9","25","29","9","6","2","0","1","3","4","2","0","10","2","0","0","1","0","0",".360","16219"
"J.D. Martinez","BOS","20","78","88","28","13","8","0","7","18","21","9","0","17","1","0","0","5","0","0",".359","6184"
"Jonathan Lucroy","WSN","5","14","14","5","4","1","0","0","0","2","0","0","2","0","0","0","0","0","0",".357","7870"
"Justin Turner","LAD","19","73","85","26","14","7","0","5","14","17","10","0","18","1","1","0","1","0","0",".356","5235"
"Andrelton Simmons","MIN","10","31","38","11","8","3","0","0","6","3","6","0","6","1","0","0","3","0","0",".355","10847"
"Vladimir Guerrero Jr.","TOR","20","68","85","24","16","4","0","4","12","12","15","0","12","2","0","0","1","1","0",".353","19611"
"Joey Wendle","TBR","18","67","71","23","13","7","0","3","16","15","1","0","14","2","1","0","4","0","0",".343","13853"
"Carson Kelly","ARI","15","41","58","14","7","2","0","5","9","12","13","1","10","3","1","0","2","0","0",".341","13620"
"Tucker Barnhart","CIN","14","44","50","15","9","4","0","2","9","9","5","0","16","1","0","0","2","0","0",".341","10200"
"Tim Anderson","CHW","11","47","47","16","12","1","0","3","11","3","0","0","12","0","0","0","0","3","1",".340","15172"
"Alex Bregman","HOU","14","53","59","18","14","1","0","3","9","12","5","1","10","1","0","0","3","0","0",".340","17678"
"Yadier Molina","STL","18","62","68","21","11","5","0","5","13","14","5","0","14","0","1","0","0","0","0",".339","7007"
"Michael Brantley","HOU","17","65","69","22","10","9","1","2","13","4","3","0","11","1","0","0","0","0","0",".338","4106"
"Matt Olson","OAK","18","65","75","22","12","4","0","6","11","17","7","0","11","2","1","0","3","0","1",".338","14344"
"Yuli Gurriel","HOU","20","71","87","24","16","5","0","3","8","13","16","0","9","0","0","0","2","0","0",".338","19198"
"Jarrod Dyson","KCR","10","9","10","3","2","0","1","0","2","0","1","0","1","0","0","0","0","2","0",".333","4866"
"Jean Segura","PHI","17","60","64","20","15","4","0","1","7","5","3","1","10","0","1","0","4","1","0",".333","5933"
"Christian Yelich","MIL","9","30","37","10","9","1","0","0","8","1","6","0","12","1","0","0","0","2","0",".333","11477"
"Tyler Wade","NYY","6","3","3","1","1","0","0","0","2","0","0","0","1","0","0","0","0","0","0",".333","15730"
"Luis Guillorme","NYM","13","18","23","6","6","0","0","0","2","0","5","0","1","0","0","0","0","0","0",".333","16451"
"JT Riddle","MIN","4","6","6","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".333","17642"
"Willie Calhoun","TEX","6","21","23","7","6","0","0","1","3","2","2","0","5","0","0","0","0","0","0",".333","17838"
"LaMonte Wade Jr.","SFG","3","6","7","2","1","1","0","0","0","0","1","0","2","0","0","0","0","0","0",".333","18126"
"Guillermo Heredia","ATL","7","21","27","7","3","2","0","2","6","6","5","1","6","1","0","0","0","0","0",".333","18721"
"Alex De Goti","HOU","2","6","7","2","2","0","0","0","2","1","1","0","2","0","0","0","0","0","0",".333","19477"
"Taylor Jones","HOU","2","6","7","2","2","0","0","0","2","1","1","0","1","0","0","0","0","0","0",".333","19533"
"Cedric Mullins II","BAL","20","76","84","25","16","8","0","1","8","4","8","1","18","0","0","0","0","2","1",".329","17929"
"Bryce Harper","PHI","19","64","81","21","13","4","0","4","15","8","16","2","16","1","0","0","2","1","0",".328","11579"
"Nelson Cruz","MIN","18","58","65","19","11","2","0","6","11","14","3","0","13","2","2","0","2","0","0",".328","2434"
"Josh Harrison","WSN","11","40","45","13","10","2","0","1","5","5","4","0","4","1","0","0","0","0","1",".325","8202"
"Alex Verdugo","BOS","21","80","89","26","16","6","1","3","17","13","5","1","13","2","2","0","2","2","0",".325","17027"
"Ty France","SEA","21","75","89","24","14","7","0","3","17","12","9","0","20","4","1","0","2","0","0",".320","17982"
"Jose Altuve","HOU","11","44","50","14","10","3","0","1","11","5","5","0","6","0","1","0","1","0","0",".318","5417"
"J.T. Realmuto","PHI","20","60","71","19","12","4","1","2","8","9","8","1","15","3","0","0","0","2","0",".317","11739"
"Luis Robert","CHW","20","79","86","25","15","8","1","1","10","6","6","0","22","0","1","0","0","4","0",".316","20043"
"Jordy Mercer","WSN","8","19","19","6","6","0","0","0","1","0","0","0","4","0","0","0","0","0","0",".316","6547"
"Starling Marte","MIA","15","57","69","18","13","2","1","2","15","8","8","0","14","3","1","0","1","3","1",".316","9241"
"Pablo Sandoval","ATL","15","16","20","5","2","0","0","3","5","7","4","0","6","0","0","0","0","0","0",".313","5409"
"Jared Walsh","LAA","18","64","72","20","13","2","1","4","10","14","6","1","15","2","0","0","1","0","0",".313","18607"
"Randal Grichuk","TOR","20","68","76","21","13","4","0","4","10","16","7","0","17","0","1","0","0","0","1",".309","10243"
"Kris Bryant","CHC","19","68","79","21","9","7","0","5","15","12","9","0","17","1","1","0","2","0","1",".309","15429"
