,APPG,pj_vO,APPG_1-6,pj_vO_1-6,APPG_1-5,pj_vO_1-5,APPG_1-4,pj_vO_1-4,APPG_1-3,pj_vO_1-3,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3
0,04-28-21,04-28-21,04-28-21,04-28-21,04-28-21,04-28-21,04-28-21,04-28-21,04-28-21,04-28-21,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Alex Wood,Adolis Garcia,Alex Wood,Adolis Garcia,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Adolis Garcia,3.0,Alex Wood,27.900000000000002,Adolis Garcia,3.0,Alex Wood,27.900000000000002,Adolis Garcia,3.0,Alex Wood,27.900000000000002,Alex Wood,27.900000000000002,Alex Wood,27.900000000000002,Alex Wood,27.900000000000002,Alex Wood,27.900000000000002
2,Alex Wood,Austin Hays,Alex Wood,Austin Hays,Alex Wood,Austin Hays,Austin Hays,Austin Hays,Brandon Belt,Austin Hays,Alex Wood,27.900000000000002,Austin Hays,0.0,Alex Wood,27.900000000000002,Austin Hays,0.0,Alex Wood,27.900000000000002,Austin Hays,0.0,Austin Hays,0.0,Austin Hays,0.0,Brandon Belt,9.0,Austin Hays,0.0
3,Carson Kelly,Gio Urshela,Austin Hays,Dylan Carlson,Austin Hays,Cedric Mullins,Carson Kelly,David Fletcher,Carson Kelly,David Fletcher,Carson Kelly,4.0,Gio Urshela,21.0,Austin Hays,0.0,Dylan Carlson,5.0,Austin Hays,0.0,Cedric Mullins,0.0,Carson Kelly,4.0,David Fletcher,5.0,Carson Kelly,4.0,David Fletcher,5.0
4,Dylan Carlson,Guillermo Heredia,Carson Kelly,Maikel Franco,Carson Kelly,David Fletcher,David Fletcher,Dylan Carlson,Dylan Carlson,Dylan Carlson,Dylan Carlson,5.0,Guillermo Heredia,15.0,Carson Kelly,4.0,Maikel Franco,0.0,Carson Kelly,4.0,David Fletcher,5.0,David Fletcher,5.0,Dylan Carlson,5.0,Dylan Carlson,5.0,Dylan Carlson,5.0
5,Evan Longoria,Kyle Higashioka,Dylan Carlson,Mike Ford,Dylan Carlson,Maikel Franco,Dylan Carlson,Gleyber Torres,Evan Longoria,Evan Longoria,Evan Longoria,7.0,Kyle Higashioka,0.0,Dylan Carlson,5.0,Mike Ford,16.0,Dylan Carlson,5.0,Maikel Franco,0.0,Dylan Carlson,5.0,Gleyber Torres,12.0,Evan Longoria,7.0,Evan Longoria,7.0
6,Fernando Tatis Jr.,Nick Solak,Evan Longoria,Nick Solak,Evan Longoria,Mike Ford,Evan Longoria,Maikel Franco,Fernando Tatis Jr.,Gleyber Torres,Fernando Tatis Jr.,14.0,Nick Solak,12.0,Evan Longoria,7.0,Nick Solak,12.0,Evan Longoria,7.0,Mike Ford,16.0,Evan Longoria,7.0,Maikel Franco,0.0,Fernando Tatis Jr.,14.0,Gleyber Torres,12.0
7,Guillermo Heredia,Paul DeJong,Fernando Tatis Jr.,Paul DeJong,Fernando Tatis Jr.,Paul DeJong,Fernando Tatis Jr.,Ronald Acuna Jr.,Manuel Margot,Ronald Acuna Jr.,Guillermo Heredia,15.0,Paul DeJong,4.0,Fernando Tatis Jr.,14.0,Paul DeJong,4.0,Fernando Tatis Jr.,14.0,Paul DeJong,4.0,Fernando Tatis Jr.,14.0,Ronald Acuna Jr.,7.0,Manuel Margot,10.0,Ronald Acuna Jr.,7.0
8,Mike Ford,Ronald Acuna Jr.,Mike Ford,Pedro Severino,Mike Ford,Ronald Acuna Jr.,Mark Canha,Steven Matz,Mark Canha,Steven Matz,Mike Ford,16.0,Ronald Acuna Jr.,7.0,Mike Ford,16.0,Pedro Severino,3.0,Mike Ford,16.0,Ronald Acuna Jr.,7.0,Mark Canha,5.0,Steven Matz,-6.8,Mark Canha,5.0,Steven Matz,-6.8
9,Nick Solak,Trey Mancini,Nick Solak,Ronald Acuna Jr.,Nick Solak,Tyler Glasnow,Nate Lowe,Trey Mancini,Nick Solak,Trey Mancini,Nick Solak,12.0,Trey Mancini,6.0,Nick Solak,12.0,Ronald Acuna Jr.,7.0,Nick Solak,12.0,Tyler Glasnow,35.55,Nate Lowe,10.0,Trey Mancini,6.0,Nick Solak,12.0,Trey Mancini,6.0
10,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Willson Contreras,Tyler Glasnow,Willson Contreras,Tyler Glasnow,Willson Contreras,Tyler Glasnow,35.55,Tyler Glasnow,35.55,Tyler Glasnow,35.55,Tyler Glasnow,35.55,Tyler Glasnow,35.55,Willson Contreras,0.0,Tyler Glasnow,35.55,Willson Contreras,0.0,Tyler Glasnow,35.55,Willson Contreras,0.0
11,126.37,155.78,125.41,149.81,125.41,148.07999999999996,124.22,140.55,123.95999999999998,136.70999999999998,,139.45,,128.45,,124.45,,110.45,,124.45,,95.45,,113.45,,56.10000000000001,,129.45,,63.10000000000001
