Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Albert Abreu\abreual01,25,NYY,AL,0,0,,4.50,2,0,2,0,0,0,2.0,0,1,1,0,2,0,3,0,0,1,8,102,3.08,1.000,0.0,0.0,9.0,13.5,1.50
2,Bryan Abreu\abreubr01,24,HOU,AL,1,1,.500,5.40,8,0,0,0,0,0,11.2,10,7,7,2,5,0,10,1,0,1,49,77,5.14,1.286,7.7,1.5,3.9,7.7,2.00
3,Jason Adam\adamja01,29,CHC,NL,0,0,,9.45,8,0,1,0,0,0,6.2,7,7,7,1,6,0,10,3,0,0,35,43,6.08,1.950,9.5,1.4,8.1,13.5,1.67
4,Austin Adams\adamsau02,30,SDP,NL,0,0,,7.11,8,0,1,0,0,0,6.1,6,5,5,0,3,0,13,4,0,0,32,54,2.29,1.421,8.5,0.0,4.3,18.5,4.33
5,Hanser Alberto\alberha01,28,KCR,AL,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.08,0.000,0.0,0.0,0.0,0.0,
6,Jorge Alcala\alcaljo01,25,MIN,AL,0,0,,4.50,8,0,5,0,0,0,8.0,4,4,4,3,1,0,10,1,0,0,29,89,6.20,0.625,4.5,3.4,1.1,11.3,10.00
7,Sandy Alcantara\alcansa01,25,MIA,NL,0,2,.000,3.34,5,5,0,0,0,0,29.2,20,12,11,2,11,1,32,3,0,1,121,120,3.21,1.045,6.1,0.6,3.3,9.7,2.91
8,Scott Alexander*\alexasc02,31,LAD,NL,0,2,.000,2.79,11,0,6,0,0,0,9.2,7,4,3,1,0,0,3,1,0,1,38,139,4.11,0.724,6.5,0.9,0.0,2.8,
9,Tyler Alexander*\alexaty01,26,DET,AL,0,0,,6.23,5,0,3,0,0,0,8.2,9,6,6,3,4,0,7,0,0,0,39,70,7.35,1.500,9.3,3.1,4.2,7.3,1.75
10,Kolby Allard*\allarko01,23,TEX,AL,0,0,,2.45,4,0,2,0,0,0,7.1,6,2,2,1,0,0,11,0,0,2,29,180,1.85,0.818,7.4,1.2,0.0,13.5,
11,Logan Allen*\allenlo01,24,CLE,AL,1,3,.250,6.28,4,4,0,0,0,0,14.1,15,12,10,4,6,0,11,2,0,1,65,69,6.85,1.465,9.4,2.5,3.8,6.9,1.83
12,Yency Almonte\almonye01,27,COL,NL,0,1,.000,9.72,10,0,0,0,0,0,8.1,11,9,9,3,4,0,8,1,0,1,39,49,7.64,1.800,11.9,3.2,4.3,8.6,2.00
13,Dan Altavilla\altavda01,28,SDP,NL,0,0,,6.75,2,0,1,0,0,0,1.1,1,1,1,1,0,0,2,0,0,0,5,70,9.83,0.750,6.8,6.8,0.0,13.5,
14,Jose Alvarado*\alvarjo03,26,PHI,NL,2,0,1.000,1.35,7,0,2,0,0,1,6.2,5,1,1,0,2,0,12,2,0,0,31,304,1.28,1.050,6.8,0.0,2.7,16.2,6.00
15,Jose Alvarez*\alvarjo02,32,SFG,NL,1,1,.500,3.52,9,0,3,0,0,0,7.2,6,4,3,0,7,0,9,0,0,0,36,111,3.47,1.696,7.0,0.0,8.2,10.6,1.29
16,Adbert Alzolay\alzolad01,26,CHC,NL,0,2,.000,5.40,3,3,0,0,0,0,15.0,9,9,9,2,5,0,17,0,0,0,57,72,3.54,0.933,5.4,1.2,3.0,10.2,3.40
17,Brett Anderson*\anderbr04,33,MIL,NL,2,2,.500,4.15,4,4,0,0,0,0,17.1,18,9,8,3,4,0,8,0,0,0,73,99,5.10,1.269,9.3,1.6,2.1,4.2,2.00
18,Chase Anderson\anderch01,33,PHI,NL,0,3,.000,6.48,4,4,0,0,0,0,16.2,16,12,12,3,8,0,13,2,0,0,76,61,5.66,1.440,8.6,1.6,4.3,7.0,1.63
19,Ian Anderson\anderia01,23,ATL,NL,2,0,1.000,2.48,5,5,0,0,0,0,29.0,20,8,8,3,12,0,31,0,0,0,117,174,3.53,1.103,6.2,0.9,3.7,9.6,2.58
20,Tyler Anderson*\anderty01,31,PIT,NL,2,2,.500,3.38,5,5,0,0,0,0,26.2,25,10,10,3,8,0,26,0,0,0,110,119,3.49,1.238,8.4,1.0,2.7,8.8,3.25
21,Matt Andriese\andrima01,31,BOS,AL,0,0,,1.42,9,0,1,0,0,1,12.2,11,4,2,0,3,0,11,1,0,0,52,307,2.29,1.105,7.8,0.0,2.1,7.8,3.67
22,Tejay Antone\antonte01,27,CIN,NL,1,0,1.000,0.66,7,0,1,0,0,0,13.2,4,1,1,1,6,0,20,3,0,1,52,689,3.08,0.732,2.6,0.7,4.0,13.2,3.33
23,Chris Archer\archech01,32,TBR,AL,0,1,.000,6.23,2,1,0,0,0,0,4.1,7,4,3,0,1,0,6,0,0,0,21,65,1.00,1.846,14.5,0.0,2.1,12.5,6.00
24,Kohei Arihara\arihako01,28,TEX,AL,2,2,.500,4.03,5,5,0,0,0,0,22.1,22,11,10,2,7,0,13,1,0,1,91,106,4.15,1.299,8.9,0.8,2.8,5.2,1.86
25,Shawn Armstrong\armstsh01,30,BAL,AL,0,0,,11.37,9,0,3,0,0,0,6.1,9,9,8,2,5,0,6,1,0,0,35,39,8.13,2.211,12.8,2.8,7.1,8.5,1.20
26,Jake Arrieta\arrieja01,35,CHC,NL,3,2,.600,2.57,5,5,0,0,0,0,28.0,22,8,8,2,11,1,26,1,0,1,117,150,3.44,1.179,7.1,0.6,3.5,8.4,2.36
27,Willians Astudillo\astudwi01,29,MIN,AL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.08,0.000,0.0,0.0,0.0,0.0,
28,Luis Avilan*\avilalu01,31,WSN,NL,0,1,.000,12.60,4,0,0,0,0,0,5.0,7,7,7,1,3,0,4,1,0,0,27,33,6.48,2.000,12.6,1.8,5.4,7.2,1.33
29,Caleb Baragar*\baragca01,27,SFG,NL,2,0,1.000,0.00,7,0,0,0,0,0,4.1,4,1,0,0,2,0,6,1,0,0,19,,2.39,1.385,8.3,0.0,4.2,12.5,3.00
30,Daniel Bard\bardda01,36,COL,NL,1,1,.500,5.19,9,0,7,0,0,2,8.2,12,6,5,2,4,0,11,1,0,0,44,91,5.27,1.846,12.5,2.1,4.2,11.4,2.75
31,Scott Barlow\barlosc01,28,KCR,AL,1,0,1.000,2.40,12,0,2,0,0,1,15.0,13,4,4,0,6,0,18,0,0,0,63,186,1.88,1.267,7.8,0.0,3.6,10.8,3.00
32,Jacob Barnes\barneja01,31,NYM,NL,0,0,,9.00,4,0,0,0,0,0,5.0,6,5,5,2,1,0,4,0,0,0,23,45,7.28,1.400,10.8,3.6,1.8,7.2,4.00
33,Matt Barnes\barnema01,31,BOS,AL,1,0,1.000,2.77,12,0,8,0,0,5,13.0,5,4,4,1,3,0,22,0,0,1,47,157,1.39,0.615,3.5,0.7,2.1,15.2,7.33
34,Jaime Barria\barrija01,24,LAA,AL,0,0,,31.50,1,0,0,0,0,0,2.0,6,7,7,0,4,0,0,0,0,0,15,16,9.08,5.000,27.0,0.0,18.0,0.0,0.00
35,Anthony Bass\bassan01,33,MIA,NL,1,2,.333,6.23,10,0,4,0,0,0,8.2,9,6,6,2,2,1,7,3,0,0,37,66,6.19,1.269,9.3,2.1,2.1,7.3,3.50
36,Chris Bassitt\bassich01,32,OAK,AL,2,2,.500,4.13,5,5,0,0,0,0,28.1,28,13,13,2,11,0,27,2,0,0,123,91,3.47,1.376,8.9,0.6,3.5,8.6,2.45
37,Trevor Bauer\bauertr01,30,LAD,NL,3,0,1.000,2.53,5,5,0,0,0,0,32.0,15,10,9,6,6,0,45,2,0,1,119,149,3.45,0.656,4.2,1.7,1.7,12.7,7.50
38,Eduard Bazardo\bazared01,25,BOS,AL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,2,0,1,0,0,0,5,,7.08,2.000,0.0,0.0,18.0,9.0,0.50
39,David Bednar\bednada01,26,PIT,NL,0,0,,2.35,10,0,5,0,0,0,7.2,5,2,2,2,3,0,8,0,0,0,31,177,5.56,1.043,5.9,2.3,3.5,9.4,2.67
40,Cam Bedrosian\bedroca01,29,CIN,NL,0,0,,11.12,6,0,2,0,0,0,5.2,10,7,7,2,6,0,7,0,0,0,33,42,8.37,2.824,15.9,3.2,9.5,11.1,1.17
41,Anthony Bemboom\bemboan01,31,LAA,AL,0,0,,18.00,1,0,1,0,0,0,1.0,3,2,2,1,0,0,0,0,0,0,7,32,16.08,3.000,27.0,9.0,0.0,0.0,
42,Wes Benjamin*\benjawe01,27,TEX,AL,0,1,.000,4.76,3,0,0,0,0,0,5.2,4,3,3,1,6,0,5,0,0,0,25,94,6.78,1.765,6.4,1.6,9.5,7.9,0.83
43,Jose Berrios\berrijo01,27,MIN,AL,2,2,.500,3.04,5,5,0,0,0,0,26.2,18,9,9,1,8,0,33,2,0,1,102,127,2.22,0.975,6.1,0.3,2.7,11.1,4.13
44,Dellin Betances\betande01,33,NYM,NL,0,0,,9.00,1,0,0,0,0,0,1.0,0,1,1,0,1,0,1,1,0,0,5,59,7.08,1.000,0.0,0.0,9.0,9.0,1.00
45,Phil Bickford\bickfph01,25,MIL,NL,0,0,,18.00,1,0,0,0,0,0,1.0,2,2,2,1,1,0,0,1,0,0,7,31,22.08,3.000,18.0,9.0,9.0,0.0,0.00
46,Jesse Biddle*\biddlje01,29,ATL,NL,0,0,,15.43,2,0,1,0,0,0,2.1,3,4,4,1,1,0,4,1,0,1,12,32,7.79,1.714,11.6,3.9,3.9,15.4,4.00
47,Shane Bieber\biebesh01,26,CLE,AL,2,2,.500,2.48,5,5,0,0,0,0,36.1,21,10,10,5,13,0,57,1,0,3,145,171,2.89,0.936,5.2,1.2,3.2,14.1,4.38
