,APPG,pj_vO,APPG_1-6,pj_vO_1-6,APPG_1-5,pj_vO_1-5,APPG_1-4,pj_vO_1-4,APPG_1-3,pj_vO_1-3,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPG_1-6,Total_APPG_1-6,Name_APPG_1-5,Total_APPG_1-5,Name_APPG_1-4,Total_APPG_1-4,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vO_1-3,Total_pj_vO_1-3
0,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,,,,,,,,,,,,,,,,,,,,
1,Adam Eaton,Aaron Hicks,Adolis Garcia,Aaron Hicks,Adam Eaton,Andrew Heaney,Adam Eaton,Andrew Heaney,Buster Posey,Andrew Heaney,Adam Eaton,0.0,Aaron Hicks,21.0,Adolis Garcia,4.0,Adam Eaton,0.0,Adam Eaton,0.0,Buster Posey,19.0,Aaron Hicks,21.0,Andrew Heaney,4.175000000000002,Andrew Heaney,4.175000000000002,Andrew Heaney,4.175000000000002
2,Adolis Garcia,Andrew Heaney,Buster Posey,Andrew Heaney,Buster Posey,Bo Bichette,Brandon Belt,Bo Bichette,Corey Seager,Bo Bichette,Adolis Garcia,4.0,Andrew Heaney,4.175000000000002,Buster Posey,19.0,Buster Posey,19.0,Brandon Belt,4.0,Corey Seager,2.0,Andrew Heaney,4.175000000000002,Bo Bichette,21.0,Bo Bichette,21.0,Bo Bichette,21.0
3,Buster Posey,Bo Bichette,Christian Arroyo,Bo Bichette,Christian Arroyo,Brandon Nimmo,Buster Posey,Brandon Nimmo,David Fletcher,Brandon Nimmo,Buster Posey,19.0,Bo Bichette,21.0,Christian Arroyo,7.0,Christian Arroyo,7.0,Buster Posey,19.0,David Fletcher,5.0,Bo Bichette,21.0,Brandon Nimmo,7.0,Brandon Nimmo,7.0,Brandon Nimmo,7.0
4,Gerrit Cole,Gerrit Cole,Evan Longoria,Christian Vazquez,Gerrit Cole,David Fletcher,Christian Arroyo,Buster Posey,Gerrit Cole,Buster Posey,Gerrit Cole,39.1,Gerrit Cole,39.1,Evan Longoria,0.0,Gerrit Cole,39.1,Christian Arroyo,7.0,Gerrit Cole,39.1,Christian Vazquez,0.0,David Fletcher,5.0,Buster Posey,19.0,Buster Posey,19.0
5,Justin Turner,Gio Urshela,Gerrit Cole,David Fletcher,Gio Urshela,Gerrit Cole,Gerrit Cole,Christian Arroyo,Kyle Seager,David Fletcher,Justin Turner,0.0,Gio Urshela,8.0,Gerrit Cole,39.1,Gio Urshela,8.0,Gerrit Cole,39.1,Kyle Seager,4.0,David Fletcher,5.0,Gerrit Cole,39.1,Christian Arroyo,7.0,David Fletcher,5.0
6,Mitch Haniger,Kyle Higashioka,Javier Baez,Gerrit Cole,Javier Baez,Gio Urshela,Gio Urshela,Gerrit Cole,Miguel Cabrera,Gerrit Cole,Mitch Haniger,19.0,Kyle Higashioka,4.0,Javier Baez,7.0,Javier Baez,7.0,Gio Urshela,8.0,Miguel Cabrera,0.0,Gerrit Cole,39.1,Gio Urshela,8.0,Gerrit Cole,39.1,Gerrit Cole,39.1
7,Nick Madrigal,Myles Straw,Mitch Haniger,Gio Urshela,Mitch Haniger,Luis Torrens,Javier Baez,Gio Urshela,Mitch Haniger,Manny Machado,Nick Madrigal,7.0,Myles Straw,2.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Javier Baez,7.0,Mitch Haniger,19.0,Gio Urshela,8.0,Luis Torrens,3.0,Gio Urshela,8.0,Manny Machado,0.0
8,Nicky Lopez,Randal Grichuk,Ryan O'Hearn,Randal Grichuk,Ryan O'Hearn,Randal Grichuk,Mitch Haniger,Mitch Haniger,Robbie Grossman,Mike Tauchman,Nicky Lopez,2.0,Randal Grichuk,14.0,Ryan O'Hearn,2.0,Ryan O'Hearn,2.0,Mitch Haniger,19.0,Robbie Grossman,3.0,Randal Grichuk,14.0,Randal Grichuk,14.0,Mitch Haniger,19.0,Mike Tauchman,5.0
9,Ryan O'Hearn,Rougned Odor,Shane Bieber,Vladimir Guerrero Jr.,Shane Bieber,Vladimir Guerrero Jr.,Shane Bieber,Vladimir Guerrero Jr.,Shane Bieber,Vladimir Guerrero Jr.,Ryan O'Hearn,2.0,Rougned Odor,18.0,Shane Bieber,28.7,Shane Bieber,28.7,Shane Bieber,28.7,Shane Bieber,28.7,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0
10,Shane Bieber,Vladimir Guerrero Jr.,Willie Calhoun,Willie Calhoun,Willie Calhoun,Willie Calhoun,Willie Calhoun,Willie Calhoun,Willie Calhoun,Willie Calhoun,Shane Bieber,28.7,Vladimir Guerrero Jr.,13.0,Willie Calhoun,3.0,Willie Calhoun,3.0,Willie Calhoun,3.0,Willie Calhoun,3.0,Willie Calhoun,3.0,Willie Calhoun,3.0,Willie Calhoun,3.0,Willie Calhoun,3.0
11,131.01999999999998,145.77,128.07999999999998,138.22000000000003,127.46,136.76000000000002,126.79,133.46,123.29999999999998,130.05,,120.8,,144.275,,128.8,,132.79999999999998,,134.79999999999998,,122.8,,128.275,,117.275,,140.275,,116.275
