,APPG,pj_vO,APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPGa,Total_APPGa
0,05-03-21,05-03-21,05-03-21,,,,,,
1,Austin Hays,Dean Kremer,Adam Frazier,Austin Hays,9.0,Dean Kremer,17.1,Adam Frazier,3.0
2,Dean Kremer,Fernando Tatis Jr.,Austin Hays,Dean Kremer,17.1,Fernando Tatis Jr.,0.0,Austin Hays,9.0
3,Fernando Tatis Jr.,Jake Cronenworth,Erik Swanson,Fernando Tatis Jr.,0.0,Jake Cronenworth,0.0,Erik Swanson,10.5
4,Jake Cronenworth,Kyle Lewis,Fernando Tatis Jr.,Jake Cronenworth,0.0,Kyle Lewis,3.0,Fernando Tatis Jr.,0.0
5,Manny Machado,Kyle Seager,Manny Machado,Manny Machado,4.0,Kyle Seager,2.0,Manny Machado,4.0
6,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0
7,Pedro Severino,Ryan Mountcastle,Pedro Severino,Pedro Severino,0.0,Ryan Mountcastle,4.0,Pedro Severino,0.0
8,Trent Grisham,Taylor Trammell,Trent Grisham,Trent Grisham,2.0,Taylor Trammell,2.0,Trent Grisham,2.0
9,Trey Mancini,Tom Murphy,Trey Mancini,Trey Mancini,0.0,Tom Murphy,16.0,Trey Mancini,0.0
10,Tyler Anderson,Tyler Anderson,Tyler Anderson,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003
11,88.19999999999997,96.49,88.91999999999999,,65.05000000000001,,77.05000000000001,,61.45
