,APPGa,APPG,pj_vO,pj_vOa,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3
0,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anthony Rendon,Anthony Rendon,Austin Meadows,Austin Meadows,Austin Hays,Austin Hays,Austin Meadows,Austin Meadows,Austin Hays,Austin Hays,Austin Meadows,Adam Frazier,Austin Hays,Austin Hays,Austin Meadows,Adam Frazier,Austin Hays,Austin Hays,Austin Meadows,Austin Meadows,Anthony Rendon,14.0,Anthony Rendon,14.0,Austin Meadows,2.0,Austin Meadows,2.0,Austin Hays,9.0,Austin Hays,9.0,Austin Meadows,2.0,Austin Meadows,2.0,Austin Hays,9.0,Austin Hays,9.0,Austin Meadows,2.0,Adam Frazier,3.0,Austin Hays,9.0,Austin Hays,9.0,Austin Meadows,2.0,Adam Frazier,3.0,Austin Hays,9.0,Austin Hays,9.0,Austin Meadows,2.0,Austin Meadows,2.0
2,Austin Hays,Austin Hays,Brandon Lowe,Brandon Lowe,Fernando Tatis Jr.,Fernando Tatis Jr.,Bo Bichette,Bo Bichette,David Fletcher,David Fletcher,Bo Bichette,Austin Meadows,Bo Bichette,Bo Bichette,Bo Bichette,Austin Meadows,David Fletcher,David Fletcher,Bo Bichette,Bo Bichette,Austin Hays,9.0,Austin Hays,9.0,Brandon Lowe,0.0,Brandon Lowe,0.0,Fernando Tatis Jr.,0.0,Fernando Tatis Jr.,0.0,Bo Bichette,7.0,Bo Bichette,7.0,David Fletcher,4.0,David Fletcher,4.0,Bo Bichette,7.0,Austin Meadows,2.0,Bo Bichette,7.0,Bo Bichette,7.0,Bo Bichette,7.0,Austin Meadows,2.0,David Fletcher,4.0,David Fletcher,4.0,Bo Bichette,7.0,Bo Bichette,7.0
3,Fernando Tatis Jr.,Fernando Tatis Jr.,Francisco Mejia,Francisco Mejia,Jake Cronenworth,Jake Cronenworth,Brandon Lowe,Brandon Lowe,Fernando Tatis Jr.,Fernando Tatis Jr.,David Fletcher,Bo Bichette,Cedric Mullins,Cedric Mullins,David Fletcher,Bo Bichette,Erik Swanson,Erik Swanson,David Fletcher,David Fletcher,Fernando Tatis Jr.,0.0,Fernando Tatis Jr.,0.0,Francisco Mejia,7.0,Francisco Mejia,7.0,Jake Cronenworth,0.0,Jake Cronenworth,0.0,Brandon Lowe,0.0,Brandon Lowe,0.0,Fernando Tatis Jr.,0.0,Fernando Tatis Jr.,0.0,David Fletcher,4.0,Bo Bichette,7.0,Cedric Mullins,24.0,Cedric Mullins,24.0,David Fletcher,4.0,Bo Bichette,7.0,Erik Swanson,10.5,Erik Swanson,10.5,David Fletcher,4.0,David Fletcher,4.0
4,Francisco Mejia,Francisco Mejia,J.P. Crawford,J.P. Crawford,Justin Upton,Justin Upton,Erik Swanson,Erik Swanson,Kyle Seager,Kyle Seager,Kyle Seager,Erik Swanson,David Fletcher,David Fletcher,Erik Swanson,Erik Swanson,Fernando Tatis Jr.,Fernando Tatis Jr.,Erik Swanson,Erik Swanson,Francisco Mejia,7.0,Francisco Mejia,7.0,J.P. Crawford,0.0,J.P. Crawford,0.0,Justin Upton,7.0,Justin Upton,7.0,Erik Swanson,10.5,Erik Swanson,10.5,Kyle Seager,2.0,Kyle Seager,2.0,Kyle Seager,2.0,Erik Swanson,10.5,David Fletcher,4.0,David Fletcher,4.0,Erik Swanson,10.5,Erik Swanson,10.5,Fernando Tatis Jr.,0.0,Fernando Tatis Jr.,0.0,Erik Swanson,10.5,Erik Swanson,10.5
5,Jake Cronenworth,Jake Cronenworth,Kyle Seager,Kyle Seager,Maikel Franco,Maikel Franco,Kyle Seager,Kyle Seager,Manuel Margot,Manuel Margot,Manuel Margot,Kyle Seager,Maikel Franco,Maikel Franco,Kyle Seager,Kyle Lewis,Kyle Seager,Kyle Seager,Kyle Seager,Kyle Seager,Jake Cronenworth,0.0,Jake Cronenworth,0.0,Kyle Seager,2.0,Kyle Seager,2.0,Maikel Franco,7.0,Maikel Franco,7.0,Kyle Seager,2.0,Kyle Seager,2.0,Manuel Margot,21.0,Manuel Margot,21.0,Manuel Margot,21.0,Kyle Seager,2.0,Maikel Franco,7.0,Maikel Franco,7.0,Kyle Seager,2.0,Kyle Lewis,3.0,Kyle Seager,2.0,Kyle Seager,2.0,Kyle Seager,2.0,Kyle Seager,2.0
6,Justin Upton,Justin Upton,Manuel Margot,Manuel Margot,Matt Olson,Matt Olson,Manuel Margot,Manuel Margot,Matt Olson,Matt Olson,Matt Olson,Manuel Margot,Matt Olson,Matt Olson,Mitch Haniger,Kyle Seager,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Justin Upton,7.0,Justin Upton,7.0,Manuel Margot,21.0,Manuel Margot,21.0,Matt Olson,2.0,Matt Olson,2.0,Manuel Margot,21.0,Manuel Margot,21.0,Matt Olson,2.0,Matt Olson,2.0,Matt Olson,2.0,Manuel Margot,21.0,Matt Olson,2.0,Matt Olson,2.0,Mitch Haniger,16.0,Kyle Seager,2.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0
7,Matt Olson,Matt Olson,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Randy Arozarena,Mitch Haniger,Ramon Laureano,Ramon Laureano,Randy Arozarena,Randy Arozarena,Matt Olson,2.0,Matt Olson,2.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Randy Arozarena,6.0,Mitch Haniger,16.0,Ramon Laureano,19.0,Ramon Laureano,19.0,Randy Arozarena,6.0,Randy Arozarena,6.0
8,Mitch Haniger,Mitch Haniger,Steven Matz,Steven Matz,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Mitch Haniger,16.0,Mitch Haniger,16.0,Steven Matz,7.850000000000001,Steven Matz,7.850000000000001,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0
9,Tyler Anderson,Tyler Anderson,Tyler Glasnow,Tyler Glasnow,Tyler Anderson,Tyler Anderson,Tyler Glasnow,Tyler Glasnow,Tyler Anderson,Tyler Anderson,Tyler Anderson,Tyler Glasnow,Tyler Anderson,Tyler Anderson,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003,Tyler Glasnow,22.700000000000003,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003
