Date,Lineup Type,1,2,3,4,5,6,7,8,9,10,Proj
05-03-21,APPG,Start_Aaron_Civale,Start_Austin_Hays,Start_Ben_Rortvedt,Start_Fernando_Tatis_Jr.,Start_Harrison_Bader,Start_Matt_Olson,Start_Mitch_Haniger,Start_Travis_Shaw,Start_Tyler_Glasnow,Start_Whit_Merrifield,120.58
05-03-21,pj_vO,Start_Aaron_Civale,Start_Adolis_Garcia,Start_Francisco_Mejia,Start_Isiah_Kiner_Falefa,Start_Lorenzo_Cain,Start_Mitch_Haniger,Start_Nate_Lowe,Start_Nick_Solak,Start_Travis_Shaw,Start_Tyler_Glasnow,155.82
05-03-21,APPG_1-6,Start_Aaron_Civale,Start_Andrew_Benintendi,Start_Freddy_Galvis,Start_Matt_Olson,Start_Mitch_Haniger,Start_Nick_Solak,Start_Salvador_Perez,Start_Travis_Shaw,Start_Tyler_Glasnow,Start_Tyler_O'Neill,115.75999999999999
05-03-21,pj_vO_1-6,Start_Adolis_Garcia,Start_Bo_Bichette,Start_Lorenzo_Cain,Start_Mitch_Haniger,Start_Nate_Lowe,Start_Nick_Solak,Start_Sean_Murphy,Start_Travis_Shaw,Start_Tyler_Anderson,Start_Tyler_Glasnow,147.56
05-03-21,APPG_1-5,Start_Aaron_Civale,Start_Andrew_Benintendi,Start_David_Fletcher,Start_Fernando_Tatis_Jr.,Start_Mitch_Haniger,Start_Nate_Lowe,Start_Sean_Murphy,Start_Travis_Shaw,Start_Tyler_Glasnow,Start_Willie_Calhoun,114.80999999999999
05-03-21,pj_vO_1-5,Start_Adolis_Garcia,Start_Bo_Bichette,Start_Lorenzo_Cain,Start_Mitch_Haniger,Start_Nate_Lowe,Start_Nick_Solak,Start_Sean_Murphy,Start_Travis_Shaw,Start_Tyler_Anderson,Start_Tyler_Glasnow,147.56
05-03-21,APPG_1-4,Start_Aaron_Civale,Start_Andrew_Benintendi,Start_David_Fletcher,Start_Fernando_Tatis_Jr.,Start_Mitch_Haniger,Start_Nate_Lowe,Start_Sean_Murphy,Start_Travis_Shaw,Start_Tyler_Glasnow,Start_Willie_Calhoun,114.80999999999999
05-03-21,pj_vO_1-4,Start_Bo_Bichette,Start_Kyle_Seager,Start_Lorenzo_Cain,Start_Mitch_Haniger,Start_Nate_Lowe,Start_Nick_Solak,Start_Sean_Murphy,Start_Tyler_Anderson,Start_Tyler_Glasnow,Start_Willie_Calhoun,147.34
05-03-21,APPG_1-3,Start_Aaron_Civale,Start_Andrew_Benintendi,Start_Austin_Hays,Start_Bo_Bichette,Start_David_Fletcher,Start_Kyle_Seager,Start_Lorenzo_Cain,Start_Nate_Lowe,Start_Sean_Murphy,Start_Tyler_Glasnow,112.34
05-03-21,pj_vO_1-3,Start_Bo_Bichette,Start_Kyle_Seager,Start_Lorenzo_Cain,Start_Mitch_Haniger,Start_Nate_Lowe,Start_Nick_Solak,Start_Sean_Murphy,Start_Tyler_Anderson,Start_Tyler_Glasnow,Start_Willie_Calhoun,147.34
