Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Joe Musgrove (17399715),Joe Musgrove,17399715,P,10100,PIT@SD 05/04/2021 10:10PM ET,SD,17.08
SP,Yu Darvish (17399664),Yu Darvish,17399664,P,9800,PIT@SD 05/04/2021 10:10PM ET,SD,25.78
SP,Blake Snell (17399718),Blake Snell,17399718,P,9400,PIT@SD 05/04/2021 10:10PM ET,SD,15.39
SP,Chris Paddack (17399843),Chris Paddack,17399843,P,9000,PIT@SD 05/04/2021 10:10PM ET,SD,10.66
SP,Dinelson Lamet (17399815),Dinelson Lamet,17399815,P,8900,PIT@SD 05/04/2021 10:10PM ET,SD,11.3
SP,Mike Clevinger (17399721),Mike Clevinger,17399721,P,8400,PIT@SD 05/04/2021 10:10PM ET,SD,0
RP,John Means (17399733),John Means,17399733,P,8100,BAL@SEA 05/04/2021 10:10PM ET,BAL,25.52
RP,Ryan Weathers (17399902),Ryan Weathers,17399902,P,8000,PIT@SD 05/04/2021 10:10PM ET,SD,9.16
RP,Justin Dunn (17399794),Justin Dunn,17399794,P,7700,BAL@SEA 05/04/2021 10:10PM ET,SEA,11.74
SP,Chris Flexen (17399755),Chris Flexen,17399755,P,7300,BAL@SEA 05/04/2021 10:10PM ET,SEA,13.71
SP,Trevor Cahill (17399658),Trevor Cahill,17399658,P,7000,PIT@SD 05/04/2021 10:10PM ET,PIT,8.91
SP,Tyler Anderson (17399707),Tyler Anderson,17399707,P,7000,PIT@SD 05/04/2021 10:10PM ET,PIT,16.37
SP,Chris Stratton (17399739),Chris Stratton,17399739,P,7000,PIT@SD 05/04/2021 10:10PM ET,PIT,2.74
SP,Chad Kuhl (17399784),Chad Kuhl,17399784,P,7000,PIT@SD 05/04/2021 10:10PM ET,PIT,5.81
SP,Cody Ponce (17399816),Cody Ponce,17399816,P,7000,PIT@SD 05/04/2021 10:10PM ET,PIT,0
RP,JT Brubaker (17399839),JT Brubaker,17399839,P,7000,PIT@SD 05/04/2021 10:10PM ET,PIT,18.74
SP,Matt Harvey (17399666),Matt Harvey,17399666,P,7000,BAL@SEA 05/04/2021 10:10PM ET,BAL,12.19
SP,James Paxton (17399671),James Paxton,17399671,P,7000,BAL@SEA 05/04/2021 10:10PM ET,SEA,4.4
SP,Marco Gonzales (17399698),Marco Gonzales,17399698,P,7000,BAL@SEA 05/04/2021 10:10PM ET,SEA,11.27
RP,Steven Brault (17399786),Steven Brault,17399786,P,6900,PIT@SD 05/04/2021 10:10PM ET,PIT,0
SP,Jorge Lopez (17399717),Jorge Lopez,17399717,P,6800,BAL@SEA 05/04/2021 10:10PM ET,BAL,7.79
SP,Mitch Keller (17399805),Mitch Keller,17399805,P,6700,PIT@SD 05/04/2021 10:10PM ET,PIT,5.56
SP,Yusei Kikuchi (17399685),Yusei Kikuchi,17399685,P,6700,BAL@SEA 05/04/2021 10:10PM ET,SEA,15.08
SP,Justus Sheffield (17399804),Justus Sheffield,17399804,P,6600,BAL@SEA 05/04/2021 10:10PM ET,SEA,12.52
SP,Bruce Zimmermann (17399892),Bruce Zimmermann,17399892,P,6500,BAL@SEA 05/04/2021 10:10PM ET,BAL,8.15
SP,Adam Plutko (17399690),Adam Plutko,17399690,P,6400,BAL@SEA 05/04/2021 10:10PM ET,BAL,4.47
SP,Nick Margevicius (17399893),Nick Margevicius,17399893,P,6400,BAL@SEA 05/04/2021 10:10PM ET,SEA,3.28
SP,Keegan Akin (17399826),Keegan Akin,17399826,P,6200,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
SP,Dean Kremer (17399851),Dean Kremer,17399851,P,6200,BAL@SEA 05/04/2021 10:10PM ET,BAL,8.17
SP,Wil Crowe (17399791),Wil Crowe,17399791,P,6100,PIT@SD 05/04/2021 10:10PM ET,PIT,5.18
SS,Fernando Tatis Jr. (17399876),Fernando Tatis Jr.,17399876,SS,5800,PIT@SD 05/04/2021 10:10PM ET,SD,10.71
SP,Ljay Newsome (17399847),Ljay Newsome,17399847,P,5800,BAL@SEA 05/04/2021 10:10PM ET,SEA,5.02
SP,Clay Holmes (17399722),Clay Holmes,17399722,P,5700,PIT@SD 05/04/2021 10:10PM ET,PIT,2.89
SP,Duane Underwood Jr. (17399745),Duane Underwood Jr.,17399745,P,5700,PIT@SD 05/04/2021 10:10PM ET,PIT,4.89
SP,James Marvel (17399766),James Marvel,17399766,P,5700,PIT@SD 05/04/2021 10:10PM ET,PIT,0
RP,Miguel Yajure (17399822),Miguel Yajure,17399822,P,5700,PIT@SD 05/04/2021 10:10PM ET,PIT,6.15
SP,Jose Soriano (17399862),Jose Soriano,17399862,P,5700,PIT@SD 05/04/2021 10:10PM ET,PIT,0
SP,Max Kranick (17399874),Max Kranick,17399874,P,5700,PIT@SD 05/04/2021 10:10PM ET,PIT,0
SP,Roansy Contreras (17399884),Roansy Contreras,17399884,P,5700,PIT@SD 05/04/2021 10:10PM ET,PIT,0
SP,Quinn Priester (17399910),Quinn Priester,17399910,P,5700,PIT@SD 05/04/2021 10:10PM ET,PIT,0
OF,Trent Grisham (17399830),Trent Grisham,17399830,OF,5300,PIT@SD 05/04/2021 10:10PM ET,SD,9.24
3B,Manny Machado (17399689),Manny Machado,17399689,3B,5100,PIT@SD 05/04/2021 10:10PM ET,SD,8.03
OF,Wil Myers (17399673),Wil Myers,17399673,OF,4800,PIT@SD 05/04/2021 10:10PM ET,SD,6.83
1B,Trey Mancini (17399770),Trey Mancini,17399770,1B,4800,BAL@SEA 05/04/2021 10:10PM ET,BAL,7.46
SP,Erik Swanson (17399812),Erik Swanson,17399812,P,4800,BAL@SEA 05/04/2021 10:10PM ET,SEA,8.2
1B,Eric Hosmer (17399670),Eric Hosmer,17399670,1B,4600,PIT@SD 05/04/2021 10:10PM ET,SD,7.72
RP,Miguel Diaz (17399744),Miguel Diaz,17399744,P,4600,PIT@SD 05/04/2021 10:10PM ET,SD,10.95
OF,Bryan Reynolds (17399825),Bryan Reynolds,17399825,OF,4600,PIT@SD 05/04/2021 10:10PM ET,PIT,7.61
3B,Ke'Bryan Hayes (17399831),Ke'Bryan Hayes,17399831,3B,4600,PIT@SD 05/04/2021 10:10PM ET,PIT,11
2B,Adam Frazier (17399782),Adam Frazier,17399782,2B,4500,PIT@SD 05/04/2021 10:10PM ET,PIT,7.56
1B,Colin Moran (17399735),Colin Moran,17399735,1B,4300,PIT@SD 05/04/2021 10:10PM ET,PIT,7.04
3B,Kyle Seager (17399672),Kyle Seager,17399672,3B,4300,BAL@SEA 05/04/2021 10:10PM ET,SEA,7.10
C,Pedro Severino (17399725),Pedro Severino,17399725,C,4200,BAL@SEA 05/04/2021 10:10PM ET,BAL,4.48
OF,Cedric Mullins (17399823),Cedric Mullins,17399823,OF,4100,BAL@SEA 05/04/2021 10:10PM ET,BAL,8.86
