,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buster Posey,Buster Posey,Anthony DeSclafani,Anthony DeSclafani,AJ Pollock,Buster Posey,Buster Posey,Anthony DeSclafani,Anthony DeSclafani,Anthony DeSclafani,Buster Posey,Buster Posey,Anthony DeSclafani,Anthony DeSclafani,Anthony DeSclafani,Buster Posey,Buster Posey,Anthony DeSclafani,Anthony DeSclafani,Anthony DeSclafani,Anthony DeSclafani,Anthony DeSclafani,Anthony DeSclafani,Anthony DeSclafani,Anthony DeSclafani,Buster Posey,22.0,Buster Posey,22.0,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,AJ Pollock,5.0,Buster Posey,22.0,Buster Posey,22.0,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,Buster Posey,22.0,Buster Posey,22.0,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,Buster Posey,22.0,Buster Posey,22.0,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001,Anthony DeSclafani,8.475000000000001
2,Evan Longoria,Evan Longoria,Corey Seager,Corey Seager,Anthony DeSclafani,Evan Longoria,Evan Longoria,Corey Seager,Corey Seager,Buster Posey,David Fletcher,David Fletcher,Buster Posey,Buster Posey,Buster Posey,Darin Ruf,Darin Ruf,Austin Slater,Austin Slater,Buster Posey,Austin Slater,Austin Slater,Austin Slater,Austin Slater,Austin Slater,Evan Longoria,7.0,Evan Longoria,7.0,Corey Seager,4.0,Corey Seager,4.0,Anthony DeSclafani,8.475000000000001,Evan Longoria,7.0,Evan Longoria,7.0,Corey Seager,4.0,Corey Seager,4.0,Buster Posey,22.0,David Fletcher,21.0,David Fletcher,21.0,Buster Posey,22.0,Buster Posey,22.0,Buster Posey,22.0,Darin Ruf,4.0,Darin Ruf,4.0,Austin Slater,27.0,Austin Slater,27.0,Buster Posey,22.0,Austin Slater,27.0,Austin Slater,27.0,Austin Slater,27.0,Austin Slater,27.0,Austin Slater,27.0
3,Jake Cronenworth,Jake Cronenworth,Evan Longoria,Evan Longoria,Buster Posey,Jake Cronenworth,Jake Cronenworth,Evan Longoria,Evan Longoria,Corey Seager,Evan Longoria,Evan Longoria,Corey Seager,Corey Seager,Corey Seager,David Fletcher,David Fletcher,Corey Seager,Corey Seager,Corey Seager,Buster Posey,Buster Posey,Buster Posey,Buster Posey,Brandon Lowe,Jake Cronenworth,5.0,Jake Cronenworth,5.0,Evan Longoria,7.0,Evan Longoria,7.0,Buster Posey,22.0,Jake Cronenworth,5.0,Jake Cronenworth,5.0,Evan Longoria,7.0,Evan Longoria,7.0,Corey Seager,4.0,Evan Longoria,7.0,Evan Longoria,7.0,Corey Seager,4.0,Corey Seager,4.0,Corey Seager,4.0,David Fletcher,21.0,David Fletcher,21.0,Corey Seager,4.0,Corey Seager,4.0,Corey Seager,4.0,Buster Posey,22.0,Buster Posey,22.0,Buster Posey,22.0,Buster Posey,22.0,Brandon Lowe,0.0
4,Jose Iglesias,Jose Iglesias,Jed Lowrie,Jed Lowrie,Corey Seager,Jose Iglesias,Jose Iglesias,Jed Lowrie,Jed Lowrie,Darin Ruf,Fernando Tatis Jr.,Fernando Tatis Jr.,David Fletcher,David Fletcher,Darin Ruf,Fernando Tatis Jr.,Fernando Tatis Jr.,Darin Ruf,Darin Ruf,Darin Ruf,Corey Seager,Corey Seager,Corey Seager,Corey Seager,Buster Posey,Jose Iglesias,8.0,Jose Iglesias,8.0,Jed Lowrie,13.0,Jed Lowrie,13.0,Corey Seager,4.0,Jose Iglesias,8.0,Jose Iglesias,8.0,Jed Lowrie,13.0,Jed Lowrie,13.0,Darin Ruf,4.0,Fernando Tatis Jr.,0.0,Fernando Tatis Jr.,0.0,David Fletcher,21.0,David Fletcher,21.0,Darin Ruf,4.0,Fernando Tatis Jr.,0.0,Fernando Tatis Jr.,0.0,Darin Ruf,4.0,Darin Ruf,4.0,Darin Ruf,4.0,Corey Seager,4.0,Corey Seager,4.0,Corey Seager,4.0,Corey Seager,4.0,Buster Posey,22.0
5,Julio Urias,Julio Urias,Julio Urias,Julio Urias,Jed Lowrie,Julio Urias,Julio Urias,Julio Urias,Julio Urias,David Fletcher,Julio Urias,Julio Urias,Evan Longoria,Evan Longoria,David Fletcher,Julio Urias,Julio Urias,David Fletcher,David Fletcher,David Fletcher,David Fletcher,David Fletcher,David Fletcher,David Fletcher,Corey Seager,Julio Urias,3.85,Julio Urias,3.85,Julio Urias,3.85,Julio Urias,3.85,Jed Lowrie,13.0,Julio Urias,3.85,Julio Urias,3.85,Julio Urias,3.85,Julio Urias,3.85,David Fletcher,21.0,Julio Urias,3.85,Julio Urias,3.85,Evan Longoria,7.0,Evan Longoria,7.0,David Fletcher,21.0,Julio Urias,3.85,Julio Urias,3.85,David Fletcher,21.0,David Fletcher,21.0,David Fletcher,21.0,David Fletcher,21.0,David Fletcher,21.0,David Fletcher,21.0,David Fletcher,21.0,Corey Seager,4.0
6,Justin Upton,Justin Upton,Manuel Margot,Manuel Margot,Justin Turner,Justin Upton,Justin Upton,Manuel Margot,Manuel Margot,Justin Turner,Justin Upton,Justin Upton,Julio Urias,Julio Urias,Justin Turner,Justin Upton,Justin Upton,Julio Urias,Julio Urias,Justin Turner,Julio Urias,Julio Urias,Griffin Canning,Griffin Canning,Justin Turner,Justin Upton,16.0,Justin Upton,16.0,Manuel Margot,0.0,Manuel Margot,0.0,Justin Turner,5.0,Justin Upton,16.0,Justin Upton,16.0,Manuel Margot,0.0,Manuel Margot,0.0,Justin Turner,5.0,Justin Upton,16.0,Justin Upton,16.0,Julio Urias,3.85,Julio Urias,3.85,Justin Turner,5.0,Justin Upton,16.0,Justin Upton,16.0,Julio Urias,3.85,Julio Urias,3.85,Justin Turner,5.0,Julio Urias,3.85,Julio Urias,3.85,Griffin Canning,16.3,Griffin Canning,16.3,Justin Turner,5.0
7,Matt Olson,Matt Olson,Mark Canha,Mark Canha,Kevin Kiermaier,Matt Olson,Matt Olson,Mark Canha,Mark Canha,Justin Upton,Manuel Margot,Manuel Margot,Justin Upton,Justin Upton,Justin Upton,Manny Machado,Manny Machado,Justin Turner,Justin Turner,Justin Upton,Manny Machado,Manny Machado,Justin Turner,Justin Turner,Manuel Margot,Matt Olson,0.0,Matt Olson,0.0,Mark Canha,12.0,Mark Canha,12.0,Kevin Kiermaier,0.0,Matt Olson,0.0,Matt Olson,0.0,Mark Canha,12.0,Mark Canha,12.0,Justin Upton,16.0,Manuel Margot,0.0,Manuel Margot,0.0,Justin Upton,16.0,Justin Upton,16.0,Justin Upton,16.0,Manny Machado,7.0,Manny Machado,7.0,Justin Turner,5.0,Justin Turner,5.0,Justin Upton,16.0,Manny Machado,7.0,Manny Machado,7.0,Justin Turner,5.0,Justin Turner,5.0,Manuel Margot,0.0
8,Mike Trout,Mike Trout,Matt Olson,Matt Olson,Matt Olson,Mike Trout,Mike Trout,Matt Olson,Matt Olson,Mark Canha,Mark Canha,Mark Canha,Mark Canha,Mark Canha,Mark Canha,Manuel Margot,Manuel Margot,Mark Canha,Mark Canha,Mark Canha,Manuel Margot,Manuel Margot,Manuel Margot,Manuel Margot,Matt Olson,Mike Trout,18.0,Mike Trout,18.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Mike Trout,18.0,Mike Trout,18.0,Matt Olson,0.0,Matt Olson,0.0,Mark Canha,12.0,Mark Canha,12.0,Mark Canha,12.0,Mark Canha,12.0,Mark Canha,12.0,Mark Canha,12.0,Manuel Margot,0.0,Manuel Margot,0.0,Mark Canha,12.0,Mark Canha,12.0,Mark Canha,12.0,Manuel Margot,0.0,Manuel Margot,0.0,Manuel Margot,0.0,Manuel Margot,0.0,Matt Olson,0.0
9,Sean Manaea,Sean Manaea,Mike Zunino,Mike Zunino,Mike Tauchman,Sean Manaea,Sean Manaea,Mike Zunino,Mike Zunino,Matt Olson,Matt Olson,Matt Olson,Matt Olson,Matt Olson,Matt Olson,Matt Olson,Matt Olson,Matt Olson,Matt Olson,Matt Olson,Mark Canha,Mark Canha,Matt Olson,Matt Olson,Ramon Laureano,Sean Manaea,32.175,Sean Manaea,32.175,Mike Zunino,5.0,Mike Zunino,5.0,Mike Tauchman,3.0,Sean Manaea,32.175,Sean Manaea,32.175,Mike Zunino,5.0,Mike Zunino,5.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Mark Canha,12.0,Mark Canha,12.0,Matt Olson,0.0,Matt Olson,0.0,Ramon Laureano,0.0
