,team,Name,b_o,pj_vO
0,SEA,Mitch Haniger,1,11.59
1,SEA,Kyle Lewis,2,7.93
2,SEA,Kyle Seager,3,8.79
3,SEA,Ty France,4,7.66
4,SEA,J.P. Crawford,5,4.57
5,SEA,Dylan Moore,6,5.24
6,SEA,Tom Murphy,7,5.84
7,SEA,Evan White,8,3.64
8,SEA,Taylor Trammell,9,7.1
9,TEX,Willie Calhoun,1,7.74
10,TEX,Nick Solak,2,7.58
11,TEX,Nate Lowe,3,8.0
12,TEX,Joey Gallo,4,6.51
13,TEX,Adolis Garcia,5,7.93
14,TEX,David Dahl,6,4.81
15,TEX,Isiah Kiner-Falefa,7,8.35
16,TEX,Charlie Culberson,8,6.07
17,TEX,Jose Trevino,9,4.8
18,CWS,Tim Anderson,1,17.12
19,CWS,Adam Eaton,2,14.07
20,CWS,Yoan Moncada,3,13.22
21,CWS,Jose Abreu,4,13.37
22,CWS,Yermin Mercedes,5,15.49
23,CWS,Zack Collins,6,9.38
24,CWS,Andrew Vaughn,7,8.86
25,CWS,Leury Garcia,8,9.7
26,CWS,Nick Madrigal,9,13.76
27,KC,Whit Merrifield,1,4.56
28,KC,Andrew Benintendi,2,3.44
29,KC,Carlos Santana,3,3.39
30,KC,Salvador Perez,4,2.65
31,KC,Jorge Soler,5,2.16
32,KC,Hunter Dozier,6,2.35
33,KC,Hanser Alberto,7,1.05
34,KC,Michael A. Taylor,8,2.36
35,KC,Nicky Lopez,9,2.23
36,TOR,Marcus Semien,1,7.9
37,TOR,Bo Bichette,2,8.91
38,TOR,Vladimir Guerrero Jr.,3,9.02
39,TOR,Teoscar Hernandez,4,6.89
40,TOR,Rowdy Tellez,5,3.45
41,TOR,Randal Grichuk,6,7.57
42,TOR,Lourdes Gurriel Jr.,7,4.72
43,TOR,Cavan Biggio,8,4.42
44,TOR,Danny Jansen,9,2.08
45,HOU,Jose Altuve,1,11.13
46,HOU,Michael Brantley,2,11.9
47,HOU,Alex Bregman,3,11.84
48,HOU,Yordan Alvarez,4,14.39
49,HOU,Yuli Gurriel,5,12.09
50,HOU,Carlos Correa,6,10.41
51,HOU,Kyle Tucker,7,8.44
52,HOU,Myles Straw,8,8.03
53,HOU,Martin Maldonado,9,4.39
54,COL,Raimel Tapia,1,6.44
55,COL,Trevor Story,2,7.74
56,COL,Ryan McMahon,3,6.99
57,COL,Charlie Blackmon,4,5.04
58,COL,Garrett Hampson,5,7.32
59,COL,Matt Adams,6,1.67
60,COL,Josh Fuentes,7,3.12
61,COL,Dom Nunez,8,6.22
62,STL,Tommy Edman,1,7.89
63,STL,Dylan Carlson,2,8.37
64,STL,Paul Goldschmidt,3,8.37
65,STL,Nolan Arenado,4,9.0
66,STL,Paul DeJong,5,8.03
67,STL,Tyler O'Neill,6,8.53
68,STL,Harrison Bader,7,10.07
69,STL,Andrew Knizner,8,4.03
0,SEA,Chris Flexen,SP,15.0
1,TEX,Mike Foltynewicz,SP,15.29
2,CWS,Carlos Rodon,SP,31.67
3,KC,Brad Keller,SP,1.62
4,TOR,Ross Stripling,SP,5.28
5,HOU,Jose Urquidy,SP,13.34
6,COL,Austin Gomber,SP,10.13
7,STL,Jack Flaherty,SP,18.99
