,APPG,pj_vO,APPG_1-6,pj_vO_1-6,APPG_1-5,pj_vO_1-5,APPG_1-4,pj_vO_1-4,APPGa,APPGa_1-6,APPGa_1-5,APPGa_1-4,pj_vOa,pj_vOa_1-6,pj_vOa_1-5,pj_vOa_1-4,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_APPGa,Total_APPGa,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_pj_vOa,Total_pj_vOa,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOa_1-4,Total_pj_vOa_1-4
0,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adam Eaton,Adolis Garcia,Adam Eaton,Adolis Garcia,Adam Eaton,Alex Bregman,Adam Eaton,Adolis Garcia,Adolis Garcia,Adolis Garcia,Alex Bregman,Adam Eaton,Adam Eaton,Adam Eaton,Adam Eaton,Adolis Garcia,8.0,Adam Eaton,9.0,Adolis Garcia,8.0,Adam Eaton,9.0,Adolis Garcia,8.0,Adam Eaton,9.0,Alex Bregman,21.0,Adam Eaton,9.0,Adolis Garcia,8.0,Adolis Garcia,8.0,Adolis Garcia,8.0,Alex Bregman,21.0,Adam Eaton,9.0,Adam Eaton,9.0,Adam Eaton,9.0,Adam Eaton,9.0
2,Bo Bichette,Carlos Rodon,Andrew Benintendi,Carlos Rodon,Alex Bregman,Carlos Rodon,Andrew Benintendi,Austin Gomber,Bo Bichette,Andrew Benintendi,Alex Bregman,Andrew Benintendi,Carlos Rodon,Carlos Rodon,Carlos Rodon,Austin Gomber,Bo Bichette,14.0,Carlos Rodon,30.5,Andrew Benintendi,3.0,Carlos Rodon,30.5,Alex Bregman,21.0,Carlos Rodon,30.5,Andrew Benintendi,3.0,Austin Gomber,11.65,Bo Bichette,14.0,Andrew Benintendi,3.0,Alex Bregman,21.0,Andrew Benintendi,3.0,Carlos Rodon,30.5,Carlos Rodon,30.5,Carlos Rodon,30.5,Austin Gomber,11.65
3,Carlos Rodon,Harrison Bader,Bo Bichette,Jose Altuve,Andrew Benintendi,Dylan Carlson,Austin Gomber,Jose Altuve,Carlos Rodon,Bo Bichette,Andrew Benintendi,Austin Gomber,Harrison Bader,Jose Altuve,Dylan Carlson,Jose Altuve,Carlos Rodon,30.5,Harrison Bader,16.0,Bo Bichette,14.0,Jose Altuve,10.0,Andrew Benintendi,3.0,Dylan Carlson,8.0,Austin Gomber,11.65,Jose Altuve,10.0,Carlos Rodon,30.5,Bo Bichette,14.0,Andrew Benintendi,3.0,Austin Gomber,11.65,Harrison Bader,16.0,Jose Altuve,10.0,Dylan Carlson,8.0,Jose Altuve,10.0
4,Harrison Bader,Mike Foltynewicz,Carlos Rodon,Mike Foltynewicz,Carlos Rodon,Jose Altuve,Bo Bichette,Mike Foltynewicz,Harrison Bader,Carlos Rodon,Carlos Rodon,Bo Bichette,Mike Foltynewicz,Mike Foltynewicz,Jose Altuve,Mike Foltynewicz,Harrison Bader,16.0,Mike Foltynewicz,11.150000000000004,Carlos Rodon,30.5,Mike Foltynewicz,11.150000000000004,Carlos Rodon,30.5,Jose Altuve,10.0,Bo Bichette,14.0,Mike Foltynewicz,11.150000000000004,Harrison Bader,16.0,Carlos Rodon,30.5,Carlos Rodon,30.5,Bo Bichette,14.0,Mike Foltynewicz,11.150000000000004,Mike Foltynewicz,11.150000000000004,Jose Altuve,10.0,Mike Foltynewicz,11.150000000000004
5,Hunter Dozier,Nick Madrigal,Hunter Dozier,Rowdy Tellez,Mike Foltynewicz,Mike Foltynewicz,Carlos Rodon,Mitch Haniger,Hunter Dozier,Hunter Dozier,Mike Foltynewicz,Carlos Rodon,Nick Madrigal,Rowdy Tellez,Mike Foltynewicz,Mitch Haniger,Hunter Dozier,0.0,Nick Madrigal,0.0,Hunter Dozier,0.0,Rowdy Tellez,0.0,Mike Foltynewicz,11.150000000000004,Mike Foltynewicz,11.150000000000004,Carlos Rodon,30.5,Mitch Haniger,5.0,Hunter Dozier,0.0,Hunter Dozier,0.0,Mike Foltynewicz,11.150000000000004,Carlos Rodon,30.5,Nick Madrigal,0.0,Rowdy Tellez,0.0,Mike Foltynewicz,11.150000000000004,Mitch Haniger,5.0
6,Jack Flaherty,Tim Anderson,Mike Foltynewicz,Tim Anderson,Nate Lowe,Paul DeJong,Dylan Carlson,Nate Lowe,Jack Flaherty,Mike Foltynewicz,Nate Lowe,Dylan Carlson,Tim Anderson,Tim Anderson,Paul DeJong,Nate Lowe,Jack Flaherty,29.349999999999998,Tim Anderson,9.0,Mike Foltynewicz,11.150000000000004,Tim Anderson,9.0,Nate Lowe,14.0,Paul DeJong,0.0,Dylan Carlson,8.0,Nate Lowe,14.0,Jack Flaherty,29.349999999999998,Mike Foltynewicz,11.150000000000004,Nate Lowe,14.0,Dylan Carlson,8.0,Tim Anderson,9.0,Tim Anderson,9.0,Paul DeJong,0.0,Nate Lowe,14.0
7,Nick Madrigal,Yermin Mercedes,Salvador Perez,Tyler O'Neill,Paul DeJong,Rowdy Tellez,Nate Lowe,Salvador Perez,Nick Madrigal,Salvador Perez,Paul DeJong,Nate Lowe,Yermin Mercedes,Tyler O'Neill,Rowdy Tellez,Salvador Perez,Nick Madrigal,0.0,Yermin Mercedes,3.0,Salvador Perez,14.0,Tyler O'Neill,0.0,Paul DeJong,0.0,Rowdy Tellez,0.0,Nate Lowe,14.0,Salvador Perez,14.0,Nick Madrigal,0.0,Salvador Perez,14.0,Paul DeJong,0.0,Nate Lowe,14.0,Yermin Mercedes,3.0,Tyler O'Neill,0.0,Rowdy Tellez,0.0,Salvador Perez,14.0
8,Salvador Perez,Yoan Moncada,Tyler O'Neill,Yoan Moncada,Salvador Perez,Salvador Perez,Nick Solak,Tim Anderson,Salvador Perez,Tyler O'Neill,Salvador Perez,Nick Solak,Yoan Moncada,Yoan Moncada,Salvador Perez,Tim Anderson,Salvador Perez,14.0,Yoan Moncada,2.0,Tyler O'Neill,0.0,Yoan Moncada,2.0,Salvador Perez,14.0,Salvador Perez,14.0,Nick Solak,15.0,Tim Anderson,9.0,Salvador Perez,14.0,Tyler O'Neill,0.0,Salvador Perez,14.0,Nick Solak,15.0,Yoan Moncada,2.0,Yoan Moncada,2.0,Salvador Perez,14.0,Tim Anderson,9.0
9,Tyler O'Neill,Yordan Alvarez,Vladimir Guerrero Jr.,Yordan Alvarez,Whit Merrifield,Yoan Moncada,Salvador Perez,Yoan Moncada,Tyler O'Neill,Vladimir Guerrero Jr.,Whit Merrifield,Salvador Perez,Yordan Alvarez,Yordan Alvarez,Yoan Moncada,Yoan Moncada,Tyler O'Neill,0.0,Yordan Alvarez,12.0,Vladimir Guerrero Jr.,4.0,Yordan Alvarez,12.0,Whit Merrifield,0.0,Yoan Moncada,2.0,Salvador Perez,14.0,Yoan Moncada,2.0,Tyler O'Neill,0.0,Vladimir Guerrero Jr.,4.0,Whit Merrifield,0.0,Salvador Perez,14.0,Yordan Alvarez,12.0,Yordan Alvarez,12.0,Yoan Moncada,2.0,Yoan Moncada,2.0
