,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,05-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Eduardo Rodriguez,Eduardo Rodriguez,Aaron Judge,Aaron Judge,Aaron Hicks,Harold Ramirez,Harold Ramirez,Aaron Judge,Aaron Judge,Aaron Hicks,Carson Kelly,Carson Kelly,Aaron Hicks,Aaron Hicks,Aaron Hicks,Carson Kelly,Carson Kelly,Aaron Judge,Aaron Judge,Aaron Judge,Austin Hays,Austin Hays,Aaron Judge,Aaron Judge,Aaron Judge,Eduardo Rodriguez,11.25,Eduardo Rodriguez,11.25,Aaron Judge,0.0,Aaron Judge,0.0,Aaron Hicks,4.0,Harold Ramirez,0.0,Harold Ramirez,0.0,Aaron Judge,0.0,Aaron Judge,0.0,Aaron Hicks,4.0,Carson Kelly,7.0,Carson Kelly,7.0,Aaron Hicks,4.0,Aaron Hicks,4.0,Aaron Hicks,4.0,Carson Kelly,7.0,Carson Kelly,7.0,Aaron Judge,0.0,Aaron Judge,0.0,Aaron Judge,0.0,Austin Hays,13.0,Austin Hays,13.0,Aaron Judge,0.0,Aaron Judge,0.0,Aaron Judge,0.0
2,Freddy Galvis,Freddy Galvis,Charlie Morton,Charlie Morton,Aaron Judge,Isan Diaz,Isan Diaz,Charlie Morton,Charlie Morton,Aaron Judge,Isan Diaz,Isan Diaz,Charlie Morton,Charlie Morton,Aaron Judge,Franmil Reyes,Franmil Reyes,Giancarlo Stanton,Giancarlo Stanton,Giancarlo Stanton,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Freddy Galvis,8.0,Freddy Galvis,8.0,Charlie Morton,-1.1499999999999997,Charlie Morton,-1.1499999999999997,Aaron Judge,0.0,Isan Diaz,25.0,Isan Diaz,25.0,Charlie Morton,-1.1499999999999997,Charlie Morton,-1.1499999999999997,Aaron Judge,0.0,Isan Diaz,25.0,Isan Diaz,25.0,Charlie Morton,-1.1499999999999997,Charlie Morton,-1.1499999999999997,Aaron Judge,0.0,Franmil Reyes,0.0,Franmil Reyes,0.0,Giancarlo Stanton,0.0,Giancarlo Stanton,0.0,Giancarlo Stanton,0.0,Carson Kelly,7.0,Carson Kelly,7.0,Carson Kelly,7.0,Carson Kelly,7.0,Carson Kelly,7.0
3,Harold Ramirez,Harold Ramirez,Giancarlo Stanton,Giancarlo Stanton,Charlie Morton,Jesse Winker,Jesse Winker,Giancarlo Stanton,Giancarlo Stanton,Charlie Morton,J.D. Martinez,J.D. Martinez,Giancarlo Stanton,Giancarlo Stanton,Charlie Morton,Jesse Winker,Jesse Winker,Jeimer Candelario,Jeimer Candelario,Jeimer Candelario,Jesse Winker,Jesse Winker,Giancarlo Stanton,Giancarlo Stanton,Giancarlo Stanton,Harold Ramirez,0.0,Harold Ramirez,0.0,Giancarlo Stanton,0.0,Giancarlo Stanton,0.0,Charlie Morton,-1.1499999999999997,Jesse Winker,5.0,Jesse Winker,5.0,Giancarlo Stanton,0.0,Giancarlo Stanton,0.0,Charlie Morton,-1.1499999999999997,J.D. Martinez,3.0,J.D. Martinez,3.0,Giancarlo Stanton,0.0,Giancarlo Stanton,0.0,Charlie Morton,-1.1499999999999997,Jesse Winker,5.0,Jesse Winker,5.0,Jeimer Candelario,7.0,Jeimer Candelario,7.0,Jeimer Candelario,7.0,Jesse Winker,5.0,Jesse Winker,5.0,Giancarlo Stanton,0.0,Giancarlo Stanton,0.0,Giancarlo Stanton,0.0
4,Isan Diaz,Isan Diaz,Isan Diaz,Isan Diaz,Giancarlo Stanton,Maikel Franco,Maikel Franco,Isan Diaz,Isan Diaz,Giancarlo Stanton,Jesse Winker,Jesse Winker,Isan Diaz,Isan Diaz,Giancarlo Stanton,Kolten Wong,Kolten Wong,Jonathan Schoop,Jonathan Schoop,Jonathan Schoop,Jose Ramirez,Jose Ramirez,Jeimer Candelario,Jeimer Candelario,Jeimer Candelario,Isan Diaz,25.0,Isan Diaz,25.0,Isan Diaz,25.0,Isan Diaz,25.0,Giancarlo Stanton,0.0,Maikel Franco,0.0,Maikel Franco,0.0,Isan Diaz,25.0,Isan Diaz,25.0,Giancarlo Stanton,0.0,Jesse Winker,5.0,Jesse Winker,5.0,Isan Diaz,25.0,Isan Diaz,25.0,Giancarlo Stanton,0.0,Kolten Wong,2.0,Kolten Wong,2.0,Jonathan Schoop,0.0,Jonathan Schoop,0.0,Jonathan Schoop,0.0,Jose Ramirez,0.0,Jose Ramirez,0.0,Jeimer Candelario,7.0,Jeimer Candelario,7.0,Jeimer Candelario,7.0
5,J.D. Martinez,J.D. Martinez,Jeimer Candelario,Jeimer Candelario,Jean Segura,Ronald Acuna Jr.,Ronald Acuna Jr.,Jeimer Candelario,Jeimer Candelario,Jeimer Candelario,Lorenzo Cain,Lorenzo Cain,Jeimer Candelario,Jeimer Candelario,Jeimer Candelario,Lorenzo Cain,Lorenzo Cain,Kolten Wong,Kolten Wong,Kolten Wong,Kolten Wong,Kolten Wong,Jonathan Schoop,Jonathan Schoop,Jonathan Schoop,J.D. Martinez,3.0,J.D. Martinez,3.0,Jeimer Candelario,7.0,Jeimer Candelario,7.0,Jean Segura,20.0,Ronald Acuna Jr.,5.0,Ronald Acuna Jr.,5.0,Jeimer Candelario,7.0,Jeimer Candelario,7.0,Jeimer Candelario,7.0,Lorenzo Cain,0.0,Lorenzo Cain,0.0,Jeimer Candelario,7.0,Jeimer Candelario,7.0,Jeimer Candelario,7.0,Lorenzo Cain,0.0,Lorenzo Cain,0.0,Kolten Wong,2.0,Kolten Wong,2.0,Kolten Wong,2.0,Kolten Wong,2.0,Kolten Wong,2.0,Jonathan Schoop,0.0,Jonathan Schoop,0.0,Jonathan Schoop,0.0
6,Jacob Nottingham,Jacob Nottingham,Miguel Sano,Miguel Sano,Jeimer Candelario,Trea Turner,Trea Turner,Miguel Sano,Miguel Sano,Miguel Sano,Starlin Castro,Starlin Castro,Jonathan Schoop,Jonathan Schoop,Josh Bell,Mike Moustakas,Mike Moustakas,Mitch Garver,Mitch Garver,Mitch Garver,Lorenzo Cain,Lorenzo Cain,Kolten Wong,Kolten Wong,Kolten Wong,Jacob Nottingham,5.0,Jacob Nottingham,5.0,Miguel Sano,9.0,Miguel Sano,9.0,Jeimer Candelario,7.0,Trea Turner,7.0,Trea Turner,7.0,Miguel Sano,9.0,Miguel Sano,9.0,Miguel Sano,9.0,Starlin Castro,10.0,Starlin Castro,10.0,Jonathan Schoop,0.0,Jonathan Schoop,0.0,Josh Bell,14.0,Mike Moustakas,5.0,Mike Moustakas,5.0,Mitch Garver,4.0,Mitch Garver,4.0,Mitch Garver,4.0,Lorenzo Cain,0.0,Lorenzo Cain,0.0,Kolten Wong,2.0,Kolten Wong,2.0,Kolten Wong,2.0
7,Jesse Winker,Jesse Winker,Nelson Cruz,Nelson Cruz,Miguel Sano,Trevor Rogers,Trevor Rogers,Nelson Cruz,Nelson Cruz,Ozzie Albies,Trevor Rogers,Trevor Rogers,Mitch Garver,Mitch Garver,Kolten Wong,Trea Turner,Trea Turner,Robbie Grossman,Robbie Grossman,Robbie Grossman,Miguel Rojas,Miguel Rojas,Robbie Grossman,Robbie Grossman,Robbie Grossman,Jesse Winker,5.0,Jesse Winker,5.0,Nelson Cruz,0.0,Nelson Cruz,0.0,Miguel Sano,9.0,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Nelson Cruz,0.0,Nelson Cruz,0.0,Ozzie Albies,2.0,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Mitch Garver,4.0,Mitch Garver,4.0,Kolten Wong,2.0,Trea Turner,7.0,Trea Turner,7.0,Robbie Grossman,2.0,Robbie Grossman,2.0,Robbie Grossman,2.0,Miguel Rojas,16.0,Miguel Rojas,16.0,Robbie Grossman,2.0,Robbie Grossman,2.0,Robbie Grossman,2.0
8,Rafael Devers,Rafael Devers,Niko Goodrum,Niko Goodrum,Mitch Garver,Trey Mancini,Trey Mancini,Niko Goodrum,Niko Goodrum,Trea Turner,Trey Mancini,Trey Mancini,Nelson Cruz,Nelson Cruz,Mitch Garver,Trevor Rogers,Trevor Rogers,Trea Turner,Trea Turner,Trea Turner,Trevor Rogers,Trevor Rogers,Trea Turner,Trea Turner,Trea Turner,Rafael Devers,16.0,Rafael Devers,16.0,Niko Goodrum,3.0,Niko Goodrum,3.0,Mitch Garver,4.0,Trey Mancini,7.0,Trey Mancini,7.0,Niko Goodrum,3.0,Niko Goodrum,3.0,Trea Turner,7.0,Trey Mancini,7.0,Trey Mancini,7.0,Nelson Cruz,0.0,Nelson Cruz,0.0,Mitch Garver,4.0,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Trea Turner,7.0,Trea Turner,7.0,Trea Turner,7.0,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Trea Turner,7.0,Trea Turner,7.0,Trea Turner,7.0
9,Trevor Rogers,Trevor Rogers,Trevor Rogers,Trevor Rogers,Niko Goodrum,William Contreras,William Contreras,Trevor Rogers,Trevor Rogers,Trevor Rogers,Wade Miley,Wade Miley,Niko Goodrum,Niko Goodrum,Niko Goodrum,Trey Mancini,Trey Mancini,Trevor Rogers,Trevor Rogers,Trevor Rogers,Trey Mancini,Trey Mancini,Trevor Rogers,Trevor Rogers,Trevor Rogers,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Niko Goodrum,3.0,William Contreras,0.0,William Contreras,0.0,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Wade Miley,44.65,Wade Miley,44.65,Niko Goodrum,3.0,Niko Goodrum,3.0,Niko Goodrum,3.0,Trey Mancini,7.0,Trey Mancini,7.0,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Trey Mancini,7.0,Trey Mancini,7.0,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002,Trevor Rogers,21.650000000000002
