Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Trevor Bauer (17447394),Trevor Bauer,17447394,P,11300,LAD@LAA 05/07/2021 09:38PM ET,LAD,26.21
SP,Joe Musgrove (17447396),Joe Musgrove,17447396,P,11100,SD@SF 05/07/2021 09:45PM ET,SD,17.08
SP,Yu Darvish (17447296),Yu Darvish,17447296,P,10900,SD@SF 05/07/2021 09:45PM ET,SD,24.95
SP,Tyler Glasnow (17447399),Tyler Glasnow,17447399,P,10500,TB@OAK 05/07/2021 09:40PM ET,TB,28.49
SP,Blake Snell (17447398),Blake Snell,17447398,P,10200,SD@SF 05/07/2021 09:45PM ET,SD,15.39
SP,Tony Gonsolin (17447601),Tony Gonsolin,17447601,P,10200,LAD@LAA 05/07/2021 09:38PM ET,LAD,0
SP,Walker Buehler (17447449),Walker Buehler,17447449,P,10000,LAD@LAA 05/07/2021 09:38PM ET,LAD,19.73
SP,Johnny Cueto (17447281),Johnny Cueto,17447281,P,9900,SD@SF 05/07/2021 09:45PM ET,SF,23.6
SP,Clayton Kershaw (17447285),Clayton Kershaw,17447285,P,9800,LAD@LAA 05/07/2021 09:38PM ET,LAD,15.18
SP,Julio Urias (17447467),Julio Urias,17447467,P,9700,LAD@LAA 05/07/2021 09:38PM ET,LAD,23.29
SP,Dinelson Lamet (17447549),Dinelson Lamet,17447549,P,9600,SD@SF 05/07/2021 09:45PM ET,SD,6.7
SP,Chris Paddack (17447570),Chris Paddack,17447570,P,9500,SD@SF 05/07/2021 09:45PM ET,SD,10.66
SP,Chris Bassitt (17447406),Chris Bassitt,17447406,P,9300,TB@OAK 05/07/2021 09:40PM ET,OAK,17.14
SP,Yonny Chirinos (17447466),Yonny Chirinos,17447466,P,9300,TB@OAK 05/07/2021 09:40PM ET,TB,0
SP,Sean Manaea (17447463),Sean Manaea,17447463,P,9200,TB@OAK 05/07/2021 09:40PM ET,OAK,18.02
SP,Alex Wood (17447424),Alex Wood,17447424,P,9100,SD@SF 05/07/2021 09:45PM ET,SF,21.59
SP,Dylan Bundy (17447395),Dylan Bundy,17447395,P,9100,LAD@LAA 05/07/2021 09:38PM ET,LAA,17.4
SP,Kevin Gausman (17447369),Kevin Gausman,17447369,P,9000,SD@SF 05/07/2021 09:45PM ET,SF,22.94
SP,Mike Clevinger (17447402),Mike Clevinger,17447402,P,9000,SD@SF 05/07/2021 09:45PM ET,SD,0
SP,Dustin May (17447598),Dustin May,17447598,P,9000,LAD@LAA 05/07/2021 09:38PM ET,LAD,19.59
SP,Andrew Heaney (17447336),Andrew Heaney,17447336,P,8900,LAD@LAA 05/07/2021 09:38PM ET,LAA,18.87
RP,Ryan Weathers (17447644),Ryan Weathers,17447644,P,8800,SD@SF 05/07/2021 09:45PM ET,SD,8.56
SP,Jesus Luzardo (17447597),Jesus Luzardo,17447597,P,8800,TB@OAK 05/07/2021 09:40PM ET,OAK,10.67
SP,Chris Archer (17447288),Chris Archer,17447288,P,8600,TB@OAK 05/07/2021 09:40PM ET,TB,5.48
SP,Frankie Montas (17447380),Frankie Montas,17447380,P,8600,TB@OAK 05/07/2021 09:40PM ET,OAK,11.9
SP,Michael Wacha (17447427),Michael Wacha,17447427,P,8000,TB@OAK 05/07/2021 09:40PM ET,TB,11.46
SP,Cole Irvin (17447452),Cole Irvin,17447452,P,8000,TB@OAK 05/07/2021 09:40PM ET,OAK,18.26
SP,Logan Webb (17447528),Logan Webb,17447528,P,7900,SD@SF 05/07/2021 09:45PM ET,SF,10.4
SP,Aaron Sanchez (17447364),Aaron Sanchez,17447364,P,7800,SD@SF 05/07/2021 09:45PM ET,SF,12.16
SP,Alex Cobb (17447287),Alex Cobb,17447287,P,7800,LAD@LAA 05/07/2021 09:38PM ET,LAA,13.04
SP,Ryan Yarbrough (17447494),Ryan Yarbrough,17447494,P,7800,TB@OAK 05/07/2021 09:40PM ET,TB,11.29
SP,Anthony DeSclafani (17447316),Anthony DeSclafani,17447316,P,7600,SD@SF 05/07/2021 09:45PM ET,SF,15.45
SP,Griffin Canning (17447545),Griffin Canning,17447545,P,7500,LAD@LAA 05/07/2021 09:38PM ET,LAA,12.31
RP,Chris Mazza (17447412),Chris Mazza,17447412,P,7500,TB@OAK 05/07/2021 09:40PM ET,TB,-0.29
SP,Rich Hill (17447267),Rich Hill,17447267,P,7100,TB@OAK 05/07/2021 09:40PM ET,TB,10.2
SP,Tyler Beede (17447397),Tyler Beede,17447397,P,6800,SD@SF 05/07/2021 09:45PM ET,SF,0
SP,Dillon Peters (17447409),Dillon Peters,17447409,P,6700,LAD@LAA 05/07/2021 09:38PM ET,LAA,0
SP,David Price (17447299),David Price,17447299,P,6600,LAD@LAA 05/07/2021 09:38PM ET,LAD,3.56
SP,Josh Fleming (17447629),Josh Fleming,17447629,P,6600,TB@OAK 05/07/2021 09:40PM ET,TB,12.35
RP,Shane McClanahan (17447576),Shane McClanahan,17447576,P,6500,TB@OAK 05/07/2021 09:40PM ET,TB,14.3
SP,Jose Quintana (17447347),Jose Quintana,17447347,P,6400,LAD@LAA 05/07/2021 09:38PM ET,LAA,6.29
SP,Jaime Barria (17447473),Jaime Barria,17447473,P,6300,LAD@LAA 05/07/2021 09:38PM ET,LAA,-15.5
SP,Mike Fiers (17447335),Mike Fiers,17447335,P,6300,TB@OAK 05/07/2021 09:40PM ET,OAK,1.8
OF,Mookie Betts (17447401),Mookie Betts,17447401,OF,6200,LAD@LAA 05/07/2021 09:38PM ET,LAD,8.6
3B,Justin Turner (17447289),Justin Turner,17447289,3B,6100,LAD@LAA 05/07/2021 09:38PM ET,LAD,9.7
RP,Alex Vesia (17447648),Alex Vesia,17447648,P,6100,LAD@LAA 05/07/2021 09:38PM ET,LAD,2.88
SS,Fernando Tatis Jr. (17447611),Fernando Tatis Jr.,17447611,SS,5800,SD@SF 05/07/2021 09:45PM ET,SD,10.09
OF,Mike Trout (17447323),Mike Trout,17447323,OF,5600,LAD@LAA 05/07/2021 09:38PM ET,LAA,10.93
SS,Corey Seager (17447437),Corey Seager,17447437,SS,5600,LAD@LAA 05/07/2021 09:38PM ET,LAD,8.37
RP,Luis Patino (17447619),Luis Patino,17447619,P,5500,TB@OAK 05/07/2021 09:40PM ET,TB,12.28
C,Will Smith (17447561),Will Smith,17447561,C,5400,LAD@LAA 05/07/2021 09:38PM ET,LAD,7.5
1B,Max Muncy (17447341),Max Muncy,17447341,1B,5300,LAD@LAA 05/07/2021 09:38PM ET,LAD,7.97
RP,Miguel Diaz (17447438),Miguel Diaz,17447438,P,5200,SD@SF 05/07/2021 09:45PM ET,SD,10.95
OF,Mike Yastrzemski (17447339),Mike Yastrzemski,17447339,OF,5000,SD@SF 05/07/2021 09:45PM ET,SF,7.04
OF,Cody Bellinger (17447480),Cody Bellinger,17447480,OF,5000,LAD@LAA 05/07/2021 09:38PM ET,LAD,7.75
3B,Manny Machado (17447363),Manny Machado,17447363,3B,4900,SD@SF 05/07/2021 09:45PM ET,SD,7.68
RP,Andrew Kittredge (17447381),Andrew Kittredge,17447381,P,4900,TB@OAK 05/07/2021 09:40PM ET,TB,4.96
OF,Ramon Laureano (17447533),Ramon Laureano,17447533,OF,4900,TB@OAK 05/07/2021 09:40PM ET,OAK,9.83
C,Buster Posey (17447311),Buster Posey,17447311,C,4800,SD@SF 05/07/2021 09:45PM ET,SF,10.35
2B/OF,Chris Taylor (17447428),Chris Taylor,17447428,2B/OF,4800,LAD@LAA 05/07/2021 09:38PM ET,LAD,9.07
