,APPG,pj_vO,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO
0,05-07-21,05-07-21,,,,
1,Avisail Garcia,Aaron Hicks,Avisail Garcia,2.0,Aaron Hicks,4.0
2,Jacob Nottingham,Aaron Judge,Jacob Nottingham,5.0,Aaron Judge,0.0
3,Kolten Wong,Carson Kelly,Kolten Wong,2.0,Carson Kelly,7.0
4,Lorenzo Cain,Charlie Morton,Lorenzo Cain,0.0,Charlie Morton,-1.1499999999999997
5,Rhys Hoskins,Giancarlo Stanton,Rhys Hoskins,6.0,Giancarlo Stanton,0.0
6,Ronald Acuna Jr.,Jean Segura,Ronald Acuna Jr.,5.0,Jean Segura,20.0
7,Starlin Castro,Josh Bell,Starlin Castro,10.0,Josh Bell,14.0
8,Trea Turner,Starlin Castro,Trea Turner,7.0,Starlin Castro,10.0
9,Trevor Rogers,Trea Turner,Trevor Rogers,21.650000000000002,Trea Turner,7.0
10,Zac Gallen,Trevor Rogers,Zac Gallen,16.700000000000003,Trevor Rogers,21.650000000000002
11,115.4,128.20999999999998,,75.35000000000001,,82.5
