Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Trevor Bauer (17480464),Trevor Bauer,17480464,P,10200,LAD@LAA 05/09/2021 04:07PM ET,LAD,26.21
SP,Walker Buehler (17480666),Walker Buehler,17480666,P,9800,LAD@LAA 05/09/2021 04:07PM ET,LAD,19.73
SP,Yu Darvish (17480667),Yu Darvish,17480667,P,9700,SD@SF 05/09/2021 04:05PM ET,SD,24.95
SP,Clayton Kershaw (17480668),Clayton Kershaw,17480668,P,9600,LAD@LAA 05/09/2021 04:07PM ET,LAD,15.18
SP,Tyler Glasnow (17480669),Tyler Glasnow,17480669,P,9500,TB@OAK 05/09/2021 04:07PM ET,TB,28.49
SP,Joe Musgrove (17480670),Joe Musgrove,17480670,P,9400,SD@SF 05/09/2021 04:05PM ET,SD,17.08
SP,Andrew Heaney (17480671),Andrew Heaney,17480671,P,9300,LAD@LAA 05/09/2021 04:07PM ET,LAA,18.87
SP,Blake Snell (17480673),Blake Snell,17480673,P,9200,SD@SF 05/09/2021 04:05PM ET,SD,14.38
SP,Julio Urias (17480672),Julio Urias,17480672,P,9200,LAD@LAA 05/09/2021 04:07PM ET,LAD,20.51
SP,Dylan Bundy (17480674),Dylan Bundy,17480674,P,9100,LAD@LAA 05/09/2021 04:07PM ET,LAA,17.4
SP,Tony Gonsolin (17480675),Tony Gonsolin,17480675,P,9000,LAD@LAA 05/09/2021 04:07PM ET,LAD,0
SP,Dustin May (17480676),Dustin May,17480676,P,9000,LAD@LAA 05/09/2021 04:07PM ET,LAD,19.59
SP,Alex Cobb (17480677),Alex Cobb,17480677,P,8900,LAD@LAA 05/09/2021 04:07PM ET,LAA,13.04
SP,Griffin Canning (17480678),Griffin Canning,17480678,P,8700,LAD@LAA 05/09/2021 04:07PM ET,LAA,13.15
SP,Alex Wood (17480679),Alex Wood,17480679,P,8600,SD@SF 05/09/2021 04:05PM ET,SF,21.59
SP,Dinelson Lamet (17480465),Dinelson Lamet,17480465,P,8500,SD@SF 05/09/2021 04:05PM ET,SD,6.7
SP,Chris Paddack (17480680),Chris Paddack,17480680,P,8500,SD@SF 05/09/2021 04:05PM ET,SD,10.66
SP,Sean Manaea (17480681),Sean Manaea,17480681,P,8400,TB@OAK 05/09/2021 04:07PM ET,OAK,20.12
SP,Chris Bassitt (17480682),Chris Bassitt,17480682,P,8300,TB@OAK 05/09/2021 04:07PM ET,OAK,17.14
SP,Kevin Gausman (17480683),Kevin Gausman,17480683,P,8100,SD@SF 05/09/2021 04:05PM ET,SF,22.94
SP,Johnny Cueto (17480466),Johnny Cueto,17480466,P,7900,SD@SF 05/09/2021 04:05PM ET,SF,23.6
SP,Jesus Luzardo (17480684),Jesus Luzardo,17480684,P,7800,TB@OAK 05/09/2021 04:07PM ET,OAK,10.67
SP,Mike Clevinger (17480685),Mike Clevinger,17480685,P,7700,SD@SF 05/09/2021 04:05PM ET,SD,0
SP,Yonny Chirinos (17480686),Yonny Chirinos,17480686,P,7500,TB@OAK 05/09/2021 04:07PM ET,TB,0
RP,Ryan Weathers (17480687),Ryan Weathers,17480687,P,7400,SD@SF 05/09/2021 04:05PM ET,SD,8.56
SP,Logan Webb (17480688),Logan Webb,17480688,P,7300,SD@SF 05/09/2021 04:05PM ET,SF,10.4
SP,Frankie Montas (17480689),Frankie Montas,17480689,P,7200,TB@OAK 05/09/2021 04:07PM ET,OAK,11.9
SP,Cole Irvin (17480467),Cole Irvin,17480467,P,7000,TB@OAK 05/09/2021 04:07PM ET,OAK,18.26
SP,Chris Archer (17480690),Chris Archer,17480690,P,7000,TB@OAK 05/09/2021 04:07PM ET,TB,5.48
SP,Aaron Sanchez (17480691),Aaron Sanchez,17480691,P,6900,SD@SF 05/09/2021 04:05PM ET,SF,12.16
SP,Michael Wacha (17480692),Michael Wacha,17480692,P,6700,TB@OAK 05/09/2021 04:07PM ET,TB,11.46
SP,Ryan Yarbrough (17480693),Ryan Yarbrough,17480693,P,6600,TB@OAK 05/09/2021 04:07PM ET,TB,11.29
SP,Anthony DeSclafani (17480694),Anthony DeSclafani,17480694,P,6500,SD@SF 05/09/2021 04:05PM ET,SF,14.73
RP,Shane McClanahan (17480468),Shane McClanahan,17480468,P,6400,TB@OAK 05/09/2021 04:07PM ET,TB,14.3
SP,Dillon Peters (17480695),Dillon Peters,17480695,P,6300,LAD@LAA 05/09/2021 04:07PM ET,LAA,0
RP,Alex Vesia (17480696),Alex Vesia,17480696,P,6200,LAD@LAA 05/09/2021 04:07PM ET,LAD,2.88
SP,Mike Fiers (17480697),Mike Fiers,17480697,P,6200,TB@OAK 05/09/2021 04:07PM ET,OAK,1.8
SP,Jose Quintana (17480469),Jose Quintana,17480469,P,6100,LAD@LAA 05/09/2021 04:07PM ET,LAA,6.29
SP,Rich Hill (17480698),Rich Hill,17480698,P,6100,TB@OAK 05/09/2021 04:07PM ET,TB,11.39
SP,Tyler Beede (17480699),Tyler Beede,17480699,P,6000,SD@SF 05/09/2021 04:05PM ET,SF,0
OF,Mike Trout (17480470),Mike Trout,17480470,OF,6000,LAD@LAA 05/09/2021 04:07PM ET,LAA,11.18
SP,David Price (17480700),David Price,17480700,P,6000,LAD@LAA 05/09/2021 04:07PM ET,LAD,3.56
OF,Mookie Betts (17480471),Mookie Betts,17480471,OF,5800,LAD@LAA 05/09/2021 04:07PM ET,LAD,9.08
SP,Josh Fleming (17480701),Josh Fleming,17480701,P,5800,TB@OAK 05/09/2021 04:07PM ET,TB,12.35
SS,Fernando Tatis Jr. (17480472),Fernando Tatis Jr.,17480472,SS,5700,SD@SF 05/09/2021 04:05PM ET,SD,9.67
RP,Chris Mazza (17480702),Chris Mazza,17480702,P,5700,TB@OAK 05/09/2021 04:07PM ET,TB,-0.29
SP,Adrian Morejon (17480703),Adrian Morejon,17480703,P,5600,SD@SF 05/09/2021 04:05PM ET,SD,4.15
RP,Miguel Diaz (17480704),Miguel Diaz,17480704,P,5500,SD@SF 05/09/2021 04:05PM ET,SD,10.95
RP,Luis Patino (17480705),Luis Patino,17480705,P,5400,TB@OAK 05/09/2021 04:07PM ET,TB,12.28
3B,Justin Turner (17480473),Justin Turner,17480473,3B,5300,LAD@LAA 05/09/2021 04:07PM ET,LAD,9.55
SP,Jaime Barria (17480706),Jaime Barria,17480706,P,5300,LAD@LAA 05/09/2021 04:07PM ET,LAA,-15.5
OF,Randy Arozarena (17480474),Randy Arozarena,17480474,OF,5200,TB@OAK 05/09/2021 04:07PM ET,TB,7.67
3B,Manny Machado (17480475),Manny Machado,17480475,3B,5100,SD@SF 05/09/2021 04:05PM ET,SD,7.66
C,Will Smith (17480476),Will Smith,17480476,C,5100,LAD@LAA 05/09/2021 04:07PM ET,LAD,7.56
OF,Mike Yastrzemski (17480478),Mike Yastrzemski,17480478,OF,5000,SD@SF 05/09/2021 04:05PM ET,SF,6.83
SS,Corey Seager (17480477),Corey Seager,17480477,SS,5000,LAD@LAA 05/09/2021 04:07PM ET,LAD,8.23
C,Buster Posey (17480481),Buster Posey,17480481,C,4900,SD@SF 05/09/2021 04:05PM ET,SF,10.90
1B,Max Muncy (17480479),Max Muncy,17480479,1B,4900,LAD@LAA 05/09/2021 04:07PM ET,LAD,7.71
OF,Ramon Laureano (17480480),Ramon Laureano,17480480,OF,4900,TB@OAK 05/09/2021 04:07PM ET,OAK,9.52
RP,Andrew Kittredge (17480707),Andrew Kittredge,17480707,P,4900,TB@OAK 05/09/2021 04:07PM ET,TB,4.54
1B/OF,Shohei Ohtani (17480482),Shohei Ohtani,17480482,1B/OF,4700,LAD@LAA 05/09/2021 04:07PM ET,LAA,2.56
3B,Matt Chapman (17480484),Matt Chapman,17480484,3B,4700,TB@OAK 05/09/2021 04:07PM ET,OAK,6.29
1B,Eric Hosmer (17480486),Eric Hosmer,17480486,1B,4500,SD@SF 05/09/2021 04:05PM ET,SD,7.84
OF,Cody Bellinger (17480563),Cody Bellinger,17480563,OF,4500,LAD@LAA 05/09/2021 04:07PM ET,LAD,7.75
3B,Anthony Rendon (17480564),Anthony Rendon,17480564,3B,4500,LAD@LAA 05/09/2021 04:07PM ET,LAA,8.47
2B,Jed Lowrie (17480485),Jed Lowrie,17480485,2B,4500,TB@OAK 05/09/2021 04:07PM ET,OAK,7.56
OF,Austin Meadows (17480487),Austin Meadows,17480487,OF,4300,TB@OAK 05/09/2021 04:07PM ET,TB,7.74
1B,Matt Olson (17480488),Matt Olson,17480488,1B,4300,TB@OAK 05/09/2021 04:07PM ET,OAK,8.61
2B,Brandon Lowe (17480489),Brandon Lowe,17480489,2B,4300,TB@OAK 05/09/2021 04:07PM ET,TB,6.19
OF,Chris Taylor (17480490),Chris Taylor,17480490,OF,4200,LAD@LAA 05/09/2021 04:07PM ET,LAD,9.03
C,Sean Murphy (17480491),Sean Murphy,17480491,C,4200,TB@OAK 05/09/2021 04:07PM ET,OAK,6.35
3B/SS,Joey Wendle (17480492),Joey Wendle,17480492,3B/SS,4200,TB@OAK 05/09/2021 04:07PM ET,TB,7.13
2B/3B,Wilmer Flores (17480496),Wilmer Flores,17480496,2B/3B,4100,SD@SF 05/09/2021 04:05PM ET,SF,4.09
1B/OF,Jared Walsh (17480494),Jared Walsh,17480494,1B/OF,4100,LAD@LAA 05/09/2021 04:07PM ET,LAA,8.57
SS,Brandon Crawford (17480499),Brandon Crawford,17480499,SS,4000,SD@SF 05/09/2021 04:05PM ET,SF,7.26
RP,Matt Wisler (17480708),Matt Wisler,17480708,P,4000,SD@SF 05/09/2021 04:05PM ET,SF,1.85
SP,Caleb Baragar (17480718),Caleb Baragar,17480718,P,4000,SD@SF 05/09/2021 04:05PM ET,SF,3.11
RP,Michel Baez (17480719),Michel Baez,17480719,P,4000,SD@SF 05/09/2021 04:05PM ET,SD,0
RP,Craig Stammen (17480722),Craig Stammen,17480722,P,4000,SD@SF 05/09/2021 04:05PM ET,SD,5.61
SP,Nabil Crismatt (17480726),Nabil Crismatt,17480726,P,4000,SD@SF 05/09/2021 04:05PM ET,SD,5.51
RP,Rico Garcia (17480729),Rico Garcia,17480729,P,4000,SD@SF 05/09/2021 04:05PM ET,SF,0
RP,Chase Johnson (17480733),Chase Johnson,17480733,P,4000,SD@SF 05/09/2021 04:05PM ET,SD,0
RP,Sam Wolff (17480734),Sam Wolff,17480734,P,4000,SD@SF 05/09/2021 04:05PM ET,SF,0
RP,Javy Guerra (17480738),Javy Guerra,17480738,P,4000,SD@SF 05/09/2021 04:05PM ET,SD,0
RP,Keone Kela (17480739),Keone Kela,17480739,P,4000,SD@SF 05/09/2021 04:05PM ET,SD,3.13
SP,Zack Littell (17480743),Zack Littell,17480743,P,4000,SD@SF 05/09/2021 04:05PM ET,SF,1.9
RP,Camilo Doval (17480744),Camilo Doval,17480744,P,4000,SD@SF 05/09/2021 04:05PM ET,SF,2.21
RP,Jose Alvarez (17480745),Jose Alvarez,17480745,P,4000,SD@SF 05/09/2021 04:05PM ET,SF,2.67
RP,Daniel Camarena (17480749),Daniel Camarena,17480749,P,4000,SD@SF 05/09/2021 04:05PM ET,SD,0
RP,Tim Hill (17480753),Tim Hill,17480753,P,4000,SD@SF 05/09/2021 04:05PM ET,SD,3.76
