,APPG,pj_vO,APPG_1-6,pj_vO_1-6,APPG_1-5,pj_vO_1-5,APPGa,APPGa_1-6,APPGa_1-5,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_APPGa,Total_APPGa,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPGa_1-5,Total_APPGa_1-5
0,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,,,,,,,,,,,,,,,,,,
1,Brandon Crawford,Austin Meadows,Chris Taylor,Austin Meadows,Corey Seager,Austin Meadows,Brandon Crawford,Chris Taylor,Corey Seager,Brandon Crawford,20.0,Austin Meadows,9.0,Chris Taylor,16.0,Austin Meadows,9.0,Corey Seager,15.0,Austin Meadows,9.0,Brandon Crawford,20.0,Chris Taylor,16.0,Corey Seager,15.0
2,Chris Taylor,Brandon Belt,Jake Cronenworth,Brandon Lowe,David Fletcher,Brandon Belt,Chris Taylor,Jake Cronenworth,David Fletcher,Chris Taylor,16.0,Brandon Belt,23.0,Jake Cronenworth,8.0,Brandon Lowe,19.0,David Fletcher,3.0,Brandon Belt,23.0,Chris Taylor,16.0,Jake Cronenworth,8.0,David Fletcher,3.0
3,Jake Cronenworth,Brandon Lowe,Jose Iglesias,Joe Musgrove,Evan Longoria,Corey Seager,Jake Cronenworth,Jose Iglesias,Evan Longoria,Jake Cronenworth,8.0,Brandon Lowe,19.0,Jose Iglesias,0.0,Joe Musgrove,11.85,Evan Longoria,7.0,Corey Seager,15.0,Jake Cronenworth,8.0,Jose Iglesias,0.0,Evan Longoria,7.0
4,Justin Turner,Chris Taylor,Justin Turner,Jose Iglesias,Justin Upton,David Fletcher,Justin Turner,Justin Turner,Justin Upton,Justin Turner,9.0,Chris Taylor,16.0,Justin Turner,9.0,Jose Iglesias,0.0,Justin Upton,0.0,David Fletcher,3.0,Justin Turner,9.0,Justin Turner,9.0,Justin Upton,0.0
5,Justin Upton,Joe Musgrove,Justin Upton,Justin Turner,Kevin Gausman,Evan Longoria,Justin Upton,Justin Upton,Kevin Gausman,Justin Upton,0.0,Joe Musgrove,11.85,Justin Upton,0.0,Justin Turner,9.0,Kevin Gausman,27.099999999999998,Evan Longoria,7.0,Justin Upton,0.0,Justin Upton,0.0,Kevin Gausman,27.099999999999998
6,Kevin Gausman,Jose Iglesias,Kevin Gausman,Justin Upton,Mark Canha,Justin Upton,Kevin Gausman,Kevin Gausman,Mark Canha,Kevin Gausman,27.099999999999998,Jose Iglesias,0.0,Kevin Gausman,27.099999999999998,Justin Upton,0.0,Mark Canha,6.0,Justin Upton,0.0,Kevin Gausman,27.099999999999998,Kevin Gausman,27.099999999999998,Mark Canha,6.0
7,Matt Olson,Jose Rojas,Matt Olson,Kevin Kiermaier,Matt Olson,Kevin Gausman,Matt Olson,Matt Olson,Matt Olson,Matt Olson,4.0,Jose Rojas,18.0,Matt Olson,4.0,Kevin Kiermaier,2.0,Matt Olson,4.0,Kevin Gausman,27.099999999999998,Matt Olson,4.0,Matt Olson,4.0,Matt Olson,4.0
8,Mike Zunino,Mike Zunino,Trent Grisham,Mitch Moreland,Trent Grisham,Trent Grisham,Mike Zunino,Trent Grisham,Trent Grisham,Mike Zunino,5.0,Mike Zunino,5.0,Trent Grisham,0.0,Mitch Moreland,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Mike Zunino,5.0,Trent Grisham,0.0,Trent Grisham,0.0
9,Trent Grisham,Randy Arozarena,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Trent Grisham,Tyler Glasnow,Tyler Glasnow,Trent Grisham,0.0,Randy Arozarena,8.0,Tyler Glasnow,24.100000000000005,Tyler Glasnow,24.100000000000005,Tyler Glasnow,24.100000000000005,Tyler Glasnow,24.100000000000005,Trent Grisham,0.0,Tyler Glasnow,24.100000000000005,Tyler Glasnow,24.100000000000005
10,Tyler Glasnow,Tyler Glasnow,Will Smith,Will Smith,Will Smith,Will Smith,Tyler Glasnow,Will Smith,Will Smith,Tyler Glasnow,24.100000000000005,Tyler Glasnow,24.100000000000005,Will Smith,14.0,Will Smith,14.0,Will Smith,14.0,Will Smith,14.0,Tyler Glasnow,24.100000000000005,Will Smith,14.0,Will Smith,14.0
11,116.86,113.48,114.98,107.01000000000002,114.7,101.57,116.86,114.98,114.7,,113.2,,133.95,,102.2,,88.95,,100.2,,122.2,,113.2,,102.2,,100.2
