"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Tommy Hunter","NYM","0","0","0.00","1","1","0","0","0","0","0","2.0","7","0","0","0","0","0","0","0","0","0","1","1157"
"Matt Moore","PHI","0","0","0.00","1","0","0","0","0","0","0","0.0","2","1","0","0","0","0","0","0","0","0","0","1890"
"Clayton Kershaw","LAD","1","0","0.00","1","1","0","0","0","0","0","5.0","17","2","0","0","0","1","0","0","0","0","5","2036"
"Lance Lynn","CHW","1","0","0.00","1","1","0","0","0","0","0","5.0","20","1","0","0","0","4","0","0","0","0","6","2520"
"Ross Detwiler","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","2859"
"Yusmeiro Petit","OAK","0","0","0.00","1","0","0","0","0","1","0","1.1","5","1","0","0","0","0","0","0","0","0","3","4020"
"Justin Wilson","NYY","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","4301"
"Tyler Chatwood","TOR","0","0","0.00","1","0","0","0","0","1","0","2.0","6","0","0","0","0","0","0","0","0","0","1","4338"
"Jeurys Familia","NYM","0","0","0.00","1","0","0","0","0","1","0","1.2","8","3","0","0","0","0","0","0","0","0","2","5114"
"Junior Guerra","LAA","0","0","0.00","1","0","0","0","0","0","0","1.0","6","2","0","0","0","1","0","0","0","0","2","5702"
"Trevor May","NYM","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","6398"
"Craig Kimbrel","CHC","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","6655"
"Daniel Hudson","WSN","0","0","0.00","1","0","0","0","0","1","0","0.2","2","0","0","0","0","0","0","0","0","0","1","7146"
"Hunter Strickland","TBR","0","0","0.00","1","0","0","0","0","0","0","1.1","8","2","1","0","0","2","0","0","0","0","1","7836"
"Will Smith","ATL","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","8048"
"Lucas Luetge","NYY","0","0","0.00","1","0","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","2","8337"
"Brandon Kintzler","PHI","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","2","2","0","0","0","1","9939"
"Tyler Matzek","ATL","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","10058"
"Brooks Raley","HOU","0","0","0.00","1","0","0","0","0","0","0","0.1","3","0","2","0","0","1","0","0","0","0","0","10061"
"Aroldis Chapman","NYY","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","1","0","0","1","1","0","0","0","2","10233"
"Mychal Givens","COL","0","0","0.00","1","0","0","0","0","0","0","1.0","6","0","0","0","0","3","1","0","1","0","1","10430"
"Grant Dayton","ATL","0","0","0.00","1","0","0","0","0","0","0","1.0","5","2","0","0","0","0","0","0","0","0","2","11203"
"Luke Jackson","ATL","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","11752"
"Evan Marshall","CHW","0","0","0.00","1","0","0","0","0","0","0","1.0","3","1","0","0","0","0","0","0","0","0","0","12297"
"Blake Treinen","LAD","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","12572"
"Alex Claudio","LAA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","12890"
"Andrew Chafin","CHC","0","0","0.00","1","0","0","0","0","1","0","1.0","4","0","0","0","0","1","0","0","0","0","1","12988"
