,team,Name,b_o,pj_vO
0,WAS,Trea Turner,1,11.16
1,WAS,Josh Harrison,2,8.8
2,WAS,Juan Soto,3,8.46
3,WAS,Josh Bell,4,7.11
4,WAS,Starlin Castro,5,5.79
5,WAS,Kyle Schwarber,6,6.98
6,WAS,Yan Gomes,7,8.07
7,WAS,Yadiel Hernandez,8,4.67
8,WAS,Victor Robles,9,4.08
9,NYY,DJ LeMahieu,1,8.0
10,NYY,Giancarlo Stanton,2,11.13
11,NYY,Aaron Hicks,3,6.44
12,NYY,Gleyber Torres,4,5.78
13,NYY,Gary Sanchez,5,6.17
14,NYY,Mike Ford,6,5.24
15,NYY,Clint Frazier,7,4.79
17,NYY,Brett Gardner,9,2.98
18,BOS,Marwin Gonzalez,1,7.8
19,BOS,Alex Verdugo,2,11.91
20,BOS,J.D. Martinez,3,16.42
21,BOS,Xander Bogaerts,4,13.51
22,BOS,Rafael Devers,5,14.13
23,BOS,Hunter Renfroe,6,9.09
24,BOS,Bobby Dalbec,7,6.24
25,BOS,Franchy Cordero,8,4.12
26,BOS,Kevin Plawecki,9,5.01
27,BAL,Cedric Mullins,1,7.02
28,BAL,Austin Hays,2,5.89
29,BAL,Trey Mancini,3,5.68
30,BAL,DJ Stewart,4,4.8
31,BAL,Ryan Mountcastle,5,4.41
32,BAL,Freddy Galvis,6,5.16
33,BAL,Pedro Severino,7,3.3
34,BAL,Rio Ruiz,8,3.58
35,BAL,Pat Valaika,9,2.54
36,ARI,Pavin Smith,1,2.97
37,ARI,Josh Rojas,2,2.77
38,ARI,Josh VanMeter,3,1.18
39,ARI,David Peralta,4,3.29
40,ARI,Stephen Vogt,5,2.28
41,ARI,Eduardo Escobar,6,3.15
42,ARI,Nick Ahmed,7,1.64
43,ARI,Daulton Varsho,8,1.21
44,NYM,Jeff McNeil,1,6.54
45,NYM,Francisco Lindor,2,6.75
46,NYM,Michael Conforto,3,7.43
47,NYM,Pete Alonso,4,8.86
48,NYM,Dominic Smith,5,6.06
49,NYM,Kevin Pillar,6,5.19
50,NYM,Jonathan Villar,7,5.11
51,NYM,James McCann,8,4.67
52,MIL,Kolten Wong,1,5.34
53,MIL,Daniel Vogelbach,2,2.8
54,MIL,Tyrone Taylor,3,4.12
55,MIL,Travis Shaw,4,5.0
56,MIL,Jackie Bradley Jr.,5,4.12
57,MIL,Luis Urias,6,4.36
58,MIL,Billy McKinney,7,3.16
59,MIL,Luke Maile,8,2.46
60,MIA,Miguel Rojas,1,8.63
61,MIA,Garrett Cooper,2,4.64
62,MIA,Corey Dickerson,3,6.57
63,MIA,Adam Duvall,4,7.37
64,MIA,Brian Anderson,5,6.1
65,MIA,Lewis Brinson,6,4.39
66,MIA,Isan Diaz,7,7.64
67,MIA,Sandy Leon,8,2.54
68,TOR,Marcus Semien,1,8.87
69,TOR,Bo Bichette,2,9.61
70,TOR,Vladimir Guerrero Jr.,3,9.22
71,TOR,Teoscar Hernandez,4,7.53
72,TOR,Randal Grichuk,5,7.93
73,TOR,Cavan Biggio,6,5.09
74,TOR,Lourdes Gurriel Jr.,7,4.69
75,TOR,Rowdy Tellez,8,4.15
76,TOR,Reese McGuire,9,3.11
77,HOU,Jose Altuve,1,7.9
78,HOU,Michael Brantley,2,7.76
79,HOU,Alex Bregman,3,8.61
80,HOU,Yordan Alvarez,4,10.27
81,HOU,Yuli Gurriel,5,8.89
82,HOU,Kyle Tucker,6,6.8
83,HOU,Robel Garcia,7,1.72
84,HOU,Myles Straw,8,5.28
85,HOU,Martin Maldonado,9,3.16
86,CWS,Tim Anderson,1,10.73
87,CWS,Nick Madrigal,2,6.98
88,CWS,Yoan Moncada,3,8.21
89,CWS,Jose Abreu,4,9.23
90,CWS,Yasmani Grandal,5,7.21
91,CWS,Yermin Mercedes,6,9.69
92,CWS,Andrew Vaughn,7,5.39
93,CWS,Leury Garcia,8,5.58
94,CWS,Danny Mendick,9,6.05
95,KC,Whit Merrifield,1,10.52
96,KC,Andrew Benintendi,2,8.06
97,KC,Salvador Perez,3,9.0
98,KC,Carlos Santana,4,9.62
99,KC,Jorge Soler,5,6.0
100,KC,Hunter Dozier,6,7.09
101,KC,Michael A. Taylor,7,5.86
102,KC,Hanser Alberto,8,3.12
103,KC,Nicky Lopez,9,5.08
104,COL,Raimel Tapia,1,8.65
105,COL,Trevor Story,2,9.74
106,COL,Ryan McMahon,3,9.54
107,COL,Charlie Blackmon,4,6.87
108,COL,Connor Joe,5,3.77
109,COL,Josh Fuentes,6,4.03
110,COL,Elias Diaz,7,2.6
111,COL,Yonathan Daza,8,3.9
112,STL,Tommy Edman,1,8.96
113,STL,Dylan Carlson,2,9.49
114,STL,Paul Goldschmidt,3,9.16
115,STL,Nolan Arenado,4,10.01
116,STL,Paul DeJong,5,8.16
117,STL,Yadier Molina,6,10.74
118,STL,Justin Williams,7,4.28
119,STL,Harrison Bader,8,9.81
120,PIT,Adam Frazier,1,9.28
121,PIT,Kevin Newman,2,5.18
122,PIT,Ka'ai Tom,3,5.23
123,PIT,Jacob Stallings,4,7.36
124,PIT,Erik Gonzalez,5,7.19
125,PIT,Wilmer Difo,6,5.04
126,PIT,Todd Frazier,7,3.19
128,CHC,Matt Duffy,1,3.96
129,CHC,Willson Contreras,2,5.7
130,CHC,Anthony Rizzo,3,6.0
131,CHC,Kris Bryant,4,8.38
132,CHC,David Bote,5,3.47
133,CHC,Jason Heyward,6,4.34
134,CHC,Jake Marisnick,7,4.8
135,CHC,Ildemaro Vargas,8,3.1
136,SEA,J.P. Crawford,1,5.55
137,SEA,Mitch Haniger,2,7.26
138,SEA,Kyle Lewis,3,5.28
139,SEA,Kyle Seager,4,6.44
140,SEA,Dylan Moore,5,4.68
141,SEA,Jose Marmolejos,6,3.19
142,SEA,Tom Murphy,7,3.1
143,SEA,Evan White,8,3.59
144,SEA,Taylor Trammell,9,4.36
145,TEX,Isiah Kiner-Falefa,1,9.5
146,TEX,Nick Solak,2,8.99
147,TEX,Nate Lowe,3,9.48
148,TEX,Adolis Garcia,4,10.73
149,TEX,Joey Gallo,5,8.07
150,TEX,Khris Davis,6,2.96
151,TEX,Willie Calhoun,7,8.57
152,TEX,Charlie Culberson,8,6.74
153,TEX,Jose Trevino,9,4.92
0,WAS,Joe Ross,SP,12.5
1,NYY,Domingo German,SP,14.46
2,BOS,Nick Pivetta,SP,18.02
3,BAL,Dean Kremer,SP,5.64
4,ARI,Riley Smith,SP,5.64
5,NYM,Jacob deGrom,SP,38.5
6,MIL,Brett Anderson,SP,8.91
7,MIA,Sandy Alcantara,SP,20.41
8,HOU,Zack Greinke,SP,12.6
9,CWS,Lucas Giolito,SP,15.21
10,KC,Mike Minor,SP,11.15
11,COL,German Marquez,SP,9.03
12,STL,Adam Wainwright,SP,14.16
13,PIT,Tyler Anderson,SP,17.17
14,CHC,Kyle Hendricks,SP,10.86
15,SEA,Justus Sheffield,SP,14.41
16,TEX,Dane Dunning,SP,14.55
