,APPG,pj_vO,APPG_1-6,pj_vO_1-6,APPG_1-5,pj_vO_1-5,APPG_1-4,pj_vO_1-4,APPG_1-3,APPGa,APPGa_1-6,APPGa_1-5,APPGa_1-4,APPGa_1-3,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_APPG_1-3,Total_APPG_1-3,Name_APPGa,Total_APPGa,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPGa_1-3,Total_APPGa_1-3
0,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Alex Verdugo,Adolis Garcia,Alex Verdugo,Adolis Garcia,Adam Frazier,Adolis Garcia,Adam Frazier,Alex Verdugo,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Alex Bregman,Adolis Garcia,28.0,Alex Verdugo,5.0,Adolis Garcia,28.0,Alex Verdugo,5.0,Adolis Garcia,28.0,Adam Frazier,5.0,Adolis Garcia,28.0,Adam Frazier,5.0,Alex Verdugo,5.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Alex Bregman,0.0
2,Harrison Bader,Carlos Santana,Alex Verdugo,Dane Dunning,Dylan Carlson,Alex Verdugo,Dylan Carlson,Adolis Garcia,Dane Dunning,Harrison Bader,Alex Bregman,Dylan Carlson,J.D. Martinez,Dylan Carlson,Harrison Bader,7.0,Carlos Santana,6.0,Alex Verdugo,5.0,Dane Dunning,25.849999999999998,Dylan Carlson,8.0,Alex Verdugo,5.0,Dylan Carlson,8.0,Adolis Garcia,28.0,Dane Dunning,25.849999999999998,Harrison Bader,7.0,Alex Bregman,0.0,Dylan Carlson,8.0,J.D. Martinez,4.0,Dylan Carlson,8.0
3,Isiah Kiner-Falefa,Dane Dunning,J.D. Martinez,Dylan Carlson,J.D. Martinez,Dane Dunning,J.D. Martinez,Alex Verdugo,Dylan Carlson,Isiah Kiner-Falefa,Alex Verdugo,J.D. Martinez,Jacob Stallings,J.D. Martinez,Isiah Kiner-Falefa,17.0,Dane Dunning,25.849999999999998,J.D. Martinez,4.0,Dylan Carlson,8.0,J.D. Martinez,4.0,Dane Dunning,25.849999999999998,J.D. Martinez,4.0,Alex Verdugo,5.0,Dylan Carlson,8.0,Isiah Kiner-Falefa,17.0,Alex Verdugo,5.0,J.D. Martinez,4.0,Jacob Stallings,7.0,J.D. Martinez,4.0
4,J.D. Martinez,Harrison Bader,Jacob deGrom,J.D. Martinez,Jacob Stallings,Dylan Carlson,Jacob deGrom,Carlos Santana,J.D. Martinez,J.D. Martinez,Dane Dunning,Jacob Stallings,Jacob deGrom,Jacob deGrom,J.D. Martinez,4.0,Harrison Bader,7.0,Jacob deGrom,22.849999999999998,J.D. Martinez,4.0,Jacob Stallings,7.0,Dylan Carlson,8.0,Jacob deGrom,22.849999999999998,Carlos Santana,6.0,J.D. Martinez,4.0,J.D. Martinez,4.0,Dane Dunning,25.849999999999998,Jacob Stallings,7.0,Jacob deGrom,22.849999999999998,Jacob deGrom,22.849999999999998
5,Jacob deGrom,J.D. Martinez,Nate Lowe,Jacob deGrom,Jacob deGrom,J.D. Martinez,Nate Lowe,Dane Dunning,Jacob deGrom,Jacob deGrom,J.D. Martinez,Jacob deGrom,Nate Lowe,Nate Lowe,Jacob deGrom,22.849999999999998,J.D. Martinez,4.0,Nate Lowe,10.0,Jacob deGrom,22.849999999999998,Jacob deGrom,22.849999999999998,J.D. Martinez,4.0,Nate Lowe,10.0,Dane Dunning,25.849999999999998,Jacob deGrom,22.849999999999998,Jacob deGrom,22.849999999999998,J.D. Martinez,4.0,Jacob deGrom,22.849999999999998,Nate Lowe,10.0,Nate Lowe,10.0
6,Nate Lowe,Jacob deGrom,Nick Madrigal,Nate Lowe,Nate Lowe,Jacob Stallings,Nick Madrigal,J.D. Martinez,Nate Lowe,Nate Lowe,Jacob deGrom,Nate Lowe,Nick Madrigal,Nick Madrigal,Nate Lowe,10.0,Jacob deGrom,22.849999999999998,Nick Madrigal,5.0,Nate Lowe,10.0,Nate Lowe,10.0,Jacob Stallings,7.0,Nick Madrigal,5.0,J.D. Martinez,4.0,Nate Lowe,10.0,Nate Lowe,10.0,Jacob deGrom,22.849999999999998,Nate Lowe,10.0,Nick Madrigal,5.0,Nick Madrigal,5.0
7,Nick Madrigal,Nick Madrigal,Travis Shaw,Nick Madrigal,Nick Madrigal,Jacob deGrom,Salvador Perez,Jacob Stallings,Nick Madrigal,Nick Madrigal,Nate Lowe,Nick Madrigal,Tim Anderson,Salvador Perez,Nick Madrigal,5.0,Nick Madrigal,5.0,Travis Shaw,6.0,Nick Madrigal,5.0,Nick Madrigal,5.0,Jacob deGrom,22.849999999999998,Salvador Perez,0.0,Jacob Stallings,7.0,Nick Madrigal,5.0,Nick Madrigal,5.0,Nate Lowe,10.0,Nick Madrigal,5.0,Tim Anderson,5.0,Salvador Perez,0.0
8,Rafael Devers,Rafael Devers,Tyler Anderson,Rafael Devers,Rafael Devers,Nate Lowe,Tim Anderson,Jacob deGrom,Salvador Perez,Rafael Devers,Nick Madrigal,Rafael Devers,Travis Shaw,Tim Anderson,Rafael Devers,23.0,Rafael Devers,23.0,Tyler Anderson,27.0,Rafael Devers,23.0,Rafael Devers,23.0,Nate Lowe,10.0,Tim Anderson,5.0,Jacob deGrom,22.849999999999998,Salvador Perez,0.0,Rafael Devers,23.0,Nick Madrigal,5.0,Rafael Devers,23.0,Travis Shaw,6.0,Tim Anderson,5.0
9,Tyler Anderson,Xander Bogaerts,Xander Bogaerts,Xander Bogaerts,Tyler Anderson,Rafael Devers,Travis Shaw,Nolan Arenado,Tim Anderson,Tyler Anderson,Tim Anderson,Tyler Anderson,Tyler Anderson,Tyler Anderson,Tyler Anderson,27.0,Xander Bogaerts,2.0,Xander Bogaerts,2.0,Xander Bogaerts,2.0,Tyler Anderson,27.0,Rafael Devers,23.0,Travis Shaw,6.0,Nolan Arenado,16.0,Tim Anderson,5.0,Tyler Anderson,27.0,Tim Anderson,5.0,Tyler Anderson,27.0,Tyler Anderson,27.0,Tyler Anderson,27.0
