,APPG,pj_vO,APPGa_1-6,APPG_1-6,pj_vO_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa,pj_vOa_1-6,pj_vOa_1-5,pj_vOa_1-4,pj_vOa_1-3,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa,Total_pj_vOa,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOa_1-3,Total_pj_vOa_1-3
0,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,05-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adam Wainwright,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adam Wainwright,Adam Wainwright,Andrew Benintendi,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Andrew Benintendi,Adam Wainwright,28.624999999999993,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adam Wainwright,28.624999999999993,Adam Wainwright,28.624999999999993,Andrew Benintendi,3.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Adolis Garcia,28.0,Andrew Benintendi,3.0
2,Adolis Garcia,Dylan Carlson,Alex Bregman,Dane Dunning,Dylan Carlson,Alex Bregman,Dane Dunning,Carlos Santana,Alex Bregman,Dane Dunning,Carlos Santana,Alex Bregman,Andrew Benintendi,Dylan Carlson,Dylan Carlson,Dylan Carlson,Carlos Santana,Carlos Santana,Dylan Carlson,Adolis Garcia,28.0,Dylan Carlson,8.0,Alex Bregman,0.0,Dane Dunning,25.849999999999998,Dylan Carlson,8.0,Alex Bregman,0.0,Dane Dunning,25.849999999999998,Carlos Santana,6.0,Alex Bregman,0.0,Dane Dunning,25.849999999999998,Carlos Santana,6.0,Alex Bregman,0.0,Andrew Benintendi,3.0,Dylan Carlson,8.0,Dylan Carlson,8.0,Dylan Carlson,8.0,Carlos Santana,6.0,Carlos Santana,6.0,Dylan Carlson,8.0
3,Harrison Bader,Harrison Bader,Dane Dunning,Kris Bryant,Lucas Giolito,Dane Dunning,Kris Bryant,Dane Dunning,Dane Dunning,Kris Bryant,Dane Dunning,Dylan Carlson,Dylan Carlson,Lucas Giolito,Harrison Bader,Lucas Giolito,Dane Dunning,Dane Dunning,Lucas Giolito,Harrison Bader,7.0,Harrison Bader,7.0,Dane Dunning,25.849999999999998,Kris Bryant,13.0,Lucas Giolito,13.65,Dane Dunning,25.849999999999998,Kris Bryant,13.0,Dane Dunning,25.849999999999998,Dane Dunning,25.849999999999998,Kris Bryant,13.0,Dane Dunning,25.849999999999998,Dylan Carlson,8.0,Dylan Carlson,8.0,Lucas Giolito,13.65,Harrison Bader,7.0,Lucas Giolito,13.65,Dane Dunning,25.849999999999998,Dane Dunning,25.849999999999998,Lucas Giolito,13.65
4,Kris Bryant,Lucas Giolito,Kris Bryant,Mitch Haniger,Nolan Arenado,Kris Bryant,Mitch Haniger,Dylan Carlson,Kris Bryant,Mitch Haniger,Dylan Carlson,Mitch Haniger,Mitch Haniger,Nate Lowe,Lucas Giolito,Nolan Arenado,Dylan Carlson,Dylan Carlson,Nate Lowe,Kris Bryant,13.0,Lucas Giolito,13.65,Kris Bryant,13.0,Mitch Haniger,8.0,Nolan Arenado,16.0,Kris Bryant,13.0,Mitch Haniger,8.0,Dylan Carlson,8.0,Kris Bryant,13.0,Mitch Haniger,8.0,Dylan Carlson,8.0,Mitch Haniger,8.0,Mitch Haniger,8.0,Nate Lowe,10.0,Lucas Giolito,13.65,Nolan Arenado,16.0,Dylan Carlson,8.0,Dylan Carlson,8.0,Nate Lowe,10.0
5,Nate Lowe,Nolan Arenado,Tim Anderson,Nolan Arenado,Raimel Tapia,Nate Lowe,Salvador Perez,Nolan Arenado,Nate Lowe,Salvador Perez,Nolan Arenado,Nate Lowe,Salvador Perez,Raimel Tapia,Nolan Arenado,Raimel Tapia,Nolan Arenado,Nolan Arenado,Raimel Tapia,Nate Lowe,10.0,Nolan Arenado,16.0,Tim Anderson,5.0,Nolan Arenado,16.0,Raimel Tapia,3.0,Nate Lowe,10.0,Salvador Perez,0.0,Nolan Arenado,16.0,Nate Lowe,10.0,Salvador Perez,0.0,Nolan Arenado,16.0,Nate Lowe,10.0,Salvador Perez,0.0,Raimel Tapia,3.0,Nolan Arenado,16.0,Raimel Tapia,3.0,Nolan Arenado,16.0,Nolan Arenado,16.0,Raimel Tapia,3.0
6,Nolan Arenado,Tim Anderson,Tyler Anderson,Tim Anderson,Tim Anderson,Salvador Perez,Tim Anderson,Raimel Tapia,Salvador Perez,Tim Anderson,Raimel Tapia,Raimel Tapia,Tim Anderson,Salvador Perez,Tim Anderson,Tim Anderson,Raimel Tapia,Raimel Tapia,Salvador Perez,Nolan Arenado,16.0,Tim Anderson,5.0,Tyler Anderson,27.0,Tim Anderson,5.0,Tim Anderson,5.0,Salvador Perez,0.0,Tim Anderson,5.0,Raimel Tapia,3.0,Salvador Perez,0.0,Tim Anderson,5.0,Raimel Tapia,3.0,Raimel Tapia,3.0,Tim Anderson,5.0,Salvador Perez,0.0,Tim Anderson,5.0,Tim Anderson,5.0,Raimel Tapia,3.0,Raimel Tapia,3.0,Salvador Perez,0.0
7,Tim Anderson,Tyler Anderson,Vladimir Guerrero Jr.,Tyler Anderson,Tyler Anderson,Tim Anderson,Tyler Anderson,Salvador Perez,Tim Anderson,Tyler Anderson,Salvador Perez,Salvador Perez,Tyler Anderson,Tim Anderson,Tyler Anderson,Tyler Anderson,Salvador Perez,Salvador Perez,Tim Anderson,Tim Anderson,5.0,Tyler Anderson,27.0,Vladimir Guerrero Jr.,5.0,Tyler Anderson,27.0,Tyler Anderson,27.0,Tim Anderson,5.0,Tyler Anderson,27.0,Salvador Perez,0.0,Tim Anderson,5.0,Tyler Anderson,27.0,Salvador Perez,0.0,Salvador Perez,0.0,Tyler Anderson,27.0,Tim Anderson,5.0,Tyler Anderson,27.0,Tyler Anderson,27.0,Salvador Perez,0.0,Salvador Perez,0.0,Tim Anderson,5.0
8,Tyler Anderson,Whit Merrifield,Whit Merrifield,Vladimir Guerrero Jr.,Whit Merrifield,Tyler Anderson,Vladimir Guerrero Jr.,Tim Anderson,Tyler Anderson,Vladimir Guerrero Jr.,Tim Anderson,Tim Anderson,Vladimir Guerrero Jr.,Tyler Anderson,Whit Merrifield,Whit Merrifield,Tim Anderson,Tim Anderson,Tyler Anderson,Tyler Anderson,27.0,Whit Merrifield,17.0,Whit Merrifield,17.0,Vladimir Guerrero Jr.,5.0,Whit Merrifield,17.0,Tyler Anderson,27.0,Vladimir Guerrero Jr.,5.0,Tim Anderson,5.0,Tyler Anderson,27.0,Vladimir Guerrero Jr.,5.0,Tim Anderson,5.0,Tim Anderson,5.0,Vladimir Guerrero Jr.,5.0,Tyler Anderson,27.0,Whit Merrifield,17.0,Whit Merrifield,17.0,Tim Anderson,5.0,Tim Anderson,5.0,Tyler Anderson,27.0
9,Whit Merrifield,Yadier Molina,Yadier Molina,Whit Merrifield,Yadier Molina,Whit Merrifield,Whit Merrifield,Tyler Anderson,Whit Merrifield,Whit Merrifield,Tyler Anderson,Tyler Anderson,Whit Merrifield,Whit Merrifield,Yadier Molina,Yadier Molina,Tyler Anderson,Tyler Anderson,Whit Merrifield,Whit Merrifield,17.0,Yadier Molina,12.0,Yadier Molina,12.0,Whit Merrifield,17.0,Yadier Molina,12.0,Whit Merrifield,17.0,Whit Merrifield,17.0,Tyler Anderson,27.0,Whit Merrifield,17.0,Whit Merrifield,17.0,Tyler Anderson,27.0,Tyler Anderson,27.0,Whit Merrifield,17.0,Whit Merrifield,17.0,Yadier Molina,12.0,Yadier Molina,12.0,Tyler Anderson,27.0,Tyler Anderson,27.0,Whit Merrifield,17.0
