,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4
0,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Adam Duvall,Adam Duvall,Adam Duvall,Adolis Garcia,Adolis Garcia,Adam Duvall,Adam Duvall,Adam Duvall,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,3.0,Adolis Garcia,3.0,,,,,,,Adolis Garcia,3.0,Adolis Garcia,3.0,,,,,,,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0
2,Alex Wood,Alex Wood,Adolis Garcia,Adolis Garcia,Alex Wood,Alex Wood,Alex Wood,Adolis Garcia,Adolis Garcia,Adolis Garcia,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Alex Wood,27.55,Alex Wood,27.55,Adolis Garcia,3.0,Adolis Garcia,3.0,Alex Wood,27.55,Alex Wood,27.55,Alex Wood,27.55,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Alex Wood,27.55,Alex Wood,27.55,Alex Wood,27.55,Alex Wood,27.55,Alex Wood,27.55,Alex Wood,27.55,Alex Wood,27.55,Alex Wood,27.55,Alex Wood,27.55,Alex Wood,27.55
3,Austin Slater,Austin Slater,Alex Wood,Alex Wood,Chad Wallach,Austin Slater,Austin Slater,Alex Wood,Alex Wood,Alex Wood,Austin Slater,Austin Slater,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Austin Slater,4.0,Austin Slater,4.0,Alex Wood,27.55,Alex Wood,27.55,Chad Wallach,8.0,Austin Slater,4.0,Austin Slater,4.0,Alex Wood,27.55,Alex Wood,27.55,Alex Wood,27.55,Austin Slater,4.0,Austin Slater,4.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0
4,Carson Kelly,Carson Kelly,Chad Wallach,Chad Wallach,Corey Dickerson,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Corey Dickerson,Corey Dickerson,Corey Dickerson,Corey Dickerson,Corey Dickerson,Corey Dickerson,Corey Dickerson,Corey Dickerson,Carson Kelly,9.0,Carson Kelly,9.0,Chad Wallach,8.0,Chad Wallach,8.0,Corey Dickerson,5.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0,Carson Kelly,9.0,Corey Dickerson,5.0,Corey Dickerson,5.0,Corey Dickerson,5.0,Corey Dickerson,5.0,Corey Dickerson,5.0,Corey Dickerson,5.0,Corey Dickerson,5.0,Corey Dickerson,5.0
5,Evan Longoria,Evan Longoria,Corey Dickerson,Corey Dickerson,Garrett Cooper,Evan Longoria,Evan Longoria,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,2.0,Evan Longoria,2.0,Corey Dickerson,5.0,Corey Dickerson,5.0,Garrett Cooper,6.0,Evan Longoria,2.0,Evan Longoria,2.0,Isiah Kiner-Falefa,0.0,Isiah Kiner-Falefa,0.0,Isiah Kiner-Falefa,0.0,Evan Longoria,2.0,Evan Longoria,2.0,Evan Longoria,2.0,Evan Longoria,2.0,Evan Longoria,2.0,Evan Longoria,2.0,Evan Longoria,2.0,Evan Longoria,2.0,Evan Longoria,2.0,Evan Longoria,2.0
6,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Isan Diaz,Isan Diaz,Isan Diaz,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Kyle Gibson,Kyle Gibson,Kyle Gibson,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Kyle Gibson,Kyle Gibson,Kyle Gibson,Isiah Kiner-Falefa,0.0,Isiah Kiner-Falefa,0.0,Isan Diaz,0.0,Isan Diaz,0.0,Isan Diaz,0.0,Isiah Kiner-Falefa,0.0,Isiah Kiner-Falefa,0.0,Jesus Aguilar,16.0,Jesus Aguilar,16.0,Jesus Aguilar,16.0,Isiah Kiner-Falefa,0.0,Isiah Kiner-Falefa,0.0,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Isiah Kiner-Falefa,0.0,Isiah Kiner-Falefa,0.0,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002
7,Joey Gallo,Joey Gallo,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Joey Gallo,Joey Gallo,Jon Berti,Jon Berti,Jon Berti,Joey Gallo,Joey Gallo,Miguel Rojas,Miguel Rojas,Miguel Rojas,Kyle Gibson,Kyle Gibson,Miguel Rojas,Miguel Rojas,Miguel Rojas,Joey Gallo,0.0,Joey Gallo,0.0,Jesus Aguilar,16.0,Jesus Aguilar,16.0,Jesus Aguilar,16.0,Joey Gallo,0.0,Joey Gallo,0.0,Jon Berti,10.0,Jon Berti,10.0,Jon Berti,10.0,Joey Gallo,0.0,Joey Gallo,0.0,Miguel Rojas,0.0,Miguel Rojas,0.0,Miguel Rojas,0.0,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Miguel Rojas,0.0,Miguel Rojas,0.0,Miguel Rojas,0.0
8,Kyle Gibson,Kyle Gibson,Jon Berti,Jon Berti,Jon Berti,Kyle Gibson,Kyle Gibson,Kyle Gibson,Kyle Gibson,Kyle Gibson,Kyle Gibson,Kyle Gibson,Mike Tauchman,Mike Tauchman,Mike Tauchman,Mike Tauchman,Mike Tauchman,Mike Tauchman,Mike Tauchman,Mike Tauchman,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Jon Berti,10.0,Jon Berti,10.0,Jon Berti,10.0,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Mike Tauchman,0.0,Mike Tauchman,0.0,Mike Tauchman,0.0,Mike Tauchman,0.0,Mike Tauchman,0.0,Mike Tauchman,0.0,Mike Tauchman,0.0,Mike Tauchman,0.0
9,Nate Lowe,Nate Lowe,Kyle Gibson,Kyle Gibson,Kyle Gibson,Nate Lowe,Nate Lowe,Nick Solak,Nick Solak,Nick Solak,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,Nate Lowe,7.0,Nate Lowe,7.0,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Kyle Gibson,19.900000000000002,Nate Lowe,7.0,Nate Lowe,7.0,Nick Solak,2.0,Nick Solak,2.0,Nick Solak,2.0,Nate Lowe,7.0,Nate Lowe,7.0,Nate Lowe,7.0,Nate Lowe,7.0,Nate Lowe,7.0,Nate Lowe,7.0,Nate Lowe,7.0,Nate Lowe,7.0,Nate Lowe,7.0,Nate Lowe,7.0
