,team,Name,b_o,pj_vO
0,CIN,Nick Senzel,1,6.75
1,CIN,Jesse Winker,2,12.98
2,CIN,Nick Castellanos,3,12.37
3,CIN,Mike Moustakas,4,8.19
4,CIN,Tyler Naquin,5,9.67
5,CIN,Eugenio Suarez,6,6.94
6,CIN,Tucker Barnhart,7,8.42
7,CIN,Kyle Farmer,8,3.97
8,PIT,Adam Frazier,1,6.39
9,PIT,Bryan Reynolds,2,6.55
10,PIT,Phillip Evans,3,5.48
11,PIT,Todd Frazier,4,2.28
12,PIT,Erik Gonzalez,5,4.1
13,PIT,Jacob Stallings,6,4.91
14,PIT,Ka'ai Tom,7,3.42
15,PIT,Kevin Newman,8,3.14
16,BOS,Marwin Gonzalez,1,6.9
17,BOS,Alex Verdugo,2,11.03
18,BOS,J.D. Martinez,3,16.61
19,BOS,Xander Bogaerts,4,12.93
20,BOS,Rafael Devers,5,14.23
21,BOS,Christian Vazquez,6,8.48
22,BOS,Hunter Renfroe,7,9.0
23,BOS,Franchy Cordero,8,3.53
24,BOS,Bobby Dalbec,9,5.68
25,BAL,Cedric Mullins,1,9.3
26,BAL,Austin Hays,2,8.23
27,BAL,Trey Mancini,3,7.73
28,BAL,Ryan Mountcastle,4,6.17
29,BAL,Pedro Severino,5,4.56
30,BAL,Freddy Galvis,6,7.13
31,BAL,Maikel Franco,7,6.38
32,BAL,Pat Valaika,8,3.32
33,BAL,Ryan McKenna,9,2.45
0,CIN,Tyler Mahle,SP,18.16
1,PIT,Mitch Keller,SP,7.95
2,BOS,Martin Perez,SP,11.23
3,BAL,Jorge Lopez,SP,6.41
