,APPG,pj_vO,APPG_1-6,pj_vO_1-6,APPG_1-5,pj_vO_1-5,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5
0,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,05-10-21,,,,,,,,,,,,
1,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,10.0,Adam Frazier,10.0,Adam Frazier,10.0,Adam Frazier,10.0,Adam Frazier,10.0,Adam Frazier,10.0
2,Bobby Dalbec,Alex Verdugo,Freddy Galvis,Alex Verdugo,Alex Verdugo,Alex Verdugo,Bobby Dalbec,0.0,Alex Verdugo,0.0,Freddy Galvis,2.0,Alex Verdugo,0.0,Alex Verdugo,0.0,Alex Verdugo,0.0
3,Cedric Mullins,Bobby Dalbec,J.D. Martinez,Freddy Galvis,Jesse Winker,J.D. Martinez,Cedric Mullins,10.0,Bobby Dalbec,0.0,J.D. Martinez,8.0,Freddy Galvis,2.0,Jesse Winker,12.0,J.D. Martinez,8.0
4,Freddy Galvis,Hunter Renfroe,Jacob Stallings,J.D. Martinez,Jorge Lopez,Jesse Winker,Freddy Galvis,2.0,Hunter Renfroe,5.0,Jacob Stallings,16.0,J.D. Martinez,8.0,Jorge Lopez,16.700000000000003,Jesse Winker,12.0
5,J.D. Martinez,J.D. Martinez,Jesse Winker,Jacob Stallings,Mike Moustakas,Martin Perez,J.D. Martinez,8.0,J.D. Martinez,8.0,Jesse Winker,12.0,Jacob Stallings,16.0,Mike Moustakas,12.0,Martin Perez,14.25
6,Jesse Winker,Martin Perez,Jorge Lopez,Jesse Winker,Pedro Severino,Mike Moustakas,Jesse Winker,12.0,Martin Perez,14.25,Jorge Lopez,16.700000000000003,Jesse Winker,12.0,Pedro Severino,9.0,Mike Moustakas,12.0
7,Martin Perez,Rafael Devers,Rafael Devers,Martin Perez,Trey Mancini,Mitch Keller,Martin Perez,14.25,Rafael Devers,2.0,Rafael Devers,2.0,Martin Perez,14.25,Trey Mancini,19.0,Mitch Keller,-8.424999999999999
8,Rafael Devers,Tucker Barnhart,Trey Mancini,Mike Moustakas,Tyler Mahle,Pedro Severino,Rafael Devers,2.0,Tucker Barnhart,20.0,Trey Mancini,19.0,Mike Moustakas,12.0,Tyler Mahle,22.675000000000004,Pedro Severino,9.0
9,Tucker Barnhart,Tyler Mahle,Tyler Mahle,Trey Mancini,Tyler Naquin,Trey Mancini,Tucker Barnhart,20.0,Tyler Mahle,22.675000000000004,Tyler Mahle,22.675000000000004,Trey Mancini,19.0,Tyler Naquin,27.0,Trey Mancini,19.0
10,Tyler Mahle,Xander Bogaerts,Tyler Naquin,Tyler Mahle,Xander Bogaerts,Xander Bogaerts,Tyler Mahle,22.675000000000004,Xander Bogaerts,7.0,Tyler Naquin,27.0,Tyler Mahle,22.675000000000004,Xander Bogaerts,7.0,Xander Bogaerts,7.0
11,96.07,111.28,95.82,103.64,90.56,98.45,,100.92500000000001,,88.92500000000001,,135.375,,115.92500000000001,,135.375,,82.825
