,team,Name,b_o,pj_vO
0,MIA,Miguel Rojas,1,9.05
1,MIA,Jesus Aguilar,2,10.99
2,MIA,Corey Dickerson,3,6.74
3,MIA,Adam Duvall,4,8.31
4,MIA,Jon Berti,5,5.51
5,MIA,Isan Diaz,6,7.73
6,MIA,Sandy Leon,7,2.57
7,MIA,Magneuris Sierra,8,1.83
8,ARI,Pavin Smith,1,6.96
9,ARI,Josh Rojas,2,6.87
10,ARI,Asdrubal Cabrera,3,7.84
11,ARI,David Peralta,4,8.15
12,ARI,Stephen Vogt,5,5.75
13,ARI,Eduardo Escobar,6,7.33
14,ARI,Nick Ahmed,7,4.36
15,ARI,Daulton Varsho,8,2.67
16,SEA,J.P. Crawford,1,4.61
17,SEA,Mitch Haniger,2,8.65
18,SEA,Kyle Lewis,3,5.74
19,SEA,Kyle Seager,4,6.97
20,SEA,Ty France,5,5.74
21,SEA,Tom Murphy,6,3.75
22,SEA,Dylan Moore,7,4.55
23,SEA,Evan White,8,3.42
24,LAD,Mookie Betts,1,8.4
25,LAD,Corey Seager,2,7.52
26,LAD,Justin Turner,3,8.26
27,LAD,Max Muncy,4,8.37
28,LAD,Will Smith,5,6.63
29,LAD,Chris Taylor,6,8.86
30,LAD,Matt Beaty,7,4.16
31,LAD,Gavin Lux,8,4.17
0,ARI,Matt Peacock,SP,3.04
1,SEA,Justin Dunn,SP,11.76
2,LAD,Julio Urias,SP,21.98
