,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6
0,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,,,,,,,,,,,,,,,,,,,,
1,Chris Taylor,Chris Taylor,Adam Duvall,Adam Duvall,Adam Duvall,Chris Taylor,Chris Taylor,Adam Duvall,Adam Duvall,Adam Duvall,Chris Taylor,4.0,Chris Taylor,4.0,Adam Duvall,6.0,Adam Duvall,6.0,Adam Duvall,6.0,Chris Taylor,4.0,Chris Taylor,4.0,Adam Duvall,6.0,Adam Duvall,6.0,Adam Duvall,6.0
2,David Peralta,Isan Diaz,Chris Taylor,Chris Taylor,David Peralta,David Peralta,Isan Diaz,Chris Taylor,Chris Taylor,David Peralta,David Peralta,7.0,Isan Diaz,0.0,Chris Taylor,4.0,Chris Taylor,4.0,David Peralta,7.0,David Peralta,7.0,Isan Diaz,0.0,Chris Taylor,4.0,Chris Taylor,4.0,David Peralta,7.0
3,Isan Diaz,Jesus Aguilar,Isan Diaz,Isan Diaz,Isan Diaz,Isan Diaz,Jesus Aguilar,Isan Diaz,Isan Diaz,Isan Diaz,Isan Diaz,0.0,Jesus Aguilar,21.0,Isan Diaz,0.0,Isan Diaz,0.0,Isan Diaz,0.0,Isan Diaz,0.0,Jesus Aguilar,21.0,Isan Diaz,0.0,Isan Diaz,0.0,Isan Diaz,0.0
4,Jesus Aguilar,Julio Urias,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Julio Urias,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,21.0,Julio Urias,27.95,Jesus Aguilar,21.0,Jesus Aguilar,21.0,Jesus Aguilar,21.0,Jesus Aguilar,21.0,Julio Urias,27.95,Jesus Aguilar,21.0,Jesus Aguilar,21.0,Jesus Aguilar,21.0
5,Julio Urias,Justin Dunn,Jon Berti,Julio Urias,Julio Urias,Julio Urias,Justin Dunn,Jon Berti,Julio Urias,Julio Urias,Julio Urias,27.95,Justin Dunn,3.3750000000000018,Jon Berti,6.0,Julio Urias,27.95,Julio Urias,27.95,Julio Urias,27.95,Justin Dunn,3.3750000000000018,Jon Berti,6.0,Julio Urias,27.95,Julio Urias,27.95
6,Justin Dunn,Kyle Lewis,Julio Urias,Justin Dunn,Justin Dunn,Justin Dunn,Kyle Lewis,Julio Urias,Justin Dunn,Justin Dunn,Justin Dunn,3.3750000000000018,Kyle Lewis,0.0,Julio Urias,27.95,Justin Dunn,3.3750000000000018,Justin Dunn,3.3750000000000018,Justin Dunn,3.3750000000000018,Kyle Lewis,0.0,Julio Urias,27.95,Justin Dunn,3.3750000000000018,Justin Dunn,3.3750000000000018
7,Kyle Seager,Kyle Seager,Justin Dunn,Kyle Seager,Kyle Seager,Kyle Seager,Kyle Seager,Justin Dunn,Kyle Seager,Kyle Seager,Kyle Seager,0.0,Kyle Seager,0.0,Justin Dunn,3.3750000000000018,Kyle Seager,0.0,Kyle Seager,0.0,Kyle Seager,0.0,Kyle Seager,0.0,Justin Dunn,3.3750000000000018,Kyle Seager,0.0,Kyle Seager,0.0
8,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,5.0,Miguel Rojas,5.0,Miguel Rojas,5.0,Miguel Rojas,5.0,Miguel Rojas,5.0,Miguel Rojas,5.0,Miguel Rojas,5.0,Miguel Rojas,5.0,Miguel Rojas,5.0,Miguel Rojas,5.0
9,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,2.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Mitch Haniger,2.0
10,Stephen Vogt,Will Smith,Will Smith,Stephen Vogt,Stephen Vogt,Stephen Vogt,Will Smith,Will Smith,Stephen Vogt,Stephen Vogt,Stephen Vogt,3.0,Will Smith,10.0,Will Smith,10.0,Stephen Vogt,3.0,Stephen Vogt,3.0,Stephen Vogt,3.0,Will Smith,10.0,Will Smith,10.0,Stephen Vogt,3.0,Stephen Vogt,3.0
11,96.73999999999998,96.56,99.47,100.05,104.47,96.73999999999998,96.56,99.47,100.05,104.47,,73.325,,73.325,,85.325,,72.325,,75.325,,73.325,,73.325,,85.325,,72.325,,75.325
