Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Shane Bieber (17545566),Shane Bieber,17545566,P,11300,CLE@SEA 05/13/2021 10:10PM ET,CLE,29.19
SP,Zac Gallen (17545556),Zac Gallen,17545556,P,9400,MIA@ARI 05/13/2021 09:40PM ET,ARI,18.92
RP,Trevor Rogers (17545624),Trevor Rogers,17545624,P,9300,MIA@ARI 05/13/2021 09:40PM ET,MIA,22.81
SP,Sandy Alcantara (17545534),Sandy Alcantara,17545534,P,9200,MIA@ARI 05/13/2021 09:40PM ET,MIA,18.74
SP,Aaron Civale (17545570),Aaron Civale,17545570,P,9200,CLE@SEA 05/13/2021 10:10PM ET,CLE,18.61
SP,Madison Bumgarner (17545422),Madison Bumgarner,17545422,P,8900,MIA@ARI 05/13/2021 09:40PM ET,ARI,16.98
SP,Taylor Widener (17545603),Taylor Widener,17545603,P,8700,MIA@ARI 05/13/2021 09:40PM ET,ARI,15.16
SP,Sixto Sanchez (17545565),Sixto Sanchez,17545565,P,8600,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
SP,Luke Weaver (17545480),Luke Weaver,17545480,P,8500,MIA@ARI 05/13/2021 09:40PM ET,ARI,13.06
SP,Yusei Kikuchi (17545447),Yusei Kikuchi,17545447,P,8500,CLE@SEA 05/13/2021 10:10PM ET,SEA,17.37
RP,Sam Hentges (17545540),Sam Hentges,17545540,P,8300,CLE@SEA 05/13/2021 10:10PM ET,CLE,7.67
RP,Zach Plesac (17545567),Zach Plesac,17545567,P,8300,CLE@SEA 05/13/2021 10:10PM ET,CLE,14.4
SP,Pablo Lopez (17545507),Pablo Lopez,17545507,P,8200,MIA@ARI 05/13/2021 09:40PM ET,MIA,13.56
SP,Merrill Kelly (17545461),Merrill Kelly,17545461,P,7900,MIA@ARI 05/13/2021 09:40PM ET,ARI,10.58
RP,Tyler Clippard (17545414),Tyler Clippard,17545414,P,7000,MIA@ARI 05/13/2021 09:40PM ET,ARI,0
RP,Elieser Hernandez (17545496),Elieser Hernandez,17545496,P,7000,MIA@ARI 05/13/2021 09:40PM ET,MIA,6.05
SP,Caleb Smith (17545526),Caleb Smith,17545526,P,7000,MIA@ARI 05/13/2021 09:40PM ET,ARI,5.48
RP,Riley Smith (17545582),Riley Smith,17545582,P,7000,MIA@ARI 05/13/2021 09:40PM ET,ARI,5.01
RP,Logan Allen (17545578),Logan Allen,17545578,P,7000,CLE@SEA 05/13/2021 10:10PM ET,CLE,2.37
SP,James Paxton (17545434),James Paxton,17545434,P,6900,CLE@SEA 05/13/2021 10:10PM ET,SEA,4.4
SP,Chris Flexen (17545497),Chris Flexen,17545497,P,6900,CLE@SEA 05/13/2021 10:10PM ET,SEA,12.7
SP,Triston McKenzie (17545573),Triston McKenzie,17545573,P,6800,CLE@SEA 05/13/2021 10:10PM ET,CLE,12.74
SP,Justus Sheffield (17545536),Justus Sheffield,17545536,P,6700,CLE@SEA 05/13/2021 10:10PM ET,SEA,11.07
RP,Justin Dunn (17545525),Justin Dunn,17545525,P,6500,CLE@SEA 05/13/2021 10:10PM ET,SEA,11.44
SP,Ljay Newsome (17545581),Ljay Newsome,17545581,P,6500,CLE@SEA 05/13/2021 10:10PM ET,SEA,4.17
RP,Ross Detwiler (17545421),Ross Detwiler,17545421,P,6400,MIA@ARI 05/13/2021 09:40PM ET,MIA,3.08
SP,Marco Gonzales (17545456),Marco Gonzales,17545456,P,6400,CLE@SEA 05/13/2021 10:10PM ET,SEA,11.27
SP,Nick Neidert (17545574),Nick Neidert,17545574,P,6300,MIA@ARI 05/13/2021 09:40PM ET,MIA,3.33
SP,Nick Margevicius (17545629),Nick Margevicius,17545629,P,6300,CLE@SEA 05/13/2021 10:10PM ET,SEA,3.28
RP,Daniel Castano (17545563),Daniel Castano,17545563,P,6100,MIA@ARI 05/13/2021 09:40PM ET,MIA,5.55
RP,Paul Campbell (17545631),Paul Campbell,17545631,P,5700,MIA@ARI 05/13/2021 09:40PM ET,MIA,2.66
SP,Erik Swanson (17545543),Erik Swanson,17545543,P,5700,CLE@SEA 05/13/2021 10:10PM ET,SEA,6.2
3B,Jose Ramirez (17545472),Jose Ramirez,17545472,3B,5300,CLE@SEA 05/13/2021 10:10PM ET,CLE,9.29
