,team,Name,b_o,pj_vO
0,MIA,Miguel Rojas,1,9.83
1,MIA,Jesus Aguilar,2,11.68
2,MIA,Corey Dickerson,3,7.49
3,MIA,Adam Duvall,4,8.35
4,MIA,Jon Berti,5,5.88
5,MIA,Brian Anderson,6,6.3
6,MIA,Sandy Leon,7,4.27
7,MIA,Magneuris Sierra,8,2.19
8,ARI,Pavin Smith,1,5.11
9,ARI,Carson Kelly,2,6.51
10,ARI,Asdrubal Cabrera,3,5.6
11,ARI,Eduardo Escobar,4,4.76
12,ARI,Andrew Young,5,3.07
13,ARI,Josh Rojas,6,4.93
14,ARI,Nick Ahmed,7,3.44
15,ARI,Tim Locastro,8,4.24
16,CLE,Cesar Hernandez,1,6.09
17,CLE,Amed Rosario,2,5.16
18,CLE,Jose Ramirez,3,8.92
19,CLE,Eddie Rosario,4,6.52
20,CLE,Franmil Reyes,5,8.38
21,CLE,Josh Naylor,6,5.37
22,CLE,Harold Ramirez,7,4.16
23,CLE,Jake Bauers,8,2.52
24,CLE,Austin Hedges,9,3.7
25,SEA,Mitch Haniger,2,7.32
26,SEA,Kyle Seager,3,6.07
27,SEA,Kyle Lewis,4,4.83
28,SEA,Ty France,5,5.31
29,SEA,J.P. Crawford,6,4.27
30,SEA,Luis Torrens,7,3.44
31,SEA,Dylan Moore,8,4.22
32,SEA,Evan White,9,3.01
0,MIA,Trevor Rogers,SP,21.43
1,ARI,Merrill Kelly,SP,10.93
2,CLE,Zach Plesac,SP,16.45
