,APPGa,pj_vOa,APPGa_1-6,pj_vOa_1-6,APPGa_1-5,pj_vOa_1-5,APPGa_1-4,pj_vOa_1-4,APPGa_1-3,Name_APPGa,Total_APPGa,Name_pj_vOa,Total_pj_vOa,Name_APPGa_1-6,Total_APPGa_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_APPGa_1-3,Total_APPGa_1-3
0,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,,,,,,,,,,,,,,,,,,
1,Carson Kelly,Adam Duvall,Brian Anderson,Brian Anderson,Carson Kelly,Carson Kelly,Carson Kelly,Adam Duvall,Carson Kelly,Carson Kelly,7.0,Adam Duvall,8.0,Brian Anderson,5.0,Brian Anderson,5.0,Carson Kelly,7.0,Carson Kelly,7.0,Carson Kelly,7.0,Adam Duvall,8.0,Carson Kelly,7.0
2,Cesar Hernandez,Cesar Hernandez,Carson Kelly,Carson Kelly,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Carson Kelly,Cesar Hernandez,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Carson Kelly,7.0,Carson Kelly,7.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Carson Kelly,7.0,Cesar Hernandez,3.0
3,Eddie Rosario,Eddie Rosario,Cesar Hernandez,Cesar Hernandez,Eddie Rosario,Eddie Rosario,Eddie Rosario,Cesar Hernandez,Corey Dickerson,Eddie Rosario,0.0,Eddie Rosario,0.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Eddie Rosario,0.0,Eddie Rosario,0.0,Eddie Rosario,0.0,Cesar Hernandez,3.0,Corey Dickerson,10.0
4,Harold Ramirez,Franmil Reyes,Eddie Rosario,Eddie Rosario,Jesus Aguilar,Franmil Reyes,Jesus Aguilar,Eddie Rosario,Jarred Kelenic,Harold Ramirez,0.0,Franmil Reyes,14.0,Eddie Rosario,0.0,Eddie Rosario,0.0,Jesus Aguilar,15.0,Franmil Reyes,14.0,Jesus Aguilar,15.0,Eddie Rosario,0.0,Jarred Kelenic,0.0
5,Jesus Aguilar,Jesus Aguilar,Franmil Reyes,Franmil Reyes,Kyle Lewis,Jesus Aguilar,Kyle Lewis,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,15.0,Jesus Aguilar,15.0,Franmil Reyes,14.0,Franmil Reyes,14.0,Kyle Lewis,6.0,Jesus Aguilar,15.0,Kyle Lewis,6.0,Jesus Aguilar,15.0,Jesus Aguilar,15.0
6,Jose Ramirez,Jose Ramirez,J.P. Crawford,Jesus Aguilar,Kyle Seager,Kyle Lewis,Kyle Seager,Kyle Lewis,Kyle Seager,Jose Ramirez,16.0,Jose Ramirez,16.0,J.P. Crawford,7.0,Jesus Aguilar,15.0,Kyle Seager,2.0,Kyle Lewis,6.0,Kyle Seager,2.0,Kyle Lewis,6.0,Kyle Seager,2.0
7,Miguel Rojas,Miguel Rojas,Jesus Aguilar,Kyle Lewis,Merrill Kelly,Kyle Seager,Merrill Kelly,Kyle Seager,Miguel Rojas,Miguel Rojas,12.0,Miguel Rojas,12.0,Jesus Aguilar,15.0,Kyle Lewis,6.0,Merrill Kelly,10.325000000000003,Kyle Seager,2.0,Merrill Kelly,10.325000000000003,Kyle Seager,2.0,Miguel Rojas,12.0
8,Mitch Haniger,Sandy Leon,Mitch Haniger,Miguel Rojas,Miguel Rojas,Merrill Kelly,Miguel Rojas,Merrill Kelly,Mitch Haniger,Mitch Haniger,0.0,Sandy Leon,0.0,Mitch Haniger,0.0,Miguel Rojas,12.0,Miguel Rojas,12.0,Merrill Kelly,10.325000000000003,Miguel Rojas,12.0,Merrill Kelly,10.325000000000003,Mitch Haniger,0.0
9,Trevor Rogers,Trevor Rogers,Trevor Rogers,Trevor Rogers,Mitch Haniger,Miguel Rojas,Mitch Haniger,Miguel Rojas,Trevor Rogers,Trevor Rogers,25.900000000000002,Trevor Rogers,25.900000000000002,Trevor Rogers,25.900000000000002,Trevor Rogers,25.900000000000002,Mitch Haniger,0.0,Miguel Rojas,12.0,Mitch Haniger,0.0,Miguel Rojas,12.0,Trevor Rogers,25.900000000000002
10,Zach Plesac,Zach Plesac,Zach Plesac,Zach Plesac,Trevor Rogers,Trevor Rogers,Trevor Rogers,Trevor Rogers,Zach Plesac,Zach Plesac,19.0,Zach Plesac,19.0,Zach Plesac,19.0,Zach Plesac,19.0,Trevor Rogers,25.900000000000002,Trevor Rogers,25.900000000000002,Trevor Rogers,25.900000000000002,Trevor Rogers,25.900000000000002,Zach Plesac,19.0
11,99.78,101.04,97.24,97.06,95.56,93.63,95.56,92.6,92.41,,97.9,,112.9,,95.9,,106.9,,81.22500000000001,,95.22500000000001,,81.22500000000001,,89.22500000000001,,93.9
