,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,05-13-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Cristian Javier,Cristian Javier,Cristian Javier,Adolis Garcia,Adolis Garcia,Brandon Lowe,Cesar Hernandez,Connor Joe,Adolis Garcia,Adolis Garcia,Carson Kelly,Carson Kelly,Carson Kelly,Alex Verdugo,Carson Kelly,Austin Meadows,Alex Bregman,Carson Kelly,Carson Kelly,Carson Kelly,Alex Bregman,Carson Kelly,Carson Kelly,Adolis Garcia,5.0,Adolis Garcia,5.0,Cristian Javier,18.150000000000002,Cristian Javier,18.150000000000002,Cristian Javier,18.150000000000002,Adolis Garcia,5.0,Adolis Garcia,5.0,Brandon Lowe,9.0,Cesar Hernandez,3.0,Connor Joe,20.0,Adolis Garcia,5.0,Adolis Garcia,5.0,Carson Kelly,7.0,Carson Kelly,7.0,Carson Kelly,7.0,Alex Verdugo,0.0,Carson Kelly,7.0,Austin Meadows,30.0,Alex Bregman,9.0,Carson Kelly,7.0,Carson Kelly,7.0,Carson Kelly,7.0,Alex Bregman,9.0,Carson Kelly,7.0,Carson Kelly,7.0
2,Carson Kelly,Carson Kelly,Jason Castro,Jason Castro,Dom Nunez,Carson Kelly,Carson Kelly,Connor Joe,Dom Nunez,Jameson Taillon,Carson Kelly,Carson Kelly,Connor Joe,Cesar Hernandez,Cesar Hernandez,Carson Kelly,Gio Urshela,Carson Kelly,Carson Kelly,Cesar Hernandez,Cesar Hernandez,Connor Joe,Carson Kelly,Cesar Hernandez,Cesar Hernandez,Carson Kelly,7.0,Carson Kelly,7.0,Jason Castro,9.0,Jason Castro,9.0,Dom Nunez,4.0,Carson Kelly,7.0,Carson Kelly,7.0,Connor Joe,20.0,Dom Nunez,4.0,Jameson Taillon,14.650000000000004,Carson Kelly,7.0,Carson Kelly,7.0,Connor Joe,20.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Carson Kelly,7.0,Gio Urshela,5.0,Carson Kelly,7.0,Carson Kelly,7.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Connor Joe,20.0,Carson Kelly,7.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0
3,Charlie Culberson,Charlie Culberson,Jesse Winker,Jesse Winker,Jesse Winker,Cesar Hernandez,Jesse Winker,Cristian Javier,Jesse Winker,Jed Lowrie,Cesar Hernandez,Jesse Winker,Jameson Taillon,Jameson Taillon,Connor Joe,Eddie Rosario,Michael Chavis,Connor Joe,Cesar Hernandez,Charlie Blackmon,Connor Joe,Kyle Seager,Connor Joe,Connor Joe,Connor Joe,Charlie Culberson,0.0,Charlie Culberson,0.0,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0,Cesar Hernandez,3.0,Jesse Winker,5.0,Cristian Javier,18.150000000000002,Jesse Winker,5.0,Jed Lowrie,7.0,Cesar Hernandez,3.0,Jesse Winker,5.0,Jameson Taillon,14.650000000000004,Jameson Taillon,14.650000000000004,Connor Joe,20.0,Eddie Rosario,0.0,Michael Chavis,14.0,Connor Joe,20.0,Cesar Hernandez,3.0,Charlie Blackmon,7.0,Connor Joe,20.0,Kyle Seager,2.0,Connor Joe,20.0,Connor Joe,20.0,Connor Joe,20.0
4,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesse Winker,Josh Fuentes,Dom Nunez,Josh Fuentes,Jesse Winker,Jesse Winker,Josh Fuentes,Jed Lowrie,Jesse Winker,Jameson Taillon,Gio Urshela,Miguel Rojas,Gio Urshela,Connor Joe,Connor Joe,Jose Ramirez,Mark Canha,Jesse Winker,Jameson Taillon,Jameson Taillon,Isiah Kiner-Falefa,5.0,Isiah Kiner-Falefa,5.0,Jesus Aguilar,15.0,Jesus Aguilar,15.0,Jesus Aguilar,15.0,Jesse Winker,5.0,Josh Fuentes,26.0,Dom Nunez,4.0,Josh Fuentes,26.0,Jesse Winker,5.0,Jesse Winker,5.0,Josh Fuentes,26.0,Jed Lowrie,7.0,Jesse Winker,5.0,Jameson Taillon,14.650000000000004,Gio Urshela,5.0,Miguel Rojas,12.0,Gio Urshela,5.0,Connor Joe,20.0,Connor Joe,20.0,Jose Ramirez,16.0,Mark Canha,5.0,Jesse Winker,5.0,Jameson Taillon,14.650000000000004,Jameson Taillon,14.650000000000004
5,Jesse Winker,Jesse Winker,Jonathan India,Jonathan India,Jonathan India,Josh Fuentes,Miguel Rojas,Jesse Winker,Kyle Tucker,Josh Fuentes,Josh Fuentes,Miguel Rojas,Jesse Winker,Jesus Aguilar,Jesse Winker,Michael Chavis,Mitch Haniger,Jameson Taillon,Eddie Rosario,Gio Urshela,Mark Canha,Miguel Rojas,Mark Canha,Jesse Winker,Jesse Winker,Jesse Winker,5.0,Jesse Winker,5.0,Jonathan India,23.0,Jonathan India,23.0,Jonathan India,23.0,Josh Fuentes,26.0,Miguel Rojas,12.0,Jesse Winker,5.0,Kyle Tucker,7.0,Josh Fuentes,26.0,Josh Fuentes,26.0,Miguel Rojas,12.0,Jesse Winker,5.0,Jesus Aguilar,15.0,Jesse Winker,5.0,Michael Chavis,14.0,Mitch Haniger,0.0,Jameson Taillon,14.650000000000004,Eddie Rosario,0.0,Gio Urshela,5.0,Mark Canha,5.0,Miguel Rojas,12.0,Mark Canha,5.0,Jesse Winker,5.0,Jesse Winker,5.0
6,Michael Chavis,Michael Chavis,Josh Fuentes,Josh Fuentes,Josh Fuentes,Miguel Rojas,Nate Lowe,Josh Fuentes,Matt Olson,Miguel Rojas,Miguel Rojas,Nate Lowe,Josh Fuentes,Josh Fuentes,Josh Fuentes,Miguel Rojas,Nick Solak,Jesse Winker,Jameson Taillon,Jameson Taillon,Miguel Rojas,Mitch Haniger,Miguel Rojas,Jose Ramirez,Kyle Seager,Michael Chavis,14.0,Michael Chavis,14.0,Josh Fuentes,26.0,Josh Fuentes,26.0,Josh Fuentes,26.0,Miguel Rojas,12.0,Nate Lowe,4.0,Josh Fuentes,26.0,Matt Olson,4.0,Miguel Rojas,12.0,Miguel Rojas,12.0,Nate Lowe,4.0,Josh Fuentes,26.0,Josh Fuentes,26.0,Josh Fuentes,26.0,Miguel Rojas,12.0,Nick Solak,5.0,Jesse Winker,5.0,Jameson Taillon,14.650000000000004,Jameson Taillon,14.650000000000004,Miguel Rojas,12.0,Mitch Haniger,0.0,Miguel Rojas,12.0,Jose Ramirez,16.0,Kyle Seager,2.0
7,Mitch Haniger,Mitch Haniger,Kyle Tucker,Kyle Tucker,Miguel Rojas,Mitch Haniger,Nick Solak,Kyle Tucker,Miguel Rojas,Nick Castellanos,Mitch Haniger,Nick Solak,Miguel Rojas,Mark Canha,Miguel Rojas,Mitch Haniger,Raimel Tapia,Miguel Rojas,Jesse Winker,Jesse Winker,Mitch Haniger,Nick Solak,Mike Foltynewicz,Manuel Margot,Mark Canha,Mitch Haniger,0.0,Mitch Haniger,0.0,Kyle Tucker,7.0,Kyle Tucker,7.0,Miguel Rojas,12.0,Mitch Haniger,0.0,Nick Solak,5.0,Kyle Tucker,7.0,Miguel Rojas,12.0,Nick Castellanos,12.0,Mitch Haniger,0.0,Nick Solak,5.0,Miguel Rojas,12.0,Mark Canha,5.0,Miguel Rojas,12.0,Mitch Haniger,0.0,Raimel Tapia,14.0,Miguel Rojas,12.0,Jesse Winker,5.0,Jesse Winker,5.0,Mitch Haniger,0.0,Nick Solak,5.0,Mike Foltynewicz,4.65,Manuel Margot,5.0,Mark Canha,5.0
8,Nick Solak,Nick Solak,Miguel Rojas,Miguel Rojas,Raimel Tapia,Nate Lowe,Sean Manaea,Miguel Rojas,Raimel Tapia,Raimel Tapia,Nate Lowe,Sean Manaea,Raimel Tapia,Miguel Rojas,Nick Castellanos,Nick Solak,Sean Manaea,Nick Solak,Miguel Rojas,Miguel Rojas,Sean Manaea,Sean Manaea,Nick Solak,Miguel Rojas,Miguel Rojas,Nick Solak,5.0,Nick Solak,5.0,Miguel Rojas,12.0,Miguel Rojas,12.0,Raimel Tapia,14.0,Nate Lowe,4.0,Sean Manaea,-12.1,Miguel Rojas,12.0,Raimel Tapia,14.0,Raimel Tapia,14.0,Nate Lowe,4.0,Sean Manaea,-12.1,Raimel Tapia,14.0,Miguel Rojas,12.0,Nick Castellanos,12.0,Nick Solak,5.0,Sean Manaea,-12.1,Nick Solak,5.0,Miguel Rojas,12.0,Miguel Rojas,12.0,Sean Manaea,-12.1,Sean Manaea,-12.1,Nick Solak,5.0,Miguel Rojas,12.0,Miguel Rojas,12.0
9,Sean Manaea,Sean Manaea,Raimel Tapia,Raimel Tapia,Trevor Rogers,Sean Manaea,Trevor Rogers,Raimel Tapia,Sean Manaea,Trevor Rogers,Sean Manaea,Trevor Rogers,Trevor Rogers,Raimel Tapia,Raimel Tapia,Sean Manaea,Trevor Rogers,Raimel Tapia,Raimel Tapia,Raimel Tapia,Trevor Rogers,Trevor Rogers,Raimel Tapia,Raimel Tapia,Raimel Tapia,Sean Manaea,-12.1,Sean Manaea,-12.1,Raimel Tapia,14.0,Raimel Tapia,14.0,Trevor Rogers,25.900000000000002,Sean Manaea,-12.1,Trevor Rogers,25.900000000000002,Raimel Tapia,14.0,Sean Manaea,-12.1,Trevor Rogers,25.900000000000002,Sean Manaea,-12.1,Trevor Rogers,25.900000000000002,Trevor Rogers,25.900000000000002,Raimel Tapia,14.0,Raimel Tapia,14.0,Sean Manaea,-12.1,Trevor Rogers,25.900000000000002,Raimel Tapia,14.0,Raimel Tapia,14.0,Raimel Tapia,14.0,Trevor Rogers,25.900000000000002,Trevor Rogers,25.900000000000002,Raimel Tapia,14.0,Raimel Tapia,14.0,Raimel Tapia,14.0
