Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Shane Bieber (17558081),Shane Bieber,17558081,P,11000,CLE@SEA 05/14/2021 10:10PM ET,CLE,29.19
SP,Trevor Bauer (17557927),Trevor Bauer,17557927,P,10500,MIA@LAD 05/14/2021 10:10PM ET,LAD,25.92
SP,Clayton Kershaw (17557847),Clayton Kershaw,17557847,P,10000,MIA@LAD 05/14/2021 10:10PM ET,LAD,16.01
SP,Walker Buehler (17557974),Walker Buehler,17557974,P,9800,MIA@LAD 05/14/2021 10:10PM ET,LAD,19.88
SP,Tony Gonsolin (17558131),Tony Gonsolin,17558131,P,9600,MIA@LAD 05/14/2021 10:10PM ET,LAD,0
SP,Jack Flaherty (17558039),Jack Flaherty,17558039,P,9600,STL@SD 05/14/2021 10:10PM ET,STL,21.96
RP,Trevor Rogers (17558163),Trevor Rogers,17558163,P,9300,MIA@LAD 05/14/2021 10:10PM ET,MIA,23.2
SP,Yu Darvish (17557854),Yu Darvish,17557854,P,9300,STL@SD 05/14/2021 10:10PM ET,SD,23.23
SP,Aaron Civale (17558087),Aaron Civale,17558087,P,9300,CLE@SEA 05/14/2021 10:10PM ET,CLE,18.61
SP,Julio Urias (17557987),Julio Urias,17557987,P,9100,MIA@LAD 05/14/2021 10:10PM ET,LAD,21.44
SP,Dustin May (17558126),Dustin May,17558126,P,9000,MIA@LAD 05/14/2021 10:10PM ET,LAD,19.59
SP,Sandy Alcantara (17558035),Sandy Alcantara,17558035,P,8900,MIA@LAD 05/14/2021 10:10PM ET,MIA,18.74
SP,Sixto Sanchez (17558080),Sixto Sanchez,17558080,P,8700,MIA@LAD 05/14/2021 10:10PM ET,MIA,0
SP,Joe Musgrove (17557928),Joe Musgrove,17557928,P,8700,STL@SD 05/14/2021 10:10PM ET,SD,15.05
SP,Adam Wainwright (17557841),Adam Wainwright,17557841,P,8300,STL@SD 05/14/2021 10:10PM ET,STL,17.36
SP,Yusei Kikuchi (17557900),Yusei Kikuchi,17557900,P,8300,CLE@SEA 05/14/2021 10:10PM ET,SEA,17.37
RP,Sam Hentges (17558043),Sam Hentges,17558043,P,8200,CLE@SEA 05/14/2021 10:10PM ET,CLE,7.67
SP,Pablo Lopez (17557988),Pablo Lopez,17557988,P,8100,MIA@LAD 05/14/2021 10:10PM ET,MIA,13.56
SP,Blake Snell (17557929),Blake Snell,17557929,P,8100,STL@SD 05/14/2021 10:10PM ET,SD,14.36
RP,Dakota Hudson (17558016),Dakota Hudson,17558016,P,8100,STL@SD 05/14/2021 10:10PM ET,STL,0
RP,Zach Plesac (17558082),Zach Plesac,17558082,P,8100,CLE@SEA 05/14/2021 10:10PM ET,CLE,14.98
RP,Kwang Hyun Kim (17557872),Kwang Hyun Kim,17557872,P,7800,STL@SD 05/14/2021 10:10PM ET,STL,15.94
SP,Dinelson Lamet (17558065),Dinelson Lamet,17558065,P,7600,STL@SD 05/14/2021 10:10PM ET,SD,5.57
SP,Chris Paddack (17558098),Chris Paddack,17558098,P,7600,STL@SD 05/14/2021 10:10PM ET,SD,9.29
SP,Johan Oviedo (17558146),Johan Oviedo,17558146,P,7200,STL@SD 05/14/2021 10:10PM ET,STL,11.25
SP,David Price (17557855),David Price,17557855,P,7000,MIA@LAD 05/14/2021 10:10PM ET,LAD,3.56
RP,Elieser Hernandez (17557971),Elieser Hernandez,17557971,P,7000,MIA@LAD 05/14/2021 10:10PM ET,MIA,6.05
RP,Alex Vesia (17558189),Alex Vesia,17558189,P,7000,MIA@LAD 05/14/2021 10:10PM ET,LAD,2.88
SP,Miles Mikolas (17557880),Miles Mikolas,17557880,P,7000,STL@SD 05/14/2021 10:10PM ET,STL,0
SP,Carlos Martinez (17557901),Carlos Martinez,17557901,P,7000,STL@SD 05/14/2021 10:10PM ET,STL,11.11
RP,John Gant (17557941),John Gant,17557941,P,7000,STL@SD 05/14/2021 10:10PM ET,STL,13.49
RP,Logan Allen (17558097),Logan Allen,17558097,P,7000,CLE@SEA 05/14/2021 10:10PM ET,CLE,2.37
SP,James Paxton (17557875),James Paxton,17557875,P,6900,CLE@SEA 05/14/2021 10:10PM ET,SEA,4.4
SP,Chris Flexen (17557975),Chris Flexen,17557975,P,6900,CLE@SEA 05/14/2021 10:10PM ET,SEA,12.7
RP,Daniel Ponce de Leon (17557915),Daniel Ponce de Leon,17557915,P,6800,STL@SD 05/14/2021 10:10PM ET,STL,0.41
SP,Mike Clevinger (17557933),Mike Clevinger,17557933,P,6800,STL@SD 05/14/2021 10:10PM ET,SD,0
RP,Ryan Weathers (17558182),Ryan Weathers,17558182,P,6700,STL@SD 05/14/2021 10:10PM ET,SD,9.34
SP,Triston McKenzie (17558092),Triston McKenzie,17558092,P,6700,CLE@SEA 05/14/2021 10:10PM ET,CLE,12.74
SP,Justus Sheffield (17558038),Justus Sheffield,17558038,P,6600,CLE@SEA 05/14/2021 10:10PM ET,SEA,11.07
RP,Ross Detwiler (17557856),Ross Detwiler,17557856,P,6500,MIA@LAD 05/14/2021 10:10PM ET,MIA,3.08
RP,Justin Dunn (17558017),Justin Dunn,17558017,P,6400,CLE@SEA 05/14/2021 10:10PM ET,SEA,11.44
SP,Ljay Newsome (17558100),Ljay Newsome,17558100,P,6400,CLE@SEA 05/14/2021 10:10PM ET,SEA,4.17
SP,Nick Neidert (17558093),Nick Neidert,17558093,P,6300,MIA@LAD 05/14/2021 10:10PM ET,MIA,3.33
