,team,Name,b_o,pj_vO
0,STL,Tommy Edman,1,5.53
1,STL,Dylan Carlson,2,5.3
2,STL,Paul Goldschmidt,3,6.37
3,STL,Nolan Arenado,4,6.41
4,STL,Yadier Molina,5,6.91
5,STL,Matt Carpenter,6,2.47
6,STL,Tyler O'Neill,7,6.8
7,STL,Harrison Bader,8,6.74
8,SD,Trent Grisham,1,9.08
9,SD,Manny Machado,2,8.18
10,SD,Jake Cronenworth,3,6.57
11,SD,Tommy Pham,4,3.11
12,SD,Brian O'Grady,5,1.86
13,SD,Austin Nola,6,2.9
14,SD,Tucupita Marcano,7,1.8
15,SD,Ha-Seong Kim,8,3.17
16,CLE,Cesar Hernandez,1,6.74
17,CLE,Amed Rosario,2,6.13
18,CLE,Jose Ramirez,3,8.91
19,CLE,Eddie Rosario,4,7.2
20,CLE,Franmil Reyes,5,8.89
21,CLE,Josh Naylor,6,6.64
22,CLE,Jordan Luplow,7,5.51
23,CLE,Jake Bauers,8,2.92
24,CLE,Austin Hedges,9,3.28
26,SEA,Mitch Haniger,2,7.02
27,SEA,Kyle Seager,3,5.84
28,SEA,Kyle Lewis,4,4.77
29,SEA,J.P. Crawford,5,4.14
30,SEA,Dylan Moore,6,4.54
31,SEA,Jose Marmolejos,7,3.25
32,SEA,Luis Torrens,8,3.18
33,SEA,Sam Haggerty,9,3.54
34,MIA,Miguel Rojas,1,6.19
35,MIA,Jesus Aguilar,2,6.31
36,MIA,Garrett Cooper,3,3.15
37,MIA,Adam Duvall,4,4.67
38,MIA,Brian Anderson,5,3.75
39,MIA,Isan Diaz,6,3.14
40,MIA,Chad Wallach,7,3.11
41,MIA,Magneuris Sierra,8,1.73
42,LAD,Mookie Betts,1,7.18
43,LAD,Corey Seager,2,6.4
44,LAD,Justin Turner,3,7.01
45,LAD,Max Muncy,4,6.59
46,LAD,Chris Taylor,5,7.53
47,LAD,Gavin Lux,6,4.08
48,LAD,AJ Pollock,7,4.96
49,LAD,Austin Barnes,8,2.98
0,STL,Johan Oviedo,SP,10.29
1,SD,Joe Musgrove,SP,22.0
2,CLE,Aaron Civale,SP,19.89
3,SEA,Chris Flexen,SP,12.96
4,MIA,Sandy Alcantara,SP,17.93
5,LAD,Clayton Kershaw,SP,20.97
