,team,Name,b_o,pj_vO
0,STL,Tommy Edman,1,5.53
1,STL,Dylan Carlson,2,5.3
2,STL,Paul Goldschmidt,3,6.37
3,STL,Nolan Arenado,4,6.41
4,STL,Yadier Molina,5,6.91
5,STL,Matt Carpenter,6,2.47
6,STL,Tyler O'Neill,7,6.8
7,STL,Harrison Bader,8,6.74
8,SD,Trent Grisham,1,9.1
9,SD,Manny Machado,2,8.2
10,SD,Jake Cronenworth,3,6.59
11,SD,Tommy Pham,4,3.12
12,SD,Brian O'Grady,5,1.87
13,SD,Austin Nola,6,2.91
14,SD,Tucupita Marcano,7,1.81
15,SD,Ha-Seong Kim,8,3.18
16,CLE,Cesar Hernandez,1,6.74
17,CLE,Amed Rosario,2,6.13
18,CLE,Jose Ramirez,3,8.91
19,CLE,Eddie Rosario,4,7.2
20,CLE,Franmil Reyes,5,8.89
21,CLE,Josh Naylor,6,6.64
22,CLE,Jordan Luplow,7,5.51
23,CLE,Jake Bauers,8,2.92
24,CLE,Austin Hedges,9,3.28
25,SEA,Mitch Haniger,2,7.05
26,SEA,Kyle Seager,3,5.86
27,SEA,Kyle Lewis,4,4.79
28,SEA,J.P. Crawford,5,4.14
29,SEA,Dylan Moore,6,4.55
30,SEA,Jose Marmolejos,7,3.26
31,SEA,Luis Torrens,8,3.19
32,SEA,Sam Haggerty,9,3.55
33,MIA,Miguel Rojas,1,6.19
34,MIA,Jesus Aguilar,2,6.31
35,MIA,Garrett Cooper,3,3.15
36,MIA,Adam Duvall,4,4.67
37,MIA,Brian Anderson,5,3.75
38,MIA,Isan Diaz,6,3.14
39,MIA,Chad Wallach,7,3.11
40,MIA,Magneuris Sierra,8,1.73
41,LAD,Mookie Betts,1,7.18
42,LAD,Corey Seager,2,6.4
43,LAD,Justin Turner,3,7.01
44,LAD,Max Muncy,4,6.59
45,LAD,Chris Taylor,5,7.53
46,LAD,Gavin Lux,6,4.08
47,LAD,AJ Pollock,7,4.96
48,LAD,Austin Barnes,8,2.98
0,STL,Johan Oviedo,SP,10.29
1,SD,Joe Musgrove,SP,22.0
2,CLE,Aaron Civale,SP,19.89
3,SEA,Chris Flexen,SP,12.96
4,MIA,Sandy Alcantara,SP,17.93
5,LAD,Clayton Kershaw,SP,20.97
