,team,Name,b_o,pj_vO
0,STL,Tommy Edman,1,5.29
1,STL,Dylan Carlson,2,5.03
2,STL,Paul Goldschmidt,3,6.04
3,STL,Nolan Arenado,4,6.07
4,STL,Yadier Molina,5,6.53
5,STL,Matt Carpenter,6,2.36
6,STL,Tyler O'Neill,7,6.46
7,STL,Harrison Bader,8,6.44
8,SD,Trent Grisham,1,8.69
9,SD,Manny Machado,2,7.84
10,SD,Jake Cronenworth,3,6.28
11,SD,Tommy Pham,4,3.02
12,SD,Brian O'Grady,5,1.75
13,SD,Austin Nola,6,2.79
14,SD,Tucupita Marcano,7,1.71
15,SD,Ha-Seong Kim,8,3.03
16,CLE,Cesar Hernandez,1,6.31
17,CLE,Amed Rosario,2,5.74
18,CLE,Jose Ramirez,3,8.48
19,CLE,Eddie Rosario,4,6.77
20,CLE,Franmil Reyes,5,8.4
21,CLE,Josh Naylor,6,6.2
22,CLE,Jordan Luplow,7,5.25
23,CLE,Jake Bauers,8,2.73
24,CLE,Austin Hedges,9,3.12
26,SEA,Mitch Haniger,2,6.69
27,SEA,Kyle Seager,3,5.56
28,SEA,Kyle Lewis,4,4.56
29,SEA,J.P. Crawford,5,3.88
30,SEA,Dylan Moore,6,4.37
31,SEA,Jose Marmolejos,7,3.13
32,SEA,Luis Torrens,8,3.01
33,SEA,Sam Haggerty,9,3.39
34,MIA,Miguel Rojas,1,5.86
35,MIA,Jesus Aguilar,2,6.02
36,MIA,Garrett Cooper,3,2.99
37,MIA,Adam Duvall,4,4.48
38,MIA,Brian Anderson,5,3.57
39,MIA,Isan Diaz,6,2.99
40,MIA,Chad Wallach,7,2.94
41,MIA,Magneuris Sierra,8,1.64
42,LAD,Mookie Betts,1,6.85
43,LAD,Corey Seager,2,6.06
44,LAD,Justin Turner,3,6.68
45,LAD,Max Muncy,4,6.24
46,LAD,Chris Taylor,5,7.15
47,LAD,Gavin Lux,6,3.85
48,LAD,AJ Pollock,7,4.75
49,LAD,Austin Barnes,8,2.75
0,STL,Johan Oviedo,SP,10.68
1,SD,Joe Musgrove,SP,22.38
2,CLE,Aaron Civale,SP,20.43
3,SEA,Chris Flexen,SP,13.63
4,MIA,Sandy Alcantara,SP,18.69
5,LAD,Clayton Kershaw,SP,21.46
