,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5
0,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004,Aaron Civale,11.150000000000004
2,Chris Taylor,Chris Taylor,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Brian Anderson,Brian Anderson,Brian Anderson,Brian Anderson,Brian Anderson,Brian Anderson,Brian Anderson,Brian Anderson,Brian Anderson,Brian Anderson,Chris Taylor,7.0,Chris Taylor,7.0,Cesar Hernandez,6.0,Cesar Hernandez,6.0,Cesar Hernandez,6.0,Brian Anderson,5.0,Brian Anderson,5.0,Brian Anderson,5.0,Brian Anderson,5.0,Brian Anderson,5.0,Brian Anderson,5.0,Brian Anderson,5.0,Brian Anderson,5.0,Brian Anderson,5.0,Brian Anderson,5.0
3,Harrison Bader,Harrison Bader,Franmil Reyes,Franmil Reyes,Franmil Reyes,Chris Taylor,Chris Taylor,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Chris Taylor,Chris Taylor,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Harrison Bader,5.0,Harrison Bader,5.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Chris Taylor,7.0,Chris Taylor,7.0,Cesar Hernandez,6.0,Cesar Hernandez,6.0,Cesar Hernandez,6.0,Chris Taylor,7.0,Chris Taylor,7.0,Cesar Hernandez,6.0,Cesar Hernandez,6.0,Cesar Hernandez,6.0
4,Isan Diaz,Isan Diaz,Harrison Bader,Harrison Bader,Harrison Bader,Dylan Carlson,Dylan Carlson,Eddie Rosario,Eddie Rosario,Eddie Rosario,Dylan Carlson,Dylan Carlson,Eddie Rosario,Eddie Rosario,Eddie Rosario,Isan Diaz,3.0,Isan Diaz,3.0,Harrison Bader,5.0,Harrison Bader,5.0,Harrison Bader,5.0,Dylan Carlson,4.0,Dylan Carlson,4.0,Eddie Rosario,2.0,Eddie Rosario,2.0,Eddie Rosario,2.0,Dylan Carlson,4.0,Dylan Carlson,4.0,Eddie Rosario,2.0,Eddie Rosario,2.0,Eddie Rosario,2.0
5,Jesus Aguilar,Jesus Aguilar,J.P. Crawford,J.P. Crawford,J.P. Crawford,Jake Cronenworth,Jake Cronenworth,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jake Cronenworth,Jake Cronenworth,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,2.0,Jesus Aguilar,2.0,J.P. Crawford,2.0,J.P. Crawford,2.0,J.P. Crawford,2.0,Jake Cronenworth,7.0,Jake Cronenworth,7.0,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Jake Cronenworth,7.0,Jake Cronenworth,7.0,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Jesus Aguilar,2.0
6,Jose Ramirez,Jose Ramirez,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Joe Musgrove,Joe Musgrove,Joe Musgrove,Jesus Aguilar,Jesus Aguilar,Joe Musgrove,Joe Musgrove,Joe Musgrove,Jose Ramirez,0.0,Jose Ramirez,0.0,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Joe Musgrove,17.25,Joe Musgrove,17.25,Joe Musgrove,17.25,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Joe Musgrove,17.25,Joe Musgrove,17.25,Joe Musgrove,17.25
7,Miguel Rojas,Miguel Rojas,Joe Musgrove,Joe Musgrove,Joe Musgrove,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,14.0,Miguel Rojas,14.0,Joe Musgrove,17.25,Joe Musgrove,17.25,Joe Musgrove,17.25,Miguel Rojas,14.0,Miguel Rojas,14.0,Miguel Rojas,14.0,Miguel Rojas,14.0,Miguel Rojas,14.0,Miguel Rojas,14.0,Miguel Rojas,14.0,Miguel Rojas,14.0,Miguel Rojas,14.0,Miguel Rojas,14.0
8,Sandy Alcantara,Sandy Alcantara,Jose Ramirez,Jose Ramirez,Jose Ramirez,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Sandy Alcantara,-12.925,Sandy Alcantara,-12.925,Jose Ramirez,0.0,Jose Ramirez,0.0,Jose Ramirez,0.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Mitch Haniger,16.0
9,Tyler O'Neill,Tyler O'Neill,Tyler O'Neill,Tyler O'Neill,Tyler O'Neill,Sandy Alcantara,Sandy Alcantara,Trent Grisham,Trent Grisham,Trent Grisham,Sandy Alcantara,Sandy Alcantara,Trent Grisham,Trent Grisham,Trent Grisham,Tyler O'Neill,19.0,Tyler O'Neill,19.0,Tyler O'Neill,19.0,Tyler O'Neill,19.0,Tyler O'Neill,19.0,Sandy Alcantara,-12.925,Sandy Alcantara,-12.925,Trent Grisham,13.0,Trent Grisham,13.0,Trent Grisham,13.0,Sandy Alcantara,-12.925,Sandy Alcantara,-12.925,Trent Grisham,13.0,Trent Grisham,13.0,Trent Grisham,13.0
