,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5
0,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Harrison Bader,Harrison Bader,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Dylan Carlson,Dylan Carlson,Eddie Rosario,Eddie Rosario,Eddie Rosario,Dylan Carlson,Dylan Carlson,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Harrison Bader,5.0,Harrison Bader,5.0,Cesar Hernandez,6.0,Cesar Hernandez,6.0,Cesar Hernandez,6.0,Dylan Carlson,4.0,Dylan Carlson,4.0,Eddie Rosario,2.0,Eddie Rosario,2.0,Eddie Rosario,2.0,Dylan Carlson,4.0,Dylan Carlson,4.0,Cesar Hernandez,6.0,Cesar Hernandez,6.0,Cesar Hernandez,6.0
2,Jesus Aguilar,Jesus Aguilar,Eddie Rosario,Eddie Rosario,Franmil Reyes,Franmil Reyes,Franmil Reyes,Franmil Reyes,Franmil Reyes,Franmil Reyes,J.P. Crawford,J.P. Crawford,Dylan Carlson,Dylan Carlson,Eddie Rosario,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Eddie Rosario,2.0,Eddie Rosario,2.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Franmil Reyes,2.0,J.P. Crawford,2.0,J.P. Crawford,2.0,Dylan Carlson,4.0,Dylan Carlson,4.0,Eddie Rosario,2.0
3,Max Scherzer,Max Scherzer,Harrison Bader,Harrison Bader,Joe Musgrove,Isan Diaz,Isan Diaz,Isan Diaz,Isan Diaz,Isan Diaz,Jesus Aguilar,Jesus Aguilar,Eddie Rosario,Eddie Rosario,J.P. Crawford,Max Scherzer,27.45,Max Scherzer,27.45,Harrison Bader,5.0,Harrison Bader,5.0,Joe Musgrove,17.25,Isan Diaz,3.0,Isan Diaz,3.0,Isan Diaz,3.0,Isan Diaz,3.0,Isan Diaz,3.0,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Eddie Rosario,2.0,Eddie Rosario,2.0,J.P. Crawford,2.0
4,Miguel Rojas,Miguel Rojas,Joe Musgrove,Joe Musgrove,Josh Bell,Jesus Aguilar,Jesus Aguilar,Joe Musgrove,Joe Musgrove,Joe Musgrove,Josh Rojas,Josh Rojas,J.P. Crawford,J.P. Crawford,Joe Musgrove,Miguel Rojas,14.0,Miguel Rojas,14.0,Joe Musgrove,17.25,Joe Musgrove,17.25,Josh Bell,20.0,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Joe Musgrove,17.25,Joe Musgrove,17.25,Joe Musgrove,17.25,Josh Rojas,3.0,Josh Rojas,3.0,J.P. Crawford,2.0,J.P. Crawford,2.0,Joe Musgrove,17.25
5,Mitch Haniger,Mitch Haniger,Josh Bell,Josh Bell,Kyle Schwarber,Max Scherzer,Max Scherzer,Josh Bell,Josh Bell,Josh Bell,Max Scherzer,Max Scherzer,Jesus Aguilar,Jesus Aguilar,Kyle Schwarber,Mitch Haniger,16.0,Mitch Haniger,16.0,Josh Bell,20.0,Josh Bell,20.0,Kyle Schwarber,30.0,Max Scherzer,27.45,Max Scherzer,27.45,Josh Bell,20.0,Josh Bell,20.0,Josh Bell,20.0,Max Scherzer,27.45,Max Scherzer,27.45,Jesus Aguilar,2.0,Jesus Aguilar,2.0,Kyle Schwarber,30.0
6,Sandy Alcantara,Sandy Alcantara,Max Scherzer,Max Scherzer,Max Scherzer,Miguel Rojas,Miguel Rojas,Max Scherzer,Max Scherzer,Kyle Schwarber,Mitch Haniger,Mitch Haniger,Joe Musgrove,Joe Musgrove,Max Scherzer,Sandy Alcantara,-12.925,Sandy Alcantara,-12.925,Max Scherzer,27.45,Max Scherzer,27.45,Max Scherzer,27.45,Miguel Rojas,14.0,Miguel Rojas,14.0,Max Scherzer,27.45,Max Scherzer,27.45,Kyle Schwarber,30.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Joe Musgrove,17.25,Joe Musgrove,17.25,Max Scherzer,27.45
7,Starlin Castro,Starlin Castro,Starlin Castro,Starlin Castro,Starlin Castro,Mitch Haniger,Mitch Haniger,Miguel Rojas,Miguel Rojas,Max Scherzer,Sandy Alcantara,Sandy Alcantara,Max Scherzer,Max Scherzer,Mitch Haniger,Starlin Castro,4.0,Starlin Castro,4.0,Starlin Castro,4.0,Starlin Castro,4.0,Starlin Castro,4.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Miguel Rojas,14.0,Miguel Rojas,14.0,Max Scherzer,27.45,Sandy Alcantara,-12.925,Sandy Alcantara,-12.925,Max Scherzer,27.45,Max Scherzer,27.45,Mitch Haniger,16.0
8,Tommy Edman,Tommy Edman,Trea Turner,Trea Turner,Trea Turner,Sandy Alcantara,Sandy Alcantara,Starlin Castro,Starlin Castro,Starlin Castro,Starlin Castro,Starlin Castro,Starlin Castro,Starlin Castro,Paul Goldschmidt,Tommy Edman,8.0,Tommy Edman,8.0,Trea Turner,23.0,Trea Turner,23.0,Trea Turner,23.0,Sandy Alcantara,-12.925,Sandy Alcantara,-12.925,Starlin Castro,4.0,Starlin Castro,4.0,Starlin Castro,4.0,Starlin Castro,4.0,Starlin Castro,4.0,Starlin Castro,4.0,Starlin Castro,4.0,Paul Goldschmidt,7.0
9,Tyler O'Neill,Tyler O'Neill,Tyler O'Neill,Tyler O'Neill,Victor Robles,Starlin Castro,Starlin Castro,Trent Grisham,Trent Grisham,Stephen Vogt,Tommy Edman,Tommy Edman,Trent Grisham,Trent Grisham,Starlin Castro,Tyler O'Neill,19.0,Tyler O'Neill,19.0,Tyler O'Neill,19.0,Tyler O'Neill,19.0,Victor Robles,16.0,Starlin Castro,4.0,Starlin Castro,4.0,Trent Grisham,13.0,Trent Grisham,13.0,Stephen Vogt,0.0,Tommy Edman,8.0,Tommy Edman,8.0,Trent Grisham,13.0,Trent Grisham,13.0,Starlin Castro,4.0
