Date,Lineup Type,1,2,3,4,5,6,7,8,9,10,Proj
05-14-21,APPGa,Start_Alec_Bohm,Start_Bo_Bichette,Start_Cedric_Mullins,Start_Griffin_Canning,Start_J.D._Martinez,Start_Kyle_Higashioka,Start_Marcus_Semien,Start_Michael_Chavis,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,108.96000000000001
05-14-21,APPG,Start_Alec_Bohm,Start_Bo_Bichette,Start_Cedric_Mullins,Start_Griffin_Canning,Start_J.D._Martinez,Start_Kyle_Higashioka,Start_Marcus_Semien,Start_Michael_Chavis,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,108.96000000000001
05-14-21,pj_vO,Start_Cavan_Biggio,Start_Jake_Arrieta,Start_Javier_Baez,Start_Kris_Bryant,Start_Kyle_Higashioka,Start_Marcus_Semien,Start_Michael_Chavis,Start_Nomar_Mazara,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,127.85000000000001
05-14-21,pj_vOa,Start_Cavan_Biggio,Start_Jake_Arrieta,Start_Javier_Baez,Start_Kris_Bryant,Start_Kyle_Higashioka,Start_Marcus_Semien,Start_Michael_Chavis,Start_Nomar_Mazara,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,127.85000000000001
05-14-21,pj_vOab,Start_Alec_Bohm,Start_Hunter_Renfroe,Start_J.D._Martinez,Start_Jake_Arrieta,Start_Javier_Baez,Start_Kyle_Higashioka,Start_Marcus_Semien,Start_Michael_Chavis,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,133.49
05-14-21,APPGa_1-6,Start_Alec_Bohm,Start_Bo_Bichette,Start_J.T._Realmuto,Start_Marcus_Semien,Start_Michael_Chavis,Start_Nick_Pivetta,Start_Nomar_Mazara,Start_Robbie_Grossman,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,107.29
05-14-21,APPG_1-6,Start_Alec_Bohm,Start_Bo_Bichette,Start_J.T._Realmuto,Start_Marcus_Semien,Start_Michael_Chavis,Start_Nick_Pivetta,Start_Nomar_Mazara,Start_Robbie_Grossman,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,107.29
05-14-21,pj_vO_1-6,Start_Alec_Bohm,Start_Austin_Meadows,Start_Jake_Arrieta,Start_Javier_Baez,Start_Marcus_Semien,Start_Michael_Chavis,Start_Nomar_Mazara,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,Start_Willson_Contreras,123.74000000000001
05-14-21,pj_vOa_1-6,Start_Alec_Bohm,Start_Austin_Meadows,Start_Jake_Arrieta,Start_Javier_Baez,Start_Marcus_Semien,Start_Michael_Chavis,Start_Nomar_Mazara,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,Start_Willson_Contreras,123.74000000000001
05-14-21,pj_vOab_1-6,Start_Alec_Bohm,Start_Alex_Verdugo,Start_Jake_Arrieta,Start_Javier_Baez,Start_Marcus_Semien,Start_Michael_Chavis,Start_Nomar_Mazara,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,Start_Willson_Contreras,128.34000000000003
05-14-21,APPGa_1-5,Start_Alex_Verdugo,Start_Anthony_Rendon,Start_Bo_Bichette,Start_Griffin_Canning,Start_J.T._Realmuto,Start_Jean_Segura,Start_Michael_Chavis,Start_Robbie_Grossman,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,106.88000000000001
05-14-21,APPG_1-5,Start_Alex_Verdugo,Start_Anthony_Rendon,Start_Bo_Bichette,Start_Griffin_Canning,Start_J.T._Realmuto,Start_Jean_Segura,Start_Michael_Chavis,Start_Robbie_Grossman,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,106.88000000000001
05-14-21,pj_vO_1-5,Start_Austin_Meadows,Start_Jake_Arrieta,Start_Javier_Baez,Start_Jean_Segura,Start_Jeimer_Candelario,Start_Michael_Chavis,Start_Nomar_Mazara,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,Start_Willson_Contreras,120.72
05-14-21,pj_vOa_1-5,Start_Austin_Meadows,Start_Jake_Arrieta,Start_Javier_Baez,Start_Jean_Segura,Start_Jeimer_Candelario,Start_Michael_Chavis,Start_Nomar_Mazara,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,Start_Willson_Contreras,120.72
05-14-21,pj_vOab_1-5,Start_Bo_Bichette,Start_Jake_Arrieta,Start_Jeimer_Candelario,Start_Marcus_Semien,Start_Michael_Chavis,Start_Nomar_Mazara,Start_Robbie_Grossman,Start_Teoscar_Hernandez,Start_Tyler_Glasnow,Start_Willson_Contreras,124.38000000000001
