Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,35,29.4,4.76,38,1476,1300,181,309,62,12,44,167,13,3,141,336,.238,.319,.405,.724,98,527,27,18,6,9,5,281
ATL,37,27.6,4.51,37,1368,1202,167,273,53,5,54,161,10,4,128,330,.227,.310,.414,.725,91,498,23,21,8,9,13,231
BAL,34,27.0,3.73,37,1356,1231,138,281,57,4,37,131,10,3,102,321,.228,.291,.371,.662,88,457,18,10,5,8,2,236
BOS,30,28.1,5.10,39,1468,1324,199,346,87,3,46,180,15,4,112,327,.261,.326,.436,.761,112,577,30,19,2,10,5,253
CHC,37,29.5,4.44,36,1344,1163,160,264,51,8,42,153,26,9,134,356,.227,.316,.393,.709,100,457,23,24,9,13,7,235
CHW,32,28.1,5.43,35,1333,1164,190,304,55,8,33,177,19,6,135,309,.261,.345,.407,.752,115,474,23,18,7,9,2,246
CIN,32,29.0,5.31,35,1352,1199,186,300,60,4,50,176,7,7,113,320,.250,.324,.432,.756,98,518,23,23,8,9,3,226
CLE,32,26.9,4.14,35,1270,1138,145,237,51,7,44,139,18,2,112,298,.208,.283,.381,.664,85,434,23,8,5,5,6,196
COL,32,28.2,4.71,38,1389,1249,179,307,57,9,39,170,21,5,114,314,.246,.310,.400,.710,87,499,18,7,9,10,8,233
DET,35,28.4,3.43,37,1314,1189,127,261,37,10,34,125,18,4,107,385,.220,.288,.353,.641,83,420,22,9,1,6,1,226
HOU,36,29.1,5.11,38,1446,1299,194,341,76,5,45,185,9,4,115,275,.263,.327,.433,.760,114,562,36,16,2,13,8,249
KCR,33,29.6,4.14,36,1329,1180,149,275,53,10,32,140,26,8,115,298,.233,.305,.376,.681,91,444,24,12,6,12,2,237
LAA,42,30.4,4.56,36,1346,1224,164,311,53,4,47,152,17,5,92,299,.254,.313,.419,.733,104,513,33,17,6,7,8,224
LAD,37,28.7,5.05,37,1485,1266,187,308,59,10,43,179,14,3,174,350,.243,.346,.408,.754,112,516,27,30,7,8,13,302
MIA,36,29.4,4.03,37,1369,1231,149,288,54,8,35,142,21,8,106,356,.234,.301,.376,.677,88,463,21,17,4,10,7,228
MIL,41,28.6,3.66,38,1426,1259,139,268,48,4,42,135,15,5,126,387,.213,.298,.357,.655,81,450,21,29,5,6,6,262
MIN,40,29.2,4.66,35,1334,1191,163,289,63,4,47,154,15,1,112,322,.243,.313,.421,.734,113,501,20,16,2,12,3,246
NYM,34,28.3,3.58,31,1134,987,111,235,38,3,22,105,9,5,118,251,.238,.330,.350,.679,94,345,19,19,6,4,5,242
NYY,35,29.4,3.86,37,1382,1202,143,264,44,0,48,133,7,2,162,330,.220,.317,.376,.693,99,452,35,11,2,5,3,251
OAK,34,29.9,4.05,39,1421,1251,158,275,54,6,47,148,22,6,136,349,.220,.307,.385,.693,101,482,24,25,2,7,1,248
PHI,36,28.9,4.13,38,1399,1246,157,293,51,4,41,148,20,3,117,382,.235,.306,.381,.687,92,475,29,15,8,12,7,243
PIT,39,28.3,3.41,37,1370,1222,126,273,61,5,25,119,15,3,122,317,.223,.301,.343,.644,79,419,18,17,3,6,0,269
SDP,38,27.7,4.05,38,1433,1259,154,293,45,5,36,145,41,10,144,311,.233,.315,.362,.677,96,456,34,12,5,11,7,271
SEA,37,27.4,3.92,38,1343,1198,149,241,54,2,44,144,16,6,120,354,.201,.280,.360,.639,86,431,17,13,3,7,0,207
SFG,37,30.9,4.35,37,1353,1182,161,267,52,6,48,153,17,4,146,349,.226,.315,.402,.717,103,475,36,11,7,6,9,235
STL,35,28.3,4.47,38,1389,1239,170,286,52,5,47,158,17,5,115,323,.231,.303,.395,.698,97,489,24,18,8,9,14,231
TBR,38,27.4,4.18,39,1471,1307,163,286,67,3,40,152,19,7,133,413,.219,.300,.366,.666,96,479,19,21,3,6,1,264
TEX,34,27.0,4.21,39,1455,1304,164,313,42,5,48,157,28,9,118,386,.240,.311,.390,.701,97,509,34,20,5,8,2,245
TOR,38,26.5,4.92,36,1347,1213,177,294,44,1,51,167,19,6,107,304,.242,.309,.406,.716,102,493,23,14,3,8,4,217
WSN,37,29.5,3.58,33,1209,1087,118,266,45,2,33,114,13,7,93,283,.245,.313,.381,.694,95,414,26,18,4,7,8,226
LgAvg,36,28.6,4.32,37,1370,1217,159,285,54,5,41,150,17,5,122,331,.234,.311,.390,.701,97,474,25,17,5,8,5,242
,1069,28.6,4.32,1104,41111,36506,4768,8548,1625,162,1244,4509,517,154,3669,9935,.234,.311,.390,.701,97,14229,750,508,151,252,160,7260
