Date,Lineup Type,1,2,3,4,5,6,7,8,9,10,Proj
05-15-21,APPGa,Start_Adolis_Garcia,Start_Dylan_Cease,Start_Guillermo_Heredia,Start_Jarred_Kelenic,Start_Marcus_Semien,Start_Nolan_Arenado,Start_Tim_Anderson,Start_Trevor_Bauer,Start_Vladimir_Guerrero_Jr.,Start_William_Contreras,124.88
05-15-21,APPG,Start_Adolis_Garcia,Start_Dylan_Cease,Start_Guillermo_Heredia,Start_Jarred_Kelenic,Start_Marcus_Semien,Start_Nolan_Arenado,Start_Tim_Anderson,Start_Trevor_Bauer,Start_Vladimir_Guerrero_Jr.,Start_William_Contreras,124.88
05-15-21,pj_vO,Start_Alec_Bohm,Start_Bryce_Harper,Start_Dylan_Cease,Start_J.T._Realmuto,Start_Jarred_Kelenic,Start_Jean_Segura,Start_Odubel_Herrera,Start_Rhys_Hoskins,Start_Tim_Anderson,Start_Trevor_Bauer,154.95000000000002
05-15-21,pj_vOa,Start_Alec_Bohm,Start_Bryce_Harper,Start_Dylan_Cease,Start_J.T._Realmuto,Start_Jarred_Kelenic,Start_Jean_Segura,Start_Odubel_Herrera,Start_Rhys_Hoskins,Start_Tim_Anderson,Start_Trevor_Bauer,154.95000000000002
05-15-21,APPGa_1-6,Start_Adolis_Garcia,Start_Dylan_Cease,Start_Jarred_Kelenic,Start_Mitch_Haniger,Start_Tim_Anderson,Start_Trevor_Bauer,Start_Whit_Merrifield,Start_Yadier_Molina,Start_Yoan_Moncada,Start_Yuli_Gurriel,124.09999999999998
05-15-21,APPG_1-6,Start_Adolis_Garcia,Start_Dylan_Cease,Start_Jarred_Kelenic,Start_Mitch_Haniger,Start_Tim_Anderson,Start_Trevor_Bauer,Start_Whit_Merrifield,Start_Yadier_Molina,Start_Yoan_Moncada,Start_Yuli_Gurriel,124.09999999999998
05-15-21,pj_vO_1-6,Start_Adolis_Garcia,Start_Bryce_Harper,Start_Dylan_Cease,Start_J.T._Realmuto,Start_Jarred_Kelenic,Start_Jean_Segura,Start_Josh_Fuentes,Start_Rhys_Hoskins,Start_Tim_Anderson,Start_Trevor_Bauer,149.3
05-15-21,pj_vOa_1-6,Start_Adolis_Garcia,Start_Bryce_Harper,Start_Dylan_Cease,Start_J.T._Realmuto,Start_Jarred_Kelenic,Start_Jean_Segura,Start_Josh_Fuentes,Start_Rhys_Hoskins,Start_Tim_Anderson,Start_Trevor_Bauer,149.3
05-15-21,APPGa_1-5,Start_Adolis_Garcia,Start_Dylan_Cease,Start_Jarred_Kelenic,Start_Mitch_Haniger,Start_Tim_Anderson,Start_Trevor_Bauer,Start_Whit_Merrifield,Start_Yadier_Molina,Start_Yoan_Moncada,Start_Yuli_Gurriel,124.09999999999998
05-15-21,APPG_1-5,Start_Adolis_Garcia,Start_Dylan_Cease,Start_Jarred_Kelenic,Start_Mitch_Haniger,Start_Tim_Anderson,Start_Trevor_Bauer,Start_Whit_Merrifield,Start_Yadier_Molina,Start_Yoan_Moncada,Start_Yuli_Gurriel,124.09999999999998
