,team,Name,b_o,pj_vO
0,CHC,Joc Pederson,1,6.01
1,CHC,Kris Bryant,2,8.99
2,CHC,Javier Baez,3,7.67
3,CHC,Anthony Rizzo,4,7.01
4,CHC,Matt Duffy,5,4.59
5,CHC,Ian Happ,6,4.6
6,CHC,Jason Heyward,7,5.09
7,CHC,Eric Sogard,8,3.04
8,CHC,Tony Wolters,9,2.13
9,DET,Robbie Grossman,1,10.66
10,DET,Jeimer Candelario,2,8.82
11,DET,Miguel Cabrera,3,6.27
12,DET,Nomar Mazara,4,6.99
13,DET,Jonathan Schoop,5,5.72
14,DET,Harold Castro,6,4.4
15,DET,Eric Haase,7,13.38
16,DET,Willi Castro,8,6.71
17,DET,Akil Baddoo,9,8.23
18,LAA,Taylor Ward,1,4.66
19,LAA,Shohei Ohtani,2,9.44
20,LAA,Mike Trout,3,9.7
21,LAA,Anthony Rendon,4,8.13
22,LAA,Jose Iglesias,5,6.26
23,LAA,Phil Gosselin,6,5.15
24,LAA,Justin Upton,7,5.77
25,LAA,Kurt Suzuki,8,4.15
26,LAA,David Fletcher,9,7.12
27,BOS,Marwin Gonzalez,1,5.89
28,BOS,Alex Verdugo,2,8.02
29,BOS,J.D. Martinez,3,11.01
30,BOS,Xander Bogaerts,4,9.65
31,BOS,Rafael Devers,5,9.55
32,BOS,Christian Vazquez,6,6.7
33,BOS,Hunter Renfroe,7,6.83
34,BOS,Bobby Dalbec,8,5.54
35,BOS,Franchy Cordero,9,2.95
36,OAK,Mark Canha,1,7.14
37,OAK,Seth Brown,2,3.93
38,OAK,Ramon Laureano,3,7.27
39,OAK,Matt Olson,4,6.49
40,OAK,Matt Chapman,5,5.33
41,OAK,Stephen Piscotty,6,4.04
42,OAK,Chad Pinder,7,3.65
43,OAK,Tony Kemp,8,3.36
44,OAK,Aramis Garcia,9,2.4
0,CHC,Trevor Williams,SP,13.95
1,DET,Jose Urena,SP,13.61
2,LAA,Dylan Bundy,SP,12.33
3,BOS,Martin Perez,SP,10.26
4,MIN,Jose Berrios,SP,18.38
