,team,Name,b_o,pj_vO
0,CHC,Joc Pederson,1,6.1
1,CHC,Kris Bryant,2,9.12
2,CHC,Javier Baez,3,7.81
3,CHC,Anthony Rizzo,4,7.07
4,CHC,Matt Duffy,5,4.65
5,CHC,Ian Happ,6,4.62
6,CHC,Jason Heyward,7,5.16
7,CHC,Eric Sogard,8,3.1
8,CHC,Tony Wolters,9,2.13
9,DET,Robbie Grossman,1,10.76
10,DET,Jeimer Candelario,2,8.96
11,DET,Miguel Cabrera,3,6.33
12,DET,Nomar Mazara,4,7.08
13,DET,Jonathan Schoop,5,5.82
14,DET,Harold Castro,6,4.48
15,DET,Eric Haase,7,13.73
16,DET,Willi Castro,8,6.83
17,DET,Akil Baddoo,9,8.36
18,LAA,Taylor Ward,1,5.02
19,LAA,Shohei Ohtani,2,10.18
20,LAA,Mike Trout,3,10.45
21,LAA,Anthony Rendon,4,8.85
22,LAA,Jose Iglesias,5,6.9
23,LAA,Phil Gosselin,6,5.67
24,LAA,Justin Upton,7,6.18
25,LAA,Kurt Suzuki,8,4.51
26,LAA,David Fletcher,9,7.88
27,BOS,Marwin Gonzalez,1,6.4
28,BOS,Alex Verdugo,2,8.67
29,BOS,J.D. Martinez,3,11.8
30,BOS,Xander Bogaerts,4,10.34
31,BOS,Rafael Devers,5,10.18
32,BOS,Christian Vazquez,6,7.29
33,BOS,Hunter Renfroe,7,7.36
34,BOS,Bobby Dalbec,8,5.93
35,BOS,Franchy Cordero,9,3.25
36,OAK,Mark Canha,1,7.18
37,OAK,Seth Brown,2,3.93
38,OAK,Ramon Laureano,3,7.29
39,OAK,Matt Olson,4,6.51
40,OAK,Matt Chapman,5,5.37
41,OAK,Stephen Piscotty,6,4.05
42,OAK,Chad Pinder,7,3.64
43,OAK,Tony Kemp,8,3.41
44,OAK,Aramis Garcia,9,2.41
45,MIN,Kyle Garlick,1,4.84
46,MIN,Josh Donaldson,2,7.55
47,MIN,Nelson Cruz,3,8.33
48,MIN,Mitch Garver,4,5.65
49,MIN,Jorge Polanco,5,7.03
50,MIN,Miguel Sano,7,4.41
51,MIN,Max Kepler,8,7.56
52,MIN,Andrelton Simmons,9,5.46
0,CHC,Trevor Williams,SP,13.79
1,DET,Jose Urena,SP,13.48
2,LAA,Dylan Bundy,SP,10.95
3,BOS,Martin Perez,SP,9.31
4,MIN,Jose Berrios,SP,18.26
