,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5
0,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adam Wainwright,Adam Wainwright,Dylan Carlson,Dylan Carlson,Adam Wainwright,Adam Wainwright,Adam Wainwright,Dylan Carlson,Jesse Winker,Connor Joe,Adam Wainwright,Adam Wainwright,Connor Joe,Connor Joe,Connor Joe,Adam Wainwright,-5.6,Adam Wainwright,-5.6,Dylan Carlson,4.0,Dylan Carlson,4.0,Adam Wainwright,-5.6,Adam Wainwright,-5.6,Adam Wainwright,-5.6,Dylan Carlson,4.0,Jesse Winker,2.0,Connor Joe,3.0,Adam Wainwright,-5.6,Adam Wainwright,-5.6,Connor Joe,3.0,Connor Joe,3.0,Connor Joe,3.0
2,Connor Joe,Connor Joe,Jesse Winker,Jesse Winker,Connor Joe,Connor Joe,Connor Joe,Jesse Winker,Joe Ross,Jesse Winker,Connor Joe,Connor Joe,Dylan Carlson,Dylan Carlson,Jesse Winker,Connor Joe,3.0,Connor Joe,3.0,Jesse Winker,2.0,Jesse Winker,2.0,Connor Joe,3.0,Connor Joe,3.0,Connor Joe,3.0,Jesse Winker,2.0,Joe Ross,-4.199999999999999,Jesse Winker,2.0,Connor Joe,3.0,Connor Joe,3.0,Dylan Carlson,4.0,Dylan Carlson,4.0,Jesse Winker,2.0
3,Harrison Bader,Harrison Bader,Joe Ross,Joe Ross,Jesse Winker,Dylan Carlson,Dylan Carlson,Joe Ross,Josh Fuentes,Joe Ross,Dylan Carlson,Dylan Carlson,Jesse Winker,Jesse Winker,Joe Ross,Harrison Bader,17.0,Harrison Bader,17.0,Joe Ross,-4.199999999999999,Joe Ross,-4.199999999999999,Jesse Winker,2.0,Dylan Carlson,4.0,Dylan Carlson,4.0,Joe Ross,-4.199999999999999,Josh Fuentes,9.0,Joe Ross,-4.199999999999999,Dylan Carlson,4.0,Dylan Carlson,4.0,Jesse Winker,2.0,Jesse Winker,2.0,Joe Ross,-4.199999999999999
4,Jesse Winker,Jesse Winker,Jonathan India,Jonathan India,Jonathan India,Jesse Winker,Jesse Winker,Nolan Arenado,Nick Castellanos,Josh Fuentes,Jesse Winker,Nolan Arenado,Joe Ross,Joe Ross,Josh Fuentes,Jesse Winker,2.0,Jesse Winker,2.0,Jonathan India,12.0,Jonathan India,12.0,Jonathan India,12.0,Jesse Winker,2.0,Jesse Winker,2.0,Nolan Arenado,14.0,Nick Castellanos,30.0,Josh Fuentes,9.0,Jesse Winker,2.0,Nolan Arenado,14.0,Joe Ross,-4.199999999999999,Joe Ross,-4.199999999999999,Josh Fuentes,9.0
5,Nolan Arenado,Nolan Arenado,Nick Ahmed,Nick Ahmed,Josh Fuentes,Nolan Arenado,Nolan Arenado,Paul Goldschmidt,Paul Goldschmidt,Josh VanMeter,Starlin Castro,Raimel Tapia,Nolan Arenado,Nolan Arenado,Josh VanMeter,Nolan Arenado,14.0,Nolan Arenado,14.0,Nick Ahmed,2.0,Nick Ahmed,2.0,Josh Fuentes,9.0,Nolan Arenado,14.0,Nolan Arenado,14.0,Paul Goldschmidt,3.0,Paul Goldschmidt,3.0,Josh VanMeter,5.0,Starlin Castro,2.0,Raimel Tapia,13.0,Nolan Arenado,14.0,Nolan Arenado,14.0,Josh VanMeter,5.0
6,Tommy Edman,Tommy Edman,Nick Castellanos,Nick Castellanos,Nick Ahmed,Tommy Edman,Tommy Edman,Tommy Edman,Tommy Edman,Nick Castellanos,Tommy Edman,Tommy Edman,Tommy Edman,Tommy Edman,Nick Castellanos,Tommy Edman,0.0,Tommy Edman,0.0,Nick Castellanos,30.0,Nick Castellanos,30.0,Nick Ahmed,2.0,Tommy Edman,0.0,Tommy Edman,0.0,Tommy Edman,0.0,Tommy Edman,0.0,Nick Castellanos,30.0,Tommy Edman,0.0,Tommy Edman,0.0,Tommy Edman,0.0,Tommy Edman,0.0,Nick Castellanos,30.0
7,Trea Turner,Trevor Story,Nolan Arenado,Nolan Arenado,Nick Castellanos,Trea Turner,Trevor Story,Trevor Story,Trea Turner,Trea Turner,Trea Turner,Trent Grisham,Trevor Story,Trea Turner,Trea Turner,Trea Turner,16.0,Trevor Story,0.0,Nolan Arenado,14.0,Nolan Arenado,14.0,Nick Castellanos,30.0,Trea Turner,16.0,Trevor Story,0.0,Trevor Story,0.0,Trea Turner,16.0,Trea Turner,16.0,Trea Turner,16.0,Trent Grisham,11.0,Trevor Story,0.0,Trea Turner,16.0,Trea Turner,16.0
8,Tyler Mahle,Tyler Mahle,Paul Goldschmidt,Paul Goldschmidt,Tyler Mahle,Tyler Mahle,Tyler Mahle,Tyler Mahle,Tyler Mahle,Tucker Barnhart,Trent Grisham,Trevor Story,Tyler Mahle,Tyler Mahle,Tucker Barnhart,Tyler Mahle,15.55,Tyler Mahle,15.55,Paul Goldschmidt,3.0,Paul Goldschmidt,3.0,Tyler Mahle,15.55,Tyler Mahle,15.55,Tyler Mahle,15.55,Tyler Mahle,15.55,Tyler Mahle,15.55,Tucker Barnhart,3.0,Trent Grisham,11.0,Trevor Story,0.0,Tyler Mahle,15.55,Tyler Mahle,15.55,Tucker Barnhart,3.0
9,Tyler O'Neill,Tyler O'Neill,Tyler Mahle,Tyler Mahle,Tyler Naquin,Tyler O'Neill,Tyler O'Neill,Tyler O'Neill,Tyler O'Neill,Tyler Mahle,Tyler Mahle,Tyler Mahle,Tyler Naquin,Tyler Naquin,Tyler Mahle,Tyler O'Neill,5.0,Tyler O'Neill,5.0,Tyler Mahle,15.55,Tyler Mahle,15.55,Tyler Naquin,8.0,Tyler O'Neill,5.0,Tyler O'Neill,5.0,Tyler O'Neill,5.0,Tyler O'Neill,5.0,Tyler Mahle,15.55,Tyler Mahle,15.55,Tyler Mahle,15.55,Tyler Naquin,8.0,Tyler Naquin,8.0,Tyler Mahle,15.55
10,Yadier Molina,Yadier Molina,Yadier Molina,Yadier Molina,Yadier Molina,Yadier Molina,Yadier Molina,Yadier Molina,Yadier Molina,Tyler Naquin,Yadier Molina,Yadier Molina,Yadier Molina,Yadier Molina,Tyler Naquin,Yadier Molina,14.0,Yadier Molina,14.0,Yadier Molina,14.0,Yadier Molina,14.0,Yadier Molina,14.0,Yadier Molina,14.0,Yadier Molina,14.0,Yadier Molina,14.0,Yadier Molina,14.0,Tyler Naquin,8.0,Yadier Molina,14.0,Yadier Molina,14.0,Yadier Molina,14.0,Yadier Molina,14.0,Tyler Naquin,8.0
11,102.94,102.03,112.17,112.17,122.83,102.45,101.54,108.83,111.62,118.17000000000002,100.86,99.31,108.67,110.72,118.17000000000002,,80.95,,64.95,,92.35,,92.35,,89.95,,67.95,,51.95,,53.35,,90.35,,87.35,,61.95,,68.95,,56.35,,72.35,,87.35
