Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Shane Bieber (17573464),Shane Bieber,17573464,P,11200,CLE@SEA 05/15/2021 09:10PM ET,CLE,29.19
SP,Trevor Bauer (17573362),Trevor Bauer,17573362,P,11000,MIA@LAD 05/15/2021 09:10PM ET,LAD,25.92
SP,Clayton Kershaw (17573310),Clayton Kershaw,17573310,P,10200,MIA@LAD 05/15/2021 09:10PM ET,LAD,16.8
SP,Walker Buehler (17573391),Walker Buehler,17573391,P,9900,MIA@LAD 05/15/2021 09:10PM ET,LAD,19.88
SP,Julio Urias (17573401),Julio Urias,17573401,P,9700,MIA@LAD 05/15/2021 09:10PM ET,LAD,21.44
SP,Dustin May (17573493),Dustin May,17573493,P,9500,MIA@LAD 05/15/2021 09:10PM ET,LAD,19.59
RP,Trevor Rogers (17573519),Trevor Rogers,17573519,P,9500,MIA@LAD 05/15/2021 09:10PM ET,MIA,23.2
SP,Aaron Civale (17573467),Aaron Civale,17573467,P,9300,CLE@SEA 05/15/2021 09:10PM ET,CLE,17.81
SP,Sandy Alcantara (17573434),Sandy Alcantara,17573434,P,9000,MIA@LAD 05/15/2021 09:10PM ET,MIA,15.28
SP,Sixto Sanchez (17573463),Sixto Sanchez,17573463,P,9000,MIA@LAD 05/15/2021 09:10PM ET,MIA,0
SP,Tony Gonsolin (17573497),Tony Gonsolin,17573497,P,8700,MIA@LAD 05/15/2021 09:10PM ET,LAD,0
RP,Zach Plesac (17573465),Zach Plesac,17573465,P,8500,CLE@SEA 05/15/2021 09:10PM ET,CLE,14.98
SP,Yusei Kikuchi (17573346),Yusei Kikuchi,17573346,P,8300,CLE@SEA 05/15/2021 09:10PM ET,SEA,17.37
RP,Sam Hentges (17573440),Sam Hentges,17573440,P,8300,CLE@SEA 05/15/2021 09:10PM ET,CLE,7.67
SP,Pablo Lopez (17573402),Pablo Lopez,17573402,P,8200,MIA@LAD 05/15/2021 09:10PM ET,MIA,13.56
SP,Triston McKenzie (17573469),Triston McKenzie,17573469,P,7300,CLE@SEA 05/15/2021 09:10PM ET,CLE,12.74
SP,David Price (17573314),David Price,17573314,P,7000,MIA@LAD 05/15/2021 09:10PM ET,LAD,3.56
RP,Elieser Hernandez (17573390),Elieser Hernandez,17573390,P,7000,MIA@LAD 05/15/2021 09:10PM ET,MIA,6.05
