"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Xander Bogaerts","BOS","1","2","3","2","0","1","0","1","2","3","1","0","0","0","0","0","0","0","0","1.000","12161"
"Jose Ramirez","CLE","1","3","4","3","0","3","0","0","1","0","1","0","0","0","0","0","0","0","0","1.000","13510"
"Patrick Kivlehan","SDP","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1.000","13910"
"Pablo Reyes","MIL","1","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1.000","16357"
"Rhys Hoskins","PHI","1","2","4","2","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1.000","16472"
"LaMonte Wade Jr.","SFG","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","18126"
"Ka'ai Tom","PIT","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","18136"
"Ramon Urias","BAL","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","18795"
"Nick Senzel","CIN","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","19293"
"DJ Peters","LAD","1","1","1","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1.000","19348"
"Andy Young","ARI","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","19521"
"Tucupita Marcano","SDP","1","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","22871"
"Joey Wendle","TBR","1","5","5","4","1","3","0","0","2","2","0","0","1","0","0","0","0","1","0",".800","13853"
"Max Muncy","LAD","1","4","4","3","3","0","0","0","1","1","0","0","1","0","0","0","0","0","0",".750","13301"
"Joey Gallo","TEX","1","4","4","3","2","0","0","1","1","3","0","0","1","0","0","0","0","0","0",".750","14128"
"Tyler Wade","NYY","1","4","4","3","3","0","0","0","1","0","0","0","1","0","0","0","0","0","1",".750","15730"
"Yandy Diaz","TBR","1","4","5","3","1","2","0","0","3","2","1","0","0","0","0","0","0","0","0",".750","16578"
"Jake Cronenworth","SDP","1","4","5","3","3","0","0","0","3","0","1","0","0","0","0","0","0","0","0",".750","18036"
"Bryan Reynolds","PIT","1","4","5","3","2","1","0","0","2","0","0","0","1","1","0","0","0","0","0",".750","19326"
"Carlos Santana","KCR","1","3","5","2","1","0","0","1","2","1","2","0","0","0","0","0","0","1","0",".667","2396"
"Nelson Cruz","MIN","1","3","4","2","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0",".667","2434"
"Wilmer Flores","SFG","1","3","4","2","2","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".667","5827"
"Josh Harrison","WSN","1","3","5","2","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0",".667","8202"
"Carlos Correa","HOU","1","3","4","2","0","1","0","1","2","2","1","0","1","0","0","0","0","0","0",".667","14162"
"Dominic Smith","NYM","1","3","4","2","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".667","15653"
"Jonah Heim","TEX","1","3","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".667","16930"
"Rafael Devers","BOS","1","3","4","2","1","0","0","1","2","1","1","0","0","0","0","0","0","0","0",".667","17350"
"Nick Solak","TEX","1","3","5","2","1","0","1","0","2","0","2","0","0","0","0","0","0","0","0",".667","19294"
"Daulton Varsho","ARI","1","3","4","2","2","0","0","0","0","1","1","0","1","0","0","0","0","0","0",".667","19918"
"William Contreras","ATL","1","3","4","2","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0",".667","20503"
"Akil Baddoo","DET","1","3","5","2","2","0","0","0","1","0","2","0","0","0","0","0","0","1","0",".667","22168"
"Eduardo Escobar","ARI","1","5","5","3","1","0","0","2","3","7","0","0","1","0","0","0","0","0","0",".600","6153"
"Jonathan Schoop","DET","1","5","6","3","2","1","0","0","0","2","1","0","2","0","0","0","0","0","0",".600","11265"
"Nick Castellanos","CIN","1","5","6","3","1","1","0","1","2","3","1","0","0","0","0","0","0","0","0",".600","11737"
"Jacob Stallings","PIT","1","5","5","3","1","1","0","1","1","4","0","0","0","0","0","0","1","0","0",".600","13723"
"Matt Duffy","CHC","1","5","5","3","1","1","0","1","1","5","0","0","1","0","0","0","0","0","0",".600","13836"
"Kyle Farmer","CIN","1","5","5","3","2","0","0","1","1","2","0","0","0","0","0","0","1","0","0",".600","14813"
"Austin Nola","SDP","1","5","5","3","1","1","0","1","1","6","0","0","0","0","0","0","0","0","0",".600","15941"
"Ozzie Albies","ATL","1","5","5","3","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0",".600","16556"
"Trent Grisham","SDP","1","5","5","3","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".600","18564"
"Randy Arozarena","TBR","1","5","5","3","3","0","0","0","1","1","0","0","1","0","0","0","0","0","0",".600","19290"
"Tommy Pham","SDP","1","2","3","1","0","0","0","1","2","2","1","0","0","0","0","0","0","0","0",".500","2967"
"Josh Donaldson","MIN","1","2","4","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0",".500","5038"
"Robbie Grossman","DET","1","4","6","2","1","1","0","0","2","0","2","0","0","0","0","0","0","0","0",".500","5254"
"Brandon Crawford","SFG","1","4","5","2","1","0","0","1","1","2","1","0","0","0","0","0","0","0","0",".500","5343"
"Freddie Freeman","ATL","1","4","5","2","1","0","0","1","2","2","1","0","1","0","0","0","0","0","0",".500","5361"
"Jose Altuve","HOU","1","2","5","1","1","0","0","0","1","0","3","0","0","0","0","0","0","0","0",".500","5417"
"J.D. Martinez","BOS","1","4","4","2","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".500","6184"
"Kyle Seager","SEA","1","2","4","1","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0",".500","9785"
"Darin Ruf","SFG","1","4","5","2","0","1","0","1","2","1","1","0","2","0","0","0","0","0","0",".500","9929"
"Marcell Ozuna","ATL","1","4","5","2","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".500","10324"
