"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Tommy Hunter","NYM","0","0","0.00","3","1","0","0","0","0","0","6.0","26","4","0","0","0","2","0","1","1","0","2","1157"
"Oliver Perez","CLE","0","1","0.00","5","0","0","0","0","0","0","3.2","18","5","1","0","0","1","1","0","0","0","4","1514"
"Anthony Rizzo","CHC","0","0","0.00","1","0","0","0","0","0","0","0.2","3","0","0","0","0","1","0","0","0","0","1","3473"
"Pedro Strop","CHC","1","0","0.00","2","0","0","0","0","0","0","2.0","10","2","0","0","0","2","0","0","0","0","3","4070"
"Asdrubal Cabrera","ARI","0","0","0.00","2","0","0","0","0","0","0","1.1","4","1","0","0","0","0","0","0","0","0","0","4962"
"Hernan Perez","WSN","0","0","0.00","2","0","0","0","0","0","0","2.0","7","1","0","0","0","0","0","0","0","0","2","5751"
"Eric Sogard","CHC","0","0","0.00","1","0","0","0","0","0","0","1.0","6","2","0","0","0","0","0","1","0","0","0","7927"
"Matt Carpenter","STL","0","0","0.00","1","0","0","0","0","0","0","1.1","6","2","0","0","0","0","0","1","0","0","0","8090"
"Aroldis Chapman","NYY","2","0","0.00","15","0","0","0","9","0","0","15.0","54","4","1","0","0","5","1","0","0","0","31","10233"
"Chasen Shreve","PIT","0","0","0.00","3","0","0","0","0","0","0","2.1","10","2","0","0","0","2","0","0","0","0","2","10855"
"A.J. Cole","TOR","0","0","0.00","3","0","0","0","1","1","0","4.2","17","2","0","0","0","1","0","0","0","0","4","11467"
"Heath Hembree","CIN","0","0","0.00","9","0","0","0","1","1","0","9.2","32","1","1","0","0","2","0","0","0","0","11","11632"
"Hanser Alberto","KCR","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","11902"
"Domingo Tapia","SEA","0","0","0.00","2","0","0","0","0","0","0","2.0","11","4","0","0","0","1","0","0","0","0","1","12178"
"Phillip Evans","PIT","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","12950"
"Matt Duffy","CHC","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","13836"
"Daniel Robertson","MIL","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","14145"
"Wyatt Mathisen","ARI","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","14555"
"James Hoyt","LAA","0","0","0.00","2","0","0","0","0","0","0","1.2","9","1","0","0","0","3","0","0","0","0","2","14605"
"Harold Castro","DET","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","14691"
"Joe Mantiply","ARI","0","0","0.00","1","0","0","0","0","0","0","1.0","5","2","0","0","0","0","0","0","0","0","1","14857"
"Pat Valaika","BAL","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","0","0","0","0","0","0","14885"
"Luke Farrell","MIN","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","2","0","0","0","0","1","15101"
"Kendall Graveman","SEA","1","0","0.00","13","0","0","0","4","4","0","15.2","54","5","0","0","0","3","0","1","1","0","16","15514"
"Willians Astudillo","MIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","15608"
"Zack Littell","SFG","0","0","0.00","8","0","0","0","0","2","0","6.2","26","4","0","0","0","3","0","1","0","0","4","15823"
"Alex Blandino","CIN","0","0","0.00","2","0","0","0","0","0","0","1.1","4","0","0","0","0","1","0","0","0","0","0","16271"
"Brad Wieck","CHC","0","0","0.00","2","0","0","0","0","0","0","2.0","8","1","0","0","0","1","0","0","0","0","3","16390"
