"Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG"
"HOU","546","1332","1488","351","224","76","5","46","204","193","123","8","278","16","14","2","37","9","4",".264"
"BOS","554","1355","1501","355","217","87","3","48","203","184","114","5","336","19","10","2","31","16","5",".262"
"CHW","512","1211","1391","315","214","59","8","34","195","182","144","2","329","18","11","7","25","19","6",".260"
"WSN","493","1138","1268","288","198","51","3","36","135","131","98","8","288","20","7","5","26","13","7",".253"
"LAA","532","1257","1379","317","210","55","4","48","167","155","92","8","311","17","7","6","33","17","5",".252"
"CIN","556","1232","1390","310","192","62","4","52","192","182","117","3","328","24","9","8","26","7","8",".252"
"COL","562","1285","1432","322","212","60","10","40","188","178","120","8","328","7","10","10","20","22","6",".251"
"LAD","565","1302","1524","320","204","62","10","44","196","187","177","13","356","30","8","7","27","15","3",".246"
"MIN","522","1224","1369","295","179","64","4","48","164","155","114","3","327","16","12","2","21","15","1",".241"
"TEX","547","1337","1490","322","223","45","5","49","168","161","119","2","391","20","9","5","36","28","9",".241"
"TOR","550","1243","1383","298","201","44","1","52","178","168","112","4","315","15","8","3","23","21","6",".240"
"PHI","562","1281","1441","303","203","55","4","41","162","153","125","7","395","15","12","7","31","20","3",".237"
"ARI","587","1332","1509","315","195","64","12","44","183","169","142","5","345","18","9","6","28","13","3",".236"
"NYM","454","1021","1169","241","176","39","3","23","113","107","119","5","262","19","4","6","19","9","5",".236"
"MIA","580","1265","1407","296","196","56","8","36","155","148","108","7","370","19","10","5","21","21","8",".234"
"KCR","560","1234","1388","287","188","54","10","35","156","147","120","2","313","12","12","6","24","27","8",".233"
"STL","574","1273","1430","296","188","54","5","49","174","162","119","15","333","20","10","8","26","17","5",".233"
"SDP","600","1283","1474","297","210","46","5","36","159","150","156","7","315","15","13","5","35","41","11",".231"
"BAL","553","1264","1391","290","188","60","4","38","142","135","104","2","328","10","8","5","19","11","4",".229"
"CHC","577","1196","1381","273","169","53","8","43","164","157","137","7","364","25","13","9","25","26","9",".228"
"ATL","567","1236","1409","281","166","53","6","56","173","167","134","13","339","21","9","9","23","10","4",".227"
"SFG","596","1218","1391","271","164","52","6","49","163","155","148","9","361","11","6","7","37","17","4",".222"
"PIT","552","1260","1411","280","186","63","6","25","129","122","124","2","334","17","7","3","18","15","3",".222"
"OAK","573","1285","1459","282","170","55","6","51","164","154","140","1","358","25","7","2","24","22","6",".219"
"NYY","540","1235","1417","271","176","44","0","51","148","138","164","3","339","11","5","2","36","7","2",".219"
"TBR","580","1339","1507","293","179","70","3","41","166","155","137","1","424","21","6","3","19","19","8",".219"
"DET","527","1217","1343","265","182","37","10","36","129","127","108","1","390","9","6","1","25","18","4",".218"
"MIL","587","1293","1464","276","179","49","4","44","142","138","128","6","393","30","6","6","22","15","6",".213"
"CLE","516","1173","1307","245","140","53","7","45","148","142","113","6","300","9","5","5","25","18","2",".209"
"SEA","549","1230","1378","251","143","59","2","47","156","151","122","0","362","13","8","3","18","17","6",".204"
