,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5
0,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alex Avila,Alex Avila,Alex Avila,Alex Avila,Alex Avila,Alex Avila,Alex Avila,Alex Avila,Alex Avila,Alex Avila,Eddie Rosario,Eddie Rosario,David Peralta,David Peralta,David Peralta,Alex Avila,0.0,Alex Avila,0.0,Alex Avila,0.0,Alex Avila,0.0,Alex Avila,0.0,Alex Avila,0.0,Alex Avila,0.0,Alex Avila,0.0,Alex Avila,0.0,Alex Avila,0.0,Eddie Rosario,4.0,Eddie Rosario,4.0,David Peralta,0.0,David Peralta,0.0,David Peralta,0.0
2,Franmil Reyes,Franmil Reyes,David Peralta,David Peralta,David Peralta,Franmil Reyes,Franmil Reyes,David Peralta,David Peralta,David Peralta,Isan Diaz,Isan Diaz,Isan Diaz,Isan Diaz,Isan Diaz,Franmil Reyes,5.0,Franmil Reyes,5.0,David Peralta,0.0,David Peralta,0.0,David Peralta,0.0,Franmil Reyes,5.0,Franmil Reyes,5.0,David Peralta,0.0,David Peralta,0.0,David Peralta,0.0,Isan Diaz,0.0,Isan Diaz,0.0,Isan Diaz,0.0,Isan Diaz,0.0,Isan Diaz,0.0
3,Isan Diaz,Isan Diaz,Gavin Lux,Gavin Lux,Gavin Lux,Isan Diaz,Isan Diaz,Gavin Lux,Gavin Lux,Gavin Lux,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Isan Diaz,0.0,Isan Diaz,0.0,Gavin Lux,5.0,Gavin Lux,5.0,Gavin Lux,5.0,Isan Diaz,0.0,Isan Diaz,0.0,Gavin Lux,5.0,Gavin Lux,5.0,Gavin Lux,5.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0
4,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Kyle Seager,Kyle Seager,Kyle Seager,Kyle Seager,Mitch Haniger,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Schwarber,13.0,Kyle Seager,4.0,Kyle Seager,4.0,Kyle Seager,4.0,Kyle Seager,4.0,Mitch Haniger,18.0
5,Kyle Seager,Kyle Seager,Kyle Seager,Kyle Seager,Mitch Haniger,Kyle Seager,Kyle Seager,Kyle Seager,Kyle Seager,Mitch Haniger,Max Muncy,Max Muncy,Mitch Haniger,Mitch Haniger,Pablo Lopez,Kyle Seager,4.0,Kyle Seager,4.0,Kyle Seager,4.0,Kyle Seager,4.0,Mitch Haniger,18.0,Kyle Seager,4.0,Kyle Seager,4.0,Kyle Seager,4.0,Kyle Seager,4.0,Mitch Haniger,18.0,Max Muncy,3.0,Max Muncy,3.0,Mitch Haniger,18.0,Mitch Haniger,18.0,Pablo Lopez,12.450000000000001
6,Max Muncy,Max Muncy,Mitch Haniger,Mitch Haniger,Pablo Lopez,Max Muncy,Max Muncy,Mitch Haniger,Mitch Haniger,Pablo Lopez,Mitch Haniger,Mitch Haniger,Pablo Lopez,Pablo Lopez,Ryan Zimmerman,Max Muncy,3.0,Max Muncy,3.0,Mitch Haniger,18.0,Mitch Haniger,18.0,Pablo Lopez,12.450000000000001,Max Muncy,3.0,Max Muncy,3.0,Mitch Haniger,18.0,Mitch Haniger,18.0,Pablo Lopez,12.450000000000001,Mitch Haniger,18.0,Mitch Haniger,18.0,Pablo Lopez,12.450000000000001,Pablo Lopez,12.450000000000001,Ryan Zimmerman,2.0
7,Mitch Haniger,Mitch Haniger,Pablo Lopez,Pablo Lopez,Ryan Zimmerman,Mitch Haniger,Mitch Haniger,Pablo Lopez,Pablo Lopez,Ryan Zimmerman,Pablo Lopez,Pablo Lopez,Ryan Zimmerman,Ryan Zimmerman,Shane Bieber,Mitch Haniger,18.0,Mitch Haniger,18.0,Pablo Lopez,12.450000000000001,Pablo Lopez,12.450000000000001,Ryan Zimmerman,2.0,Mitch Haniger,18.0,Mitch Haniger,18.0,Pablo Lopez,12.450000000000001,Pablo Lopez,12.450000000000001,Ryan Zimmerman,2.0,Pablo Lopez,12.450000000000001,Pablo Lopez,12.450000000000001,Ryan Zimmerman,2.0,Ryan Zimmerman,2.0,Shane Bieber,12.050000000000002
8,Pablo Lopez,Pablo Lopez,Ryan Zimmerman,Ryan Zimmerman,Shane Bieber,Pablo Lopez,Pablo Lopez,Ryan Zimmerman,Ryan Zimmerman,Shane Bieber,Shane Bieber,Shane Bieber,Shane Bieber,Shane Bieber,Starlin Castro,Pablo Lopez,12.450000000000001,Pablo Lopez,12.450000000000001,Ryan Zimmerman,2.0,Ryan Zimmerman,2.0,Shane Bieber,12.050000000000002,Pablo Lopez,12.450000000000001,Pablo Lopez,12.450000000000001,Ryan Zimmerman,2.0,Ryan Zimmerman,2.0,Shane Bieber,12.050000000000002,Shane Bieber,12.050000000000002,Shane Bieber,12.050000000000002,Shane Bieber,12.050000000000002,Shane Bieber,12.050000000000002,Starlin Castro,0.0
9,Shane Bieber,Shane Bieber,Shane Bieber,Shane Bieber,Starlin Castro,Shane Bieber,Shane Bieber,Shane Bieber,Shane Bieber,Starlin Castro,Stephen Vogt,Stephen Vogt,Stephen Vogt,Stephen Vogt,Stephen Vogt,Shane Bieber,12.050000000000002,Shane Bieber,12.050000000000002,Shane Bieber,12.050000000000002,Shane Bieber,12.050000000000002,Starlin Castro,0.0,Shane Bieber,12.050000000000002,Shane Bieber,12.050000000000002,Shane Bieber,12.050000000000002,Shane Bieber,12.050000000000002,Starlin Castro,0.0,Stephen Vogt,7.0,Stephen Vogt,7.0,Stephen Vogt,7.0,Stephen Vogt,7.0,Stephen Vogt,7.0
