,APPGa,APPG,pj_vO,pj_vOa,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3
0,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,05-16-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Dylan Cease,Dylan Cease,Adolis Garcia,Adolis Garcia,Chris Bassitt,Chris Bassitt,Adolis Garcia,Adolis Garcia,Dylan Cease,Dylan Cease,Carlos Santana,Carlos Santana,Dylan Cease,Dylan Cease,Adam Eaton,Adam Eaton,Carlos Santana,Carlos Santana,Adolis Garcia,2.0,Adolis Garcia,2.0,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Adolis Garcia,2.0,Adolis Garcia,2.0,Chris Bassitt,5.25,Chris Bassitt,5.25,Adolis Garcia,2.0,Adolis Garcia,2.0,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Carlos Santana,6.0,Carlos Santana,6.0,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Adam Eaton,20.0,Adam Eaton,20.0,Carlos Santana,6.0,Carlos Santana,6.0
2,Carlos Santana,Carlos Santana,Huascar Ynoa,Huascar Ynoa,Dylan Cease,Dylan Cease,Dylan Cease,Dylan Cease,Dylan Cease,Dylan Cease,Huascar Ynoa,Huascar Ynoa,Dylan Cease,Dylan Cease,Freddy Peralta,Freddy Peralta,Carlos Santana,Carlos Santana,Dylan Cease,Dylan Cease,Carlos Santana,6.0,Carlos Santana,6.0,Huascar Ynoa,4.625000000000002,Huascar Ynoa,4.625000000000002,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Huascar Ynoa,4.625000000000002,Huascar Ynoa,4.625000000000002,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Freddy Peralta,31.699999999999996,Freddy Peralta,31.699999999999996,Carlos Santana,6.0,Carlos Santana,6.0,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001
3,Dylan Cease,Dylan Cease,Jed Lowrie,Jed Lowrie,Freddy Peralta,Freddy Peralta,Jed Lowrie,Jed Lowrie,Freddy Peralta,Freddy Peralta,Kolten Wong,Kolten Wong,Freddy Peralta,Freddy Peralta,Mark Canha,Mark Canha,Dylan Cease,Dylan Cease,Huascar Ynoa,Huascar Ynoa,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Jed Lowrie,0.0,Jed Lowrie,0.0,Freddy Peralta,31.699999999999996,Freddy Peralta,31.699999999999996,Jed Lowrie,0.0,Jed Lowrie,0.0,Freddy Peralta,31.699999999999996,Freddy Peralta,31.699999999999996,Kolten Wong,15.0,Kolten Wong,15.0,Freddy Peralta,31.699999999999996,Freddy Peralta,31.699999999999996,Mark Canha,8.0,Mark Canha,8.0,Dylan Cease,14.100000000000001,Dylan Cease,14.100000000000001,Huascar Ynoa,4.625000000000002,Huascar Ynoa,4.625000000000002
4,Freddy Peralta,Freddy Peralta,Mark Canha,Mark Canha,Kyle Tucker,Kyle Tucker,Mark Canha,Mark Canha,Joey Gallo,Joey Gallo,Mark Canha,Mark Canha,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Matt Olson,Matt Olson,Freddy Peralta,Freddy Peralta,Mark Canha,Mark Canha,Freddy Peralta,31.699999999999996,Freddy Peralta,31.699999999999996,Mark Canha,8.0,Mark Canha,8.0,Kyle Tucker,4.0,Kyle Tucker,4.0,Mark Canha,8.0,Mark Canha,8.0,Joey Gallo,3.0,Joey Gallo,3.0,Mark Canha,8.0,Mark Canha,8.0,Isiah Kiner-Falefa,3.0,Isiah Kiner-Falefa,3.0,Matt Olson,12.0,Matt Olson,12.0,Freddy Peralta,31.699999999999996,Freddy Peralta,31.699999999999996,Mark Canha,8.0,Mark Canha,8.0
5,Kyle Tucker,Kyle Tucker,Matt Olson,Matt Olson,Mark Canha,Mark Canha,Matt Olson,Matt Olson,Mark Canha,Mark Canha,Matt Olson,Matt Olson,Joey Gallo,Joey Gallo,Nick Solak,Nick Solak,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Nick Solak,Nick Solak,Kyle Tucker,4.0,Kyle Tucker,4.0,Matt Olson,12.0,Matt Olson,12.0,Mark Canha,8.0,Mark Canha,8.0,Matt Olson,12.0,Matt Olson,12.0,Mark Canha,8.0,Mark Canha,8.0,Matt Olson,12.0,Matt Olson,12.0,Joey Gallo,3.0,Joey Gallo,3.0,Nick Solak,5.0,Nick Solak,5.0,Isiah Kiner-Falefa,3.0,Isiah Kiner-Falefa,3.0,Nick Solak,5.0,Nick Solak,5.0
6,Mark Canha,Mark Canha,Ramon Laureano,Ramon Laureano,Matt Olson,Matt Olson,Ramon Laureano,Ramon Laureano,Matt Olson,Matt Olson,Ramon Laureano,Ramon Laureano,Lorenzo Cain,Lorenzo Cain,Omar Narvaez,Omar Narvaez,Mark Canha,Mark Canha,Omar Narvaez,Omar Narvaez,Mark Canha,8.0,Mark Canha,8.0,Ramon Laureano,7.0,Ramon Laureano,7.0,Matt Olson,12.0,Matt Olson,12.0,Ramon Laureano,7.0,Ramon Laureano,7.0,Matt Olson,12.0,Matt Olson,12.0,Ramon Laureano,7.0,Ramon Laureano,7.0,Lorenzo Cain,19.0,Lorenzo Cain,19.0,Omar Narvaez,15.0,Omar Narvaez,15.0,Mark Canha,8.0,Mark Canha,8.0,Omar Narvaez,15.0,Omar Narvaez,15.0
7,Tim Anderson,Tim Anderson,Sean Murphy,Sean Murphy,Nick Solak,Nick Solak,Seth Brown,Seth Brown,Nick Solak,Nick Solak,Seth Brown,Seth Brown,Mark Canha,Mark Canha,Ramon Laureano,Ramon Laureano,Nick Solak,Nick Solak,Ramon Laureano,Ramon Laureano,Tim Anderson,20.0,Tim Anderson,20.0,Sean Murphy,12.0,Sean Murphy,12.0,Nick Solak,5.0,Nick Solak,5.0,Seth Brown,6.0,Seth Brown,6.0,Nick Solak,5.0,Nick Solak,5.0,Seth Brown,6.0,Seth Brown,6.0,Mark Canha,8.0,Mark Canha,8.0,Ramon Laureano,7.0,Ramon Laureano,7.0,Nick Solak,5.0,Nick Solak,5.0,Ramon Laureano,7.0,Ramon Laureano,7.0
8,Whit Merrifield,Whit Merrifield,Seth Brown,Seth Brown,Tim Anderson,Tim Anderson,Tim Anderson,Tim Anderson,Tim Anderson,Tim Anderson,Tim Anderson,Tim Anderson,Salvador Perez,Salvador Perez,Seth Brown,Seth Brown,Omar Narvaez,Omar Narvaez,Seth Brown,Seth Brown,Whit Merrifield,5.0,Whit Merrifield,5.0,Seth Brown,6.0,Seth Brown,6.0,Tim Anderson,20.0,Tim Anderson,20.0,Tim Anderson,20.0,Tim Anderson,20.0,Tim Anderson,20.0,Tim Anderson,20.0,Tim Anderson,20.0,Tim Anderson,20.0,Salvador Perez,7.0,Salvador Perez,7.0,Seth Brown,6.0,Seth Brown,6.0,Omar Narvaez,15.0,Omar Narvaez,15.0,Seth Brown,6.0,Seth Brown,6.0
9,William Contreras,William Contreras,Tim Anderson,Tim Anderson,Yermin Mercedes,Yermin Mercedes,Yermin Mercedes,Yermin Mercedes,Yermin Mercedes,Yermin Mercedes,Yermin Mercedes,Yermin Mercedes,Whit Merrifield,Whit Merrifield,Tim Anderson,Tim Anderson,Ramon Laureano,Ramon Laureano,Tim Anderson,Tim Anderson,William Contreras,9.0,William Contreras,9.0,Tim Anderson,20.0,Tim Anderson,20.0,Yermin Mercedes,5.0,Yermin Mercedes,5.0,Yermin Mercedes,5.0,Yermin Mercedes,5.0,Yermin Mercedes,5.0,Yermin Mercedes,5.0,Yermin Mercedes,5.0,Yermin Mercedes,5.0,Whit Merrifield,5.0,Whit Merrifield,5.0,Tim Anderson,20.0,Tim Anderson,20.0,Ramon Laureano,7.0,Ramon Laureano,7.0,Tim Anderson,20.0,Tim Anderson,20.0
