,team,Name,b_o,pj_vO
0,MIA,Jazz Chisholm Jr.,1,7.29
1,MIA,Miguel Rojas,2,6.17
2,MIA,Jesus Aguilar,3,6.27
3,MIA,Adam Duvall,4,5.29
4,MIA,Corey Dickerson,5,4.49
5,MIA,Brian Anderson,6,3.94
6,MIA,Sandy Leon,7,2.37
7,MIA,Magneuris Sierra,8,1.76
8,PHI,Andrew McCutchen,1,6.7
9,PHI,Jean Segura,2,5.98
10,PHI,Bryce Harper,3,8.82
11,PHI,Rhys Hoskins,4,7.93
12,PHI,Alec Bohm,5,5.66
13,PHI,Odubel Herrera,6,4.87
14,PHI,Andrew Knapp,7,2.58
15,PHI,Nick Maton,8,5.32
16,TB,Randy Arozarena,1,8.38
17,TB,Austin Meadows,2,8.07
18,TB,Ji-Man Choi,3,19.44
19,TB,Brandon Lowe,4,6.76
20,TB,Yandy Diaz,5,6.81
21,TB,Joey Wendle,6,8.09
22,TB,Mike Zunino,7,7.19
23,TB,Brett Phillips,8,5.12
24,TB,Willy Adames,9,5.67
25,BAL,Cedric Mullins,1,5.97
26,BAL,Austin Hays,2,5.96
27,BAL,Trey Mancini,3,5.68
28,BAL,DJ Stewart,4,3.24
29,BAL,Maikel Franco,5,4.02
30,BAL,Freddy Galvis,6,4.28
31,BAL,Ryan Mountcastle,7,3.63
32,BAL,Chance Sisco,8,1.55
33,NYM,Jonathan Villar,1,4.82
34,NYM,Francisco Lindor,2,5.69
35,NYM,Dominic Smith,3,5.11
36,NYM,Pete Alonso,4,7.06
37,NYM,Tomas Nido,5,4.5
38,NYM,Jose Peraza,6,3.57
40,NYM,Johneshwy Fargas,8,7.18
41,ATL,Ronald Acuna Jr.,1,9.95
42,ATL,Freddie Freeman,2,7.99
43,ATL,Marcell Ozuna,3,6.26
44,ATL,Ozzie Albies,4,7.57
45,ATL,Dansby Swanson,5,5.7
46,ATL,Austin Riley,6,6.62
47,ATL,William Contreras,7,7.86
48,ATL,Guillermo Heredia,8,8.02
49,LAD,Will Smith,4,7.62
50,BOS,Kike Hernandez,1,6.7
51,BOS,Alex Verdugo,2,7.64
52,BOS,J.D. Martinez,3,10.02
53,BOS,Xander Bogaerts,4,9.52
54,BOS,Rafael Devers,5,9.46
55,BOS,Christian Vazquez,6,5.93
56,BOS,Hunter Renfroe,7,6.03
57,BOS,Marwin Gonzalez,8,5.35
58,BOS,Bobby Dalbec,9,5.56
59,TOR,Marcus Semien,1,10.42
60,TOR,Bo Bichette,2,11.25
61,TOR,Vladimir Guerrero Jr.,3,11.49
62,TOR,Teoscar Hernandez,4,10.08
63,TOR,Randal Grichuk,5,8.42
64,TOR,Lourdes Gurriel Jr.,6,5.51
65,TOR,Cavan Biggio,7,6.04
66,TOR,Santiago Espinal,8,4.07
67,TOR,Danny Jansen,9,3.69
68,WAS,Trea Turner,1,11.13
69,WAS,Juan Soto,2,9.36
70,WAS,Ryan Zimmerman,3,6.32
71,WAS,Kyle Schwarber,4,8.65
72,WAS,Starlin Castro,5,7.52
73,WAS,Josh Harrison,6,9.35
74,WAS,Yan Gomes,7,7.74
75,WAS,Victor Robles,8,6.4
76,CHC,Willson Contreras,1,10.16
77,CHC,Kris Bryant,2,13.1
78,CHC,Anthony Rizzo,3,9.13
79,CHC,Javier Baez,4,12.16
80,CHC,Matt Duffy,5,5.83
81,CHC,Ian Happ,6,6.48
82,CHC,David Bote,7,4.83
83,CHC,Nico Hoerner,8,8.24
84,CWS,Tim Anderson,1,10.18
85,CWS,Jake Lamb,2,3.77
86,CWS,Yoan Moncada,3,7.78
87,CWS,Yermin Mercedes,4,8.43
88,CWS,Adam Eaton,5,7.33
89,CWS,Yasmani Grandal,6,7.04
90,CWS,Andrew Vaughn,7,6.03
91,CWS,Leury Garcia,8,5.52
92,CWS,Nick Madrigal,9,6.79
93,MIN,Luis Arraez,1,4.43
94,MIN,Josh Donaldson,2,4.89
95,MIN,Jorge Polanco,3,4.89
96,MIN,Max Kepler,4,5.39
97,MIN,Miguel Sano,5,3.24
98,MIN,Trevor Larnach,6,4.1
99,MIN,Kyle Garlick,7,3.16
100,MIN,Andrelton Simmons,8,3.87
101,MIN,Ben Rortvedt,9,1.55
102,PIT,Adam Frazier,1,8.1
103,PIT,Kevin Newman,2,3.9
104,PIT,Bryan Reynolds,3,7.38
105,PIT,Will Craig,4,3.84
106,PIT,Gregory Polanco,5,5.06
107,PIT,Erik Gonzalez,6,3.8
108,PIT,Ka'ai Tom,7,3.7
109,PIT,Michael Perez,8,2.69
110,STL,Tommy Edman,1,5.89
111,STL,Dylan Carlson,2,5.53
112,STL,Paul Goldschmidt,3,6.21
113,STL,Nolan Arenado,4,7.39
114,STL,Yadier Molina,5,6.86
115,STL,Harrison Bader,6,6.8
116,STL,Justin Williams,7,2.54
117,STL,Edmundo Sosa,8,1.05
118,NYY,DJ LeMahieu,1,8.17
119,NYY,Brett Gardner,2,3.29
120,NYY,Aaron Judge,3,11.12
121,NYY,Gio Urshela,4,8.1
122,NYY,Rougned Odor,5,7.32
123,NYY,Gary Sanchez,6,7.18
124,NYY,Miguel Andujar,7,2.01
125,NYY,Mike Ford,8,4.31
127,TEX,Willie Calhoun,1,8.71
128,TEX,Nick Solak,2,9.11
129,TEX,Nate Lowe,3,9.1
130,TEX,Joey Gallo,4,8.46
131,TEX,Adolis Garcia,5,12.31
132,TEX,David Dahl,6,6.37
133,TEX,Isiah Kiner-Falefa,7,9.39
134,TEX,Andy Ibanez,8,1.52
135,TEX,Jonah Heim,9,5.61
136,MIL,Kolten Wong,1,4.85
137,MIL,Lorenzo Cain,2,4.73
138,MIL,Christian Yelich,3,7.03
139,MIL,Avisail Garcia,4,4.43
140,MIL,Tyrone Taylor,5,2.71
141,MIL,Manny Pina,6,2.73
142,MIL,Travis Shaw,7,4.03
143,MIL,Luis Urias,8,3.83
144,MIL,Pablo Reyes,9,2.1
145,KC,Whit Merrifield,1,5.26
146,KC,Carlos Santana,2,4.4
147,KC,Andrew Benintendi,3,3.95
148,KC,Salvador Perez,4,3.82
149,KC,Jorge Soler,5,2.97
150,KC,Kelvin Gutierrez,6,1.17
151,KC,Michael A. Taylor,7,3.08
152,KC,Cam Gallagher,8,1.01
153,KC,Nicky Lopez,9,2.94
154,CLE,Cesar Hernandez,1,6.64
155,CLE,Amed Rosario,2,5.16
156,CLE,Jose Ramirez,3,10.79
157,CLE,Franmil Reyes,4,10.1
158,CLE,Eddie Rosario,5,6.59
159,CLE,Harold Ramirez,6,6.13
160,CLE,Josh Naylor,7,6.05
161,CLE,Yu Chang,8,1.97
162,CLE,Austin Hedges,9,3.97
163,LAA,Taylor Ward,1,4.59
164,LAA,Shohei Ohtani,2,8.82
165,LAA,Anthony Rendon,3,6.35
166,LAA,Jared Walsh,4,7.6
167,LAA,Justin Upton,5,5.01
168,LAA,Phil Gosselin,6,4.3
169,LAA,Jose Iglesias,7,4.48
170,LAA,Jose Rojas,8,3.22
171,LAA,Drew Butera,9,2.46
172,HOU,Jose Altuve,1,7.63
173,HOU,Michael Brantley,2,7.04
174,HOU,Alex Bregman,3,7.5
175,HOU,Yuli Gurriel,4,7.83
176,HOU,Yordan Alvarez,5,8.79
177,HOU,Carlos Correa,6,6.55
178,HOU,Kyle Tucker,7,6.46
179,HOU,Myles Straw,8,5.01
180,HOU,Martin Maldonado,9,3.25
181,OAK,Mark Canha,1,5.62
182,OAK,Seth Brown,2,3.0
183,OAK,Ramon Laureano,3,5.55
184,OAK,Matt Olson,4,5.04
185,OAK,Matt Chapman,5,4.04
186,OAK,Jed Lowrie,6,3.98
187,OAK,Sean Murphy,7,3.77
188,OAK,Chad Pinder,8,2.99
189,OAK,Tony Kemp,9,2.68
190,COL,Garrett Hampson,1,8.5
191,COL,Trevor Story,2,8.44
192,COL,Ryan McMahon,3,8.31
193,COL,C.J. Cron,4,8.04
194,COL,Charlie Blackmon,5,6.15
195,COL,Josh Fuentes,6,5.11
196,COL,Yonathan Daza,7,4.44
197,COL,Elias Diaz,8,2.61
198,SD,Trent Grisham,1,9.8
199,SD,Manny Machado,2,9.39
200,SD,Jake Cronenworth,3,7.77
201,SD,Austin Nola,4,6.81
202,SD,Tommy Pham,5,4.67
203,SD,Ha-Seong Kim,6,4.28
204,SD,Jurickson Profar,7,6.66
205,SD,Jorge Mateo,8,3.04
206,DET,Robbie Grossman,1,7.69
207,DET,Jonathan Schoop,2,3.91
208,DET,Jeimer Candelario,3,5.5
209,DET,Miguel Cabrera,4,4.31
210,DET,Nomar Mazara,5,4.63
