,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab
0,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,,,,,,,,,,
1,Aaron Judge,Aaron Judge,Aaron Judge,Aaron Judge,Aaron Judge,Aaron Judge,8.0,Aaron Judge,8.0,Aaron Judge,8.0,Aaron Judge,8.0,Aaron Judge,8.0
2,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,12.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Adolis Garcia,12.0
3,Brandon Woodruff,Brandon Woodruff,Brandon Woodruff,Brandon Woodruff,Brandon Woodruff,Brandon Woodruff,18.0,Brandon Woodruff,18.0,Brandon Woodruff,18.0,Brandon Woodruff,18.0,Brandon Woodruff,18.0
4,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Gary Sanchez,Gary Sanchez,Gary Sanchez,Isiah Kiner-Falefa,0.0,Isiah Kiner-Falefa,0.0,Gary Sanchez,9.0,Gary Sanchez,9.0,Gary Sanchez,9.0
5,Jameson Taillon,Jameson Taillon,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Jameson Taillon,2.425,Jameson Taillon,2.425,Isiah Kiner-Falefa,0.0,Isiah Kiner-Falefa,0.0,Isiah Kiner-Falefa,0.0
6,Kelvin Gutierrez,Kelvin Gutierrez,Jameson Taillon,Jameson Taillon,Jameson Taillon,Kelvin Gutierrez,6.0,Kelvin Gutierrez,6.0,Jameson Taillon,2.425,Jameson Taillon,2.425,Jameson Taillon,2.425
7,Nate Lowe,Nate Lowe,Kelvin Gutierrez,Kelvin Gutierrez,Kelvin Gutierrez,Nate Lowe,6.0,Nate Lowe,6.0,Kelvin Gutierrez,6.0,Kelvin Gutierrez,6.0,Kelvin Gutierrez,6.0
8,Salvador Perez,Salvador Perez,Nate Lowe,Nate Lowe,Nate Lowe,Salvador Perez,0.0,Salvador Perez,0.0,Nate Lowe,6.0,Nate Lowe,6.0,Nate Lowe,6.0
9,Whit Merrifield,Whit Merrifield,Nick Solak,Nick Solak,Nick Solak,Whit Merrifield,4.0,Whit Merrifield,4.0,Nick Solak,21.0,Nick Solak,21.0,Nick Solak,21.0
10,Willie Calhoun,Willie Calhoun,Willie Calhoun,Willie Calhoun,Willie Calhoun,Willie Calhoun,5.0,Willie Calhoun,5.0,Willie Calhoun,5.0,Willie Calhoun,5.0,Willie Calhoun,5.0
11,101.37,101.37,110.16,110.16,107.21,,61.425,,61.425,,87.425,,87.425,,87.425
