,APPGa,pj_vOa,Name_APPGa,Total_APPGa,Name_pj_vOa,Total_pj_vOa
0,05-18-21,05-18-21,,,,
1,C.J. Cron,C.J. Cron,C.J. Cron,13.0,C.J. Cron,13.0
2,Chris Taylor,Chris Taylor,Chris Taylor,23.0,Chris Taylor,23.0
3,Eric Haase,Eric Haase,Eric Haase,3.0,Eric Haase,3.0
4,Gavin Lux,Gavin Lux,Gavin Lux,23.0,Gavin Lux,23.0
5,Julio Urias,Julio Urias,Julio Urias,29.55,Julio Urias,29.55
6,Manny Machado,Manny Machado,Manny Machado,0.0,Manny Machado,0.0
7,Mitch Haniger,Robbie Grossman,Mitch Haniger,0.0,Robbie Grossman,4.0
8,Spencer Turnbull,Spencer Turnbull,Spencer Turnbull,46.05,Spencer Turnbull,46.05
9,Trent Grisham,Trent Grisham,Trent Grisham,0.0,Trent Grisham,0.0
10,Trevor Story,Trevor Story,Trevor Story,0.0,Trevor Story,0.0
11,103.3,103.34,,137.6,,141.6
