,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,pj_vOa_1-4,pj_vOab_1-4,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4
0,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cesar Hernandez,Cesar Hernandez,C.J. Cron,C.J. Cron,C.J. Cron,Cesar Hernandez,Cesar Hernandez,C.J. Cron,C.J. Cron,C.J. Cron,Andrew Heaney,Andrew Heaney,Andrew Heaney,Andrew Heaney,C.J. Cron,C.J. Cron,Cesar Hernandez,3.0,Cesar Hernandez,3.0,C.J. Cron,13.0,C.J. Cron,13.0,C.J. Cron,13.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,C.J. Cron,13.0,C.J. Cron,13.0,C.J. Cron,13.0,Andrew Heaney,-4.05,Andrew Heaney,-4.05,Andrew Heaney,-4.05,Andrew Heaney,-4.05,C.J. Cron,13.0,C.J. Cron,13.0
2,Cristian Javier,Cristian Javier,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Cristian Javier,Cristian Javier,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,C.J. Cron,C.J. Cron,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Cristian Javier,21.9,Cristian Javier,21.9,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Cristian Javier,21.9,Cristian Javier,21.9,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,C.J. Cron,13.0,C.J. Cron,13.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0
3,Eric Haase,Eric Haase,Cristian Javier,Cristian Javier,Cristian Javier,Eric Haase,Eric Haase,Cristian Javier,Cristian Javier,Cristian Javier,J.P. Crawford,Cesar Hernandez,Cesar Hernandez,Julio Urias,Franmil Reyes,Franmil Reyes,Eric Haase,3.0,Eric Haase,3.0,Cristian Javier,21.9,Cristian Javier,21.9,Cristian Javier,21.9,Eric Haase,3.0,Eric Haase,3.0,Cristian Javier,21.9,Cristian Javier,21.9,Cristian Javier,21.9,J.P. Crawford,0.0,Cesar Hernandez,3.0,Cesar Hernandez,3.0,Julio Urias,29.55,Franmil Reyes,7.0,Franmil Reyes,7.0
4,Jared Walsh,Jared Walsh,Eric Haase,Eric Haase,Eric Haase,Jared Walsh,Jared Walsh,Eric Haase,Eric Haase,Eric Haase,Julio Urias,Eddie Rosario,Cristian Javier,Kyle Seager,Jarred Kelenic,Jose Ramirez,Jared Walsh,0.0,Jared Walsh,0.0,Eric Haase,3.0,Eric Haase,3.0,Eric Haase,3.0,Jared Walsh,0.0,Jared Walsh,0.0,Eric Haase,3.0,Eric Haase,3.0,Eric Haase,3.0,Julio Urias,29.55,Eddie Rosario,7.0,Cristian Javier,21.9,Kyle Seager,0.0,Jarred Kelenic,7.0,Jose Ramirez,18.0
5,Julio Urias,Julio Urias,Franmil Reyes,Franmil Reyes,Franmil Reyes,Julio Urias,Julio Urias,Franmil Reyes,Franmil Reyes,Franmil Reyes,Kyle Seager,Franmil Reyes,Eddie Rosario,Mark Canha,Julio Urias,Julio Urias,Julio Urias,29.55,Julio Urias,29.55,Franmil Reyes,7.0,Franmil Reyes,7.0,Franmil Reyes,7.0,Julio Urias,29.55,Julio Urias,29.55,Franmil Reyes,7.0,Franmil Reyes,7.0,Franmil Reyes,7.0,Kyle Seager,0.0,Franmil Reyes,7.0,Eddie Rosario,7.0,Mark Canha,8.0,Julio Urias,29.55,Julio Urias,29.55
6,Mark Canha,Mark Canha,Harold Ramirez,Harold Ramirez,Harold Ramirez,Mark Canha,Mark Canha,Harold Ramirez,Harold Ramirez,Harold Ramirez,Mark Canha,J.P. Crawford,Franmil Reyes,Matt Olson,Justin Dunn,Justin Dunn,Mark Canha,8.0,Mark Canha,8.0,Harold Ramirez,4.0,Harold Ramirez,4.0,Harold Ramirez,4.0,Mark Canha,8.0,Mark Canha,8.0,Harold Ramirez,4.0,Harold Ramirez,4.0,Harold Ramirez,4.0,Mark Canha,8.0,J.P. Crawford,0.0,Franmil Reyes,7.0,Matt Olson,14.0,Justin Dunn,21.500000000000004,Justin Dunn,21.500000000000004
7,Mitch Haniger,Mitch Haniger,Julio Urias,Julio Urias,Julio Urias,Mitch Haniger,Mitch Haniger,Julio Urias,Julio Urias,Julio Urias,Matt Olson,Julio Urias,J.P. Crawford,Mitch Haniger,Manny Machado,Taylor Ward,Mitch Haniger,0.0,Mitch Haniger,0.0,Julio Urias,29.55,Julio Urias,29.55,Julio Urias,29.55,Mitch Haniger,0.0,Mitch Haniger,0.0,Julio Urias,29.55,Julio Urias,29.55,Julio Urias,29.55,Matt Olson,14.0,Julio Urias,29.55,J.P. Crawford,0.0,Mitch Haniger,0.0,Manny Machado,0.0,Taylor Ward,0.0
8,Phil Gosselin,Phil Gosselin,Manny Machado,Manny Machado,Manny Machado,Phil Gosselin,Phil Gosselin,Manny Machado,Manny Machado,Manny Machado,Mitch Haniger,Manny Machado,Jose Ramirez,Taylor Ward,Trent Grisham,Trent Grisham,Phil Gosselin,0.0,Phil Gosselin,0.0,Manny Machado,0.0,Manny Machado,0.0,Manny Machado,0.0,Phil Gosselin,0.0,Phil Gosselin,0.0,Manny Machado,0.0,Manny Machado,0.0,Manny Machado,0.0,Mitch Haniger,0.0,Manny Machado,0.0,Jose Ramirez,18.0,Taylor Ward,0.0,Trent Grisham,0.0,Trent Grisham,0.0
9,Trent Grisham,Trent Grisham,Trent Grisham,Trent Grisham,Trent Grisham,Trent Grisham,Trent Grisham,Trent Grisham,Trent Grisham,Trent Grisham,Trent Grisham,Trent Grisham,Trent Grisham,Trevor Story,Trevor Story,Trevor Story,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trevor Story,0.0,Trevor Story,0.0,Trevor Story,0.0
