,team,Name,b_o,pj_vO
0,MIA,Jazz Chisholm Jr.,1,7.08
1,MIA,Miguel Rojas,2,6.14
2,MIA,Jesus Aguilar,3,5.97
3,MIA,Adam Duvall,4,5.02
4,MIA,Corey Dickerson,5,4.49
5,MIA,Brian Anderson,6,3.87
6,MIA,Sandy Leon,7,2.32
7,MIA,Magneuris Sierra,8,1.77
8,PHI,Andrew McCutchen,1,6.13
9,PHI,Jean Segura,2,5.74
10,PHI,Bryce Harper,3,8.07
11,PHI,Rhys Hoskins,4,7.24
12,PHI,Alec Bohm,5,5.32
13,PHI,Odubel Herrera,6,4.52
14,PHI,Andrew Knapp,7,2.43
15,PHI,Nick Maton,8,5.06
16,TB,Randy Arozarena,1,8.37
17,TB,Austin Meadows,2,7.99
18,TB,Ji-Man Choi,3,19.71
19,TB,Brandon Lowe,4,6.68
20,TB,Yandy Diaz,5,6.87
21,TB,Joey Wendle,6,8.12
22,TB,Mike Zunino,7,7.03
23,TB,Brett Phillips,8,5.14
24,TB,Willy Adames,9,5.63
25,BAL,Cedric Mullins,1,5.75
26,BAL,Austin Hays,2,5.68
27,BAL,Trey Mancini,3,5.41
28,BAL,DJ Stewart,4,3.13
29,BAL,Maikel Franco,5,3.85
30,BAL,Freddy Galvis,6,4.11
31,BAL,Ryan Mountcastle,7,3.52
32,BAL,Chance Sisco,8,1.57
33,ATL,Ronald Acuna Jr.,1,10.24
34,ATL,Freddie Freeman,2,8.24
35,ATL,Marcell Ozuna,3,6.34
36,ATL,Ozzie Albies,4,7.64
37,ATL,Dansby Swanson,5,5.77
38,ATL,Austin Riley,6,6.64
39,ATL,William Contreras,7,8.07
40,ATL,Guillermo Heredia,8,8.05
41,LAD,Will Smith,4,7.65
42,BOS,Kike Hernandez,1,6.09
43,BOS,Alex Verdugo,2,7.0
44,BOS,J.D. Martinez,3,9.02
45,BOS,Xander Bogaerts,4,8.62
46,BOS,Rafael Devers,5,8.47
47,BOS,Christian Vazquez,6,5.5
48,BOS,Hunter Renfroe,7,5.42
49,BOS,Marwin Gonzalez,8,5.01
50,BOS,Bobby Dalbec,9,5.05
51,TOR,Marcus Semien,1,9.41
52,TOR,Bo Bichette,2,10.17
53,TOR,Vladimir Guerrero Jr.,3,10.29
54,TOR,Teoscar Hernandez,4,9.07
55,TOR,Randal Grichuk,5,7.6
56,TOR,Lourdes Gurriel Jr.,6,5.06
57,TOR,Cavan Biggio,7,5.55
58,TOR,Santiago Espinal,8,3.82
59,TOR,Danny Jansen,9,3.28
60,WAS,Trea Turner,1,11.59
61,WAS,Juan Soto,2,9.66
62,WAS,Ryan Zimmerman,3,6.61
63,WAS,Kyle Schwarber,4,9.01
64,WAS,Starlin Castro,5,7.73
65,WAS,Josh Harrison,6,9.67
66,WAS,Yan Gomes,7,8.08
67,WAS,Victor Robles,8,6.53
68,CHC,Willson Contreras,1,10.85
69,CHC,Kris Bryant,2,13.98
70,CHC,Anthony Rizzo,3,9.6
71,CHC,Javier Baez,4,13.0
72,CHC,Matt Duffy,5,6.05
73,CHC,Ian Happ,6,6.83
74,CHC,David Bote,7,5.08
75,CHC,Nico Hoerner,8,8.45
76,MIN,Luis Arraez,1,4.36
77,MIN,Josh Donaldson,2,4.86
78,MIN,Jorge Polanco,3,4.84
79,MIN,Max Kepler,4,5.36
80,MIN,Miguel Sano,5,3.21
81,MIN,Trevor Larnach,6,4.04
82,MIN,Kyle Garlick,7,3.13
83,MIN,Andrelton Simmons,8,3.83
84,MIN,Ben Rortvedt,9,1.53
85,PIT,Adam Frazier,1,8.36
86,PIT,Kevin Newman,2,4.04
87,PIT,Bryan Reynolds,3,7.65
88,PIT,Will Craig,4,4.04
89,PIT,Gregory Polanco,5,5.24
90,PIT,Erik Gonzalez,6,3.94
91,PIT,Ka'ai Tom,7,3.83
92,PIT,Michael Perez,8,2.81
93,STL,Tommy Edman,1,6.12
94,STL,Dylan Carlson,2,5.81
95,STL,Paul Goldschmidt,3,6.61
96,STL,Nolan Arenado,4,7.91
97,STL,Yadier Molina,5,7.39
98,STL,Harrison Bader,6,7.3
99,STL,Justin Williams,7,2.72
100,STL,Edmundo Sosa,8,1.08
0,MIA,Cody Poteet,SP,22.73
1,PHI,Zack Wheeler,SP,25.14
2,TB,Luis Patino,SP,11.31
3,BAL,Matt Harvey,SP,11.5
4,NYM,Miguel Castro,SP,3.38
5,BOS,Eduardo Rodriguez,SP,16.71
6,TOR,Hyun Jin Ryu,SP,16.17
7,WAS,Patrick Corbin,SP,9.81
8,CHC,Zach Davies,SP,6.04
9,CWS,Lance Lynn,SP,26.2
10,PIT,JT Brubaker,SP,17.73
11,STL,John Gant,SP,13.76
