team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
SF,5/18/2021,1,643565,Mike Tauchman,1,Y,CF
SF,5/18/2021,1,573131,Darin Ruf,2,Y,1B
SF,5/18/2021,1,573262,Mike Yastrzemski,3,Y,RF
SF,5/18/2021,1,446334,Evan Longoria,4,Y,3B
SF,5/18/2021,1,543063,Brandon Crawford,5,Y,SS
SF,5/18/2021,1,527038,Wilmer Flores,6,Y,2B
SF,5/18/2021,1,543105,Alex Dickerson,7,Y,LF
SF,5/18/2021,1,592200,Curt Casali,8,Y,C
SF,5/18/2021,1,543101,Anthony DeSclafani,SP,Y,
CIN,5/18/2021,1,608385,Jesse Winker,1,Y,RF
CIN,5/18/2021,1,592206,Nick Castellanos,2,Y,LF
CIN,5/18/2021,1,553993,Eugenio Suarez,3,Y,3B
CIN,5/18/2021,1,571980,Tyler Naquin,4,Y,CF
CIN,5/18/2021,1,571657,Kyle Farmer,5,Y,SS
CIN,5/18/2021,1,663697,Jonathan India,6,Y,2B
CIN,5/18/2021,1,571466,Tucker Barnhart,7,Y,C
CIN,5/18/2021,1,607468,Alex Blandino,8,Y,1B
CIN,5/18/2021,1,622491,Luis Castillo,SP,Y,
MIA,5/18/2021,1,665862,Jazz Chisholm,1,Y,2B
MIA,5/18/2021,1,500743,Miguel Rojas,2,Y,SS
MIA,5/18/2021,1,542583,Jesus Aguilar,3,Y,1B
MIA,5/18/2021,1,594807,Adam Duvall,4,Y,RF
MIA,5/18/2021,1,572816,Corey Dickerson,5,Y,LF
MIA,5/18/2021,1,605119,Brian Anderson,6,Y,3B
MIA,5/18/2021,1,506702,Sandy Leon,7,Y,C
MIA,5/18/2021,1,642423,Magneuris Sierra,8,Y,CF
MIA,5/18/2021,1,547001,Cody Poteet,SP,Y,
PHI,5/18/2021,1,457705,Andrew McCutchen,1,Y,LF
PHI,5/18/2021,1,516416,Jean Segura,2,Y,2B
PHI,5/18/2021,1,547180,Bryce Harper,3,Y,RF
PHI,5/18/2021,1,656555,Rhys Hoskins,4,Y,1B
PHI,5/18/2021,1,664761,Alec Bohm,5,Y,3B
PHI,5/18/2021,1,546318,Odubel Herrera,6,Y,CF
PHI,5/18/2021,1,595284,Andrew Knapp,7,Y,C
PHI,5/18/2021,1,665155,Nick Maton,8,Y,SS
PHI,5/18/2021,1,554430,Zack Wheeler,SP,Y,
TB,5/18/2021,1,668227,Randy Arozarena,1,Y,RF
