Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2657910137,PrimeTimeMVP415,0,135.45,P Tyler Glasnow P Alex Wood SS Fernando Tatis Jr. OF Trent Grisham OF Shohei Ohtani OF Dylan Carlson 3B Austin Riley 2B David Fletcher 1B Brandon Belt C Max Stassi,,Gio Urshela,3B,60.00%,21
2,2658004334,djallen89,0,121.35,P Tyler Glasnow P Germ?n M?rquez OF Mike Trout SS Fernando Tatis Jr. OF Giancarlo Stanton C Yan Gomes 2B Mike Brosseau 3B Gio Urshela OF Manuel Margot 1B Mike Ford,,Tyler Glasnow,P,50.00%,35.55
3,2657988029,bigpigdaddy,0,114.7,P Zack Greinke P Alex Wood SS Fernando Tatis Jr. OF Marcell Ozuna C Carson Kelly OF Dylan Carlson 1B Brad Miller 3B Gio Urshela OF Austin Hays 2B Nico Hoerner,,Fernando Tatis Jr.,SS,50.00%,14
4,2657031707,Brizzle00,0,105.55,P Tyler Glasnow P Carlos Rod?n 2B Jose Altuve SS Gleyber Torres OF Kyle Tucker 3B Gio Urshela OF Aaron Hicks 1B Brandon Belt C Curt Casali OF George Springer,,Zack Greinke,P,40.00%,6.8
5,2657931948,DavidCiar,0,104.55,P Tyler Glasnow P Carlos Rod?n SS Trea Turner 1B Shohei Ohtani OF Garrett Hampson OF Joey Gallo C Mike Zunino 3B Starlin Castro 2B Jake Cronenworth OF Yonathan Daza,,Alex Wood,P,40.00%,27.9
6,2657820278,kschoon1,0,97.15,P Zack Greinke P Domingo Germ?n OF Mike Trout SS Fernando Tatis Jr. OF Shohei Ohtani OF Jared Walsh 2B Mike Brosseau C Kyle Higashioka 3B Gio Urshela 1B Brandon Belt,,Carlos Rod?n,P,30.00%,0
7,2657860712,xxxStrat9xxx,0,90.9,P Carlos Rod?n P Alex Wood OF Ronald Acu?a Jr. SS Fernando Tatis Jr. 3B Kris Bryant OF Adolis Garc?a C Kyle Higashioka OF Guillermo Heredia 2B Nico Hoerner 1B Mike Ford,,Brandon Belt,1B,30.00%,9
8,2657963250,hailmary317,0,83.15,P Zack Greinke P Domingo Germ?n OF Ronald Acu?a Jr. 1B Vladimir Guerrero Jr. 2B Tommy Edman OF Dylan Carlson 3B Gio Urshela SS Brandon Crawford C Alex Jackson OF George Springer,,Shohei Ohtani,OF,30.00%,5
9,2657838639,Torbo,0,71.8,P Alex Wood P Alex Cobb OF Trent Grisham 2B Jose Altuve C Carson Kelly OF Randy Arozarena 1B Jared Walsh 3B Evan Longoria OF Guillermo Heredia SS Nico Hoerner,,Nico Hoerner,SS,30.00%,2
10,2657908688,Raygun60,0,70.35,P Tyler Glasnow P Zack Greinke SS Tim Anderson 1B Yerm?n Mercedes OF Adam Eaton 2B Rio Ruiz 3B Gio Urshela OF David Dahl OF Willie Calhoun C Alex Jackson,,Dylan Carlson,OF,30.00%,5
,,,,,,,Jose Altuve,2B,20.00%,2
,,,,,,,George Springer,OF,20.00%,0
,,,,,,,Domingo Germ?n,P,20.00%,29.35
,,,,,,,Mike Trout,OF,20.00%,5
,,,,,,,Jared Walsh,OF,20.00%,7
,,,,,,,Mike Brosseau,2B,20.00%,0
,,,,,,,Kyle Higashioka,C,20.00%,0
,,,,,,,Trent Grisham,OF,20.00%,5
,,,,,,,Carson Kelly,C,20.00%,4
,,,,,,,Guillermo Heredia,OF,20.00%,15
,,,,,,,Ronald Acu?a Jr.,OF,20.00%,7
,,,,,,,Mike Ford,1B,20.00%,16
,,,,,,,Alex Jackson,C,20.00%,2
,,,,,,,Gleyber Torres,SS,10.00%,12
,,,,,,,Kyle Tucker,OF,10.00%,14
,,,,,,,Aaron Hicks,OF,10.00%,2
,,,,,,,Curt Casali,C,10.00%,10
,,,,,,,Alex Cobb,P,10.00%,-1.1
,,,,,,,Randy Arozarena,OF,10.00%,3
,,,,,,,Evan Longoria,3B,10.00%,7
,,,,,,,Kris Bryant,3B,10.00%,6
,,,,,,,Adolis Garc?a,OF,10.00%,3
,,,,,,,Tim Anderson,SS,10.00%,0
,,,,,,,Yerm?n Mercedes,1B,10.00%,0
,,,,,,,Adam Eaton,OF,10.00%,0
,,,,,,,Rio Ruiz,2B,10.00%,0
,,,,,,,David Dahl,OF,10.00%,0
,,,,,,,Willie Calhoun,OF,10.00%,5
,,,,,,,Austin Riley,3B,10.00%,29
,,,,,,,David Fletcher,2B,10.00%,5
,,,,,,,Max Stassi,C,10.00%,0
,,,,,,,Trea Turner,SS,10.00%,18
,,,,,,,Garrett Hampson,OF,10.00%,5
,,,,,,,Joey Gallo,OF,10.00%,0
,,,,,,,Mike Zunino,C,10.00%,17
,,,,,,,Starlin Castro,3B,10.00%,5
,,,,,,,Jake Cronenworth,2B,10.00%,14
,,,,,,,Yonathan Daza,OF,10.00%,5
,,,,,,,Vladimir Guerrero Jr.,1B,10.00%,2
,,,,,,,Tommy Edman,2B,10.00%,6
,,,,,,,Brandon Crawford,SS,10.00%,4
,,,,,,,Marcell Ozuna,OF,10.00%,16
,,,,,,,Brad Miller,1B,10.00%,18
,,,,,,,Austin Hays,OF,10.00%,0
,,,,,,,Germ?n M?rquez,P,10.00%,6.8
,,,,,,,Giancarlo Stanton,OF,10.00%,13
,,,,,,,Yan Gomes,C,10.00%,0
,,,,,,,Manuel Margot,OF,10.00%,10
