,APPG,pj_vO,APPG 1-6,pj_vO 1-6,APPG 1-5,pj_vO 1-5,APPG 1-4,pj_vO 1-4,APPG 1-3,pj_vO 1-3,Name_APPG,Total APPG,Name_pj_vO,Total_pj_vO,Name_APPG_1-6,Total_APPG_1-6,Name_APPG_1-5,Total_APPG_1-5,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vO_1-4,Total_pj_vO_1-4
0,4-28-21,4-28-21,4-28-21,4-28-21,4-28-21,4-28-21,4-28-21,4-28-21,4-28-21,4-28-21,,,,,,,,,,,,,,,,
1,Adolis Garcia,Alex Wood,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Adolis Garcia,3.0,Alex Wood,27.900000000000002,Adolis Garcia,3.0,Adolis Garcia,3.0,Alex Wood,27.900000000000002,Adolis Garcia,3.0,Adolis Garcia,3.0,Alex Wood,27.900000000000002
2,Alex Wood,Austin Hays,Alex Wood,Alex Wood,Alex Wood,Alex Wood,Austin Hays,Austin Hays,Brandon Belt,Brandon Belt,Alex Wood,27.900000000000002,Austin Hays,0.0,Alex Wood,27.900000000000002,Alex Wood,27.900000000000002,Austin Hays,0.0,Alex Wood,27.900000000000002,Alex Wood,27.900000000000002,Austin Hays,0.0
3,Carson Kelly,Gio Urshela,Austin Hays,Austin Hays,Austin Hays,Austin Hays,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,4.0,Gio Urshela,21.0,Austin Hays,0.0,Austin Hays,0.0,Carson Kelly,4.0,Austin Hays,0.0,Austin Hays,0.0,Carson Kelly,4.0
4,Dylan Carlson,Guillermo Heredia,Carson Kelly,Carson Kelly,Carson Kelly,Carson Kelly,David Fletcher,David Fletcher,Dylan Carlson,Dylan Carlson,Dylan Carlson,5.0,Guillermo Heredia,15.0,Carson Kelly,4.0,Carson Kelly,4.0,David Fletcher,5.0,Carson Kelly,4.0,Carson Kelly,4.0,David Fletcher,5.0
5,Evan Longoria,Kyle Higashioka,Dylan Carlson,Dylan Carlson,Dylan Carlson,Dylan Carlson,Dylan Carlson,Dylan Carlson,Evan Longoria,Evan Longoria,Evan Longoria,7.0,Kyle Higashioka,0.0,Dylan Carlson,5.0,Dylan Carlson,5.0,Dylan Carlson,5.0,Dylan Carlson,5.0,Dylan Carlson,5.0,Dylan Carlson,5.0
6,Fernando Tatis Jr.,Nick Solak,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,Evan Longoria,Fernando Tatis Jr.,Fernando Tatis Jr.,Fernando Tatis Jr.,14.0,Nick Solak,12.0,Evan Longoria,7.0,Evan Longoria,7.0,Evan Longoria,7.0,Evan Longoria,7.0,Evan Longoria,7.0,Evan Longoria,7.0
7,Guillermo Heredia,Paul DeJong,Fernando Tatis Jr.,Fernando Tatis Jr.,Fernando Tatis Jr.,Fernando Tatis Jr.,Fernando Tatis Jr.,Fernando Tatis Jr.,Manuel Margot,Manuel Margot,Guillermo Heredia,15.0,Paul DeJong,4.0,Fernando Tatis Jr.,14.0,Fernando Tatis Jr.,14.0,Fernando Tatis Jr.,14.0,Fernando Tatis Jr.,14.0,Fernando Tatis Jr.,14.0,Fernando Tatis Jr.,14.0
8,Mike Ford,Ronald Acuna Jr.,Mike Ford,Mike Ford,Mike Ford,Mike Ford,Mark Canha,Mark Canha,Mark Canha,Mark Canha,Mike Ford,16.0,Ronald Acuna Jr.,7.0,Mike Ford,16.0,Mike Ford,16.0,Mark Canha,5.0,Mike Ford,16.0,Mike Ford,16.0,Mark Canha,5.0
9,Nick Solak,Trey Mancini,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Nate Lowe,Nate Lowe,Nick Solak,Nick Solak,Nick Solak,12.0,Trey Mancini,6.0,Nick Solak,12.0,Nick Solak,12.0,Nate Lowe,10.0,Nick Solak,12.0,Nick Solak,12.0,Nate Lowe,10.0
10,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,35.55,Tyler Glasnow,35.55,Tyler Glasnow,35.55,Tyler Glasnow,35.55,Tyler Glasnow,35.55,Tyler Glasnow,35.55,Tyler Glasnow,35.55,Tyler Glasnow,35.55
11,126.37,154.83,125.41,125.41,125.41,125.41,124.22,124.22,123.95999999999998,123.95999999999998,,139.45,,128.45,,124.45,,124.45,,113.45,,124.45,,124.45,,113.45
