Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Joe Musgrove (17384883),Joe Musgrove,17384883,P,10100,PIT@SD 05/03/2021 10:10PM ET,SD,19.21
SP,Yu Darvish (17384831),Yu Darvish,17384831,P,9500,PIT@SD 05/03/2021 10:10PM ET,SD,25.78
SP,Dinelson Lamet (17384985),Dinelson Lamet,17384985,P,9100,PIT@SD 05/03/2021 10:10PM ET,SD,11.3
SP,Blake Snell (17384886),Blake Snell,17384886,P,9000,PIT@SD 05/03/2021 10:10PM ET,SD,15.39
SP,Chris Paddack (17385013),Chris Paddack,17385013,P,8800,PIT@SD 05/03/2021 10:10PM ET,SD,10.66
SP,Mike Clevinger (17384889),Mike Clevinger,17384889,P,8200,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,John Means (17384902),John Means,17384902,P,8000,BAL@SEA 05/03/2021 10:10PM ET,BAL,25.52
RP,Ryan Weathers (17385072),Ryan Weathers,17385072,P,7800,PIT@SD 05/03/2021 10:10PM ET,SD,9.16
SP,Chris Flexen (17384924),Chris Flexen,17384924,P,7200,BAL@SEA 05/03/2021 10:10PM ET,SEA,13.71
SP,Trevor Cahill (17384825),Trevor Cahill,17384825,P,7000,PIT@SD 05/03/2021 10:10PM ET,PIT,8.91
SP,Tyler Anderson (17384875),Tyler Anderson,17384875,P,7000,PIT@SD 05/03/2021 10:10PM ET,PIT,16.04
SP,Chris Stratton (17384908),Chris Stratton,17384908,P,7000,PIT@SD 05/03/2021 10:10PM ET,PIT,2.74
SP,Chad Kuhl (17384954),Chad Kuhl,17384954,P,7000,PIT@SD 05/03/2021 10:10PM ET,PIT,5.81
SP,Mitch Keller (17384975),Mitch Keller,17384975,P,7000,PIT@SD 05/03/2021 10:10PM ET,PIT,5.56
SP,Cody Ponce (17384986),Cody Ponce,17384986,P,7000,PIT@SD 05/03/2021 10:10PM ET,PIT,0
SP,Matt Harvey (17384834),Matt Harvey,17384834,P,7000,BAL@SEA 05/03/2021 10:10PM ET,BAL,12.19
SP,James Paxton (17384839),James Paxton,17384839,P,7000,BAL@SEA 05/03/2021 10:10PM ET,SEA,4.4
SP,Marco Gonzales (17384866),Marco Gonzales,17384866,P,7000,BAL@SEA 05/03/2021 10:10PM ET,SEA,11.27
RP,JT Brubaker (17385009),JT Brubaker,17385009,P,6900,PIT@SD 05/03/2021 10:10PM ET,PIT,18.74
RP,Justin Dunn (17384964),Justin Dunn,17384964,P,6900,BAL@SEA 05/03/2021 10:10PM ET,SEA,11.74
RP,Steven Brault (17384956),Steven Brault,17384956,P,6700,PIT@SD 05/03/2021 10:10PM ET,PIT,0
SP,Yusei Kikuchi (17384853),Yusei Kikuchi,17384853,P,6700,BAL@SEA 05/03/2021 10:10PM ET,SEA,15.08
SP,Justus Sheffield (17384974),Justus Sheffield,17384974,P,6600,BAL@SEA 05/03/2021 10:10PM ET,SEA,12.52
SP,Bruce Zimmermann (17385062),Bruce Zimmermann,17385062,P,6400,BAL@SEA 05/03/2021 10:10PM ET,BAL,8.15
SP,Nick Margevicius (17385063),Nick Margevicius,17385063,P,6400,BAL@SEA 05/03/2021 10:10PM ET,SEA,3.28
SP,Adam Plutko (17384858),Adam Plutko,17384858,P,6300,BAL@SEA 05/03/2021 10:10PM ET,BAL,4.47
SP,Keegan Akin (17384996),Keegan Akin,17384996,P,6100,BAL@SEA 05/03/2021 10:10PM ET,BAL,0
SP,Dean Kremer (17385021),Dean Kremer,17385021,P,6100,BAL@SEA 05/03/2021 10:10PM ET,BAL,5.94
SS,Fernando Tatis Jr. (17385046),Fernando Tatis Jr.,17385046,SS,5900,PIT@SD 05/03/2021 10:10PM ET,SD,11.25
SP,Jorge Lopez (17384885),Jorge Lopez,17384885,P,5900,BAL@SEA 05/03/2021 10:10PM ET,BAL,7.79
SP,Wil Crowe (17384961),Wil Crowe,17384961,P,5700,PIT@SD 05/03/2021 10:10PM ET,PIT,5.18
OF,Trent Grisham (17385000),Trent Grisham,17385000,OF,5600,PIT@SD 05/03/2021 10:10PM ET,SD,9.6
SP,Ljay Newsome (17385017),Ljay Newsome,17385017,P,5600,BAL@SEA 05/03/2021 10:10PM ET,SEA,5.02
RP,Miguel Yajure (17384992),Miguel Yajure,17384992,P,5300,PIT@SD 05/03/2021 10:10PM ET,PIT,6.15
SP,Clay Holmes (17384890),Clay Holmes,17384890,P,5200,PIT@SD 05/03/2021 10:10PM ET,PIT,3.12
SP,Duane Underwood Jr. (17384914),Duane Underwood Jr.,17384914,P,5200,PIT@SD 05/03/2021 10:10PM ET,PIT,4.89
SP,James Marvel (17384935),James Marvel,17384935,P,5200,PIT@SD 05/03/2021 10:10PM ET,PIT,0
SP,Jose Soriano (17385032),Jose Soriano,17385032,P,5200,PIT@SD 05/03/2021 10:10PM ET,PIT,0
SP,Max Kranick (17385044),Max Kranick,17385044,P,5200,PIT@SD 05/03/2021 10:10PM ET,PIT,0
SP,Roansy Contreras (17385054),Roansy Contreras,17385054,P,5200,PIT@SD 05/03/2021 10:10PM ET,PIT,0
SP,Quinn Priester (17385080),Quinn Priester,17385080,P,5200,PIT@SD 05/03/2021 10:10PM ET,PIT,0
OF,Wil Myers (17384841),Wil Myers,17384841,OF,5000,PIT@SD 05/03/2021 10:10PM ET,SD,6.89
3B,Manny Machado (17384857),Manny Machado,17384857,3B,5000,PIT@SD 05/03/2021 10:10PM ET,SD,8.18
1B,Eric Hosmer (17384838),Eric Hosmer,17384838,1B,4900,PIT@SD 05/03/2021 10:10PM ET,SD,8
OF,Bryan Reynolds (17384995),Bryan Reynolds,17384995,OF,4900,PIT@SD 05/03/2021 10:10PM ET,PIT,7.70
2B,Adam Frazier (17384952),Adam Frazier,17384952,2B,4800,PIT@SD 05/03/2021 10:10PM ET,PIT,7.73
1B,Trey Mancini (17384939),Trey Mancini,17384939,1B,4800,BAL@SEA 05/03/2021 10:10PM ET,BAL,7.74
1B,Colin Moran (17384904),Colin Moran,17384904,1B,4700,PIT@SD 05/03/2021 10:10PM ET,PIT,7.30
3B,Ke'Bryan Hayes (17385001),Ke'Bryan Hayes,17385001,3B,4500,PIT@SD 05/03/2021 10:10PM ET,PIT,11
OF,Cedric Mullins (17384993),Cedric Mullins,17384993,OF,4300,BAL@SEA 05/03/2021 10:10PM ET,BAL,8.30
3B,Kyle Seager (17384840),Kyle Seager,17384840,3B,4200,BAL@SEA 05/03/2021 10:10PM ET,SEA,7.29
C,Austin Nola (17384873),Austin Nola,17384873,C,4100,PIT@SD 05/03/2021 10:10PM ET,SD,0
OF,Anthony Santander (17384937),Anthony Santander,17384937,OF,4100,BAL@SEA 05/03/2021 10:10PM ET,BAL,5.2
RP,Craig Stammen (17384824),Craig Stammen,17384824,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,5.47
RP,Mark Melancon (17384827),Mark Melancon,17384827,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,4.35
SP,Drew Pomeranz (17384835),Drew Pomeranz,17384835,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,4.33
RP,Aaron Northcraft (17384842),Aaron Northcraft,17384842,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,4.38
RP,Pierce Johnson (17384843),Pierce Johnson,17384843,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,2.57
RP,Parker Markel (17384847),Parker Markel,17384847,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,Richard Rodriguez (17384856),Richard Rodriguez,17384856,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,4.39
RP,Chasen Shreve (17384860),Chasen Shreve,17384860,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,0
RP,Chase Johnson (17384865),Chase Johnson,17384865,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,Michael Feliz (17384871),Michael Feliz,17384871,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,2.66
RP,Nick Ramirez (17384874),Nick Ramirez,17384874,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,1.15
RP,Kyle Crick (17384884),Kyle Crick,17384884,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,3.49
RP,Daniel Camarena (17384895),Daniel Camarena,17384895,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,Keone Kela (17384901),Keone Kela,17384901,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,4.06
RP,Sam Howard (17384903),Sam Howard,17384903,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,3.39
SP,Nabil Crismatt (17384910),Nabil Crismatt,17384910,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,6.48
RP,Miguel Diaz (17384913),Miguel Diaz,17384913,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,Chase De Jong (17384917),Chase De Jong,17384917,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,0
RP,Austin Adams (17384922),Austin Adams,17384922,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,3.24
RP,Matt Strahm (17384926),Matt Strahm,17384926,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,Trey Wingenter (17384931),Trey Wingenter,17384931,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,Javy Guerra (17384942),Javy Guerra,17384942,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,Taylor Williams (17384949),Taylor Williams,17384949,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,3.44
RP,Emilio Pagan (17384953),Emilio Pagan,17384953,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,3.36
RP,Tyler Bashlor (17384955),Tyler Bashlor,17384955,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,0
RP,Jose Castillo (17384968),Jose Castillo,17384968,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,Dan Altavilla (17384970),Dan Altavilla,17384970,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,2.2
RP,Austin Davis (17384978),Austin Davis,17384978,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,0
RP,James Norwood (17384980),James Norwood,17384980,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,Tim Hill (17384984),Tim Hill,17384984,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,3.43
2B,Jake Cronenworth (17384987),Jake Cronenworth,17384987,2B,4000,PIT@SD 05/03/2021 10:10PM ET,SD,6.97
SP,Anderson Espinoza (17384991),Anderson Espinoza,17384991,P,4000,PIT@SD 05/03/2021 10:10PM ET,SD,0
RP,Blake Cederlind (17385015),Blake Cederlind,17385015,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,0
RP,Kyle Keller (17385016),Kyle Keller,17385016,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,0
RP,Geoff Hartlieb (17385020),Geoff Hartlieb,17385020,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,0
RP,David Bednar (17385027),David Bednar,17385027,P,4000,PIT@SD 05/03/2021 10:10PM ET,PIT,3.12
