Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob deGrom (17383916),Jacob deGrom,17383916,P,11000,NYM@STL 05/03/2021 07:45PM ET,NYM,38.75
SP,Trevor Bauer (17383948),Trevor Bauer,17383948,P,10600,LAD@CHC 05/03/2021 07:40PM ET,LAD,27.85
RP,Corbin Burnes (17384155),Corbin Burnes,17384155,P,10500,MIL@PHI 05/03/2021 07:05PM ET,MIL,30.12
SP,Aaron Nola (17383973),Aaron Nola,17383973,P,9900,MIL@PHI 05/03/2021 07:05PM ET,PHI,21.16
SP,Walker Buehler (17384022),Walker Buehler,17384022,P,9600,LAD@CHC 05/03/2021 07:40PM ET,LAD,19.18
SP,Tony Gonsolin (17384224),Tony Gonsolin,17384224,P,9300,LAD@CHC 05/03/2021 07:40PM ET,LAD,0
SP,Zack Wheeler (17383846),Zack Wheeler,17383846,P,9200,MIL@PHI 05/03/2021 07:05PM ET,PHI,20
SP,Zach Eflin (17384000),Zach Eflin,17384000,P,9100,MIL@PHI 05/03/2021 07:05PM ET,PHI,17
SP,Brandon Woodruff (17383963),Brandon Woodruff,17383963,P,9000,MIL@PHI 05/03/2021 07:05PM ET,MIL,22.46
SP,Clayton Kershaw (17383797),Clayton Kershaw,17383797,P,8900,LAD@CHC 05/03/2021 07:40PM ET,LAD,17.75
SP,Julio Urias (17384047),Julio Urias,17384047,P,8900,LAD@CHC 05/03/2021 07:40PM ET,LAD,23.29
SP,Jack Flaherty (17384112),Jack Flaherty,17384112,P,8700,NYM@STL 05/03/2021 07:45PM ET,STL,20.08
SP,Jose Berrios (17383999),Jose Berrios,17383999,P,8700,TEX@MIN 05/03/2021 07:40PM ET,MIN,20.42
SP,Dustin May (17384216),Dustin May,17384216,P,8600,LAD@CHC 05/03/2021 07:40PM ET,LAD,19.59
RP,Adrian Houser (17383958),Adrian Houser,17383958,P,8600,MIL@PHI 05/03/2021 07:05PM ET,MIL,12.1
SP,Noah Syndergaard (17383904),Noah Syndergaard,17383904,P,8500,NYM@STL 05/03/2021 07:45PM ET,NYM,0
SP,Freddy Peralta (17384052),Freddy Peralta,17384052,P,8500,MIL@PHI 05/03/2021 07:05PM ET,MIL,22.17
SP,Marcus Stroman (17383864),Marcus Stroman,17383864,P,8400,NYM@STL 05/03/2021 07:45PM ET,NYM,18.89
SP,Adam Wainwright (17383780),Adam Wainwright,17383780,P,8000,NYM@STL 05/03/2021 07:45PM ET,STL,16.44
SP,Brett Anderson (17383799),Brett Anderson,17383799,P,8000,MIL@PHI 05/03/2021 07:05PM ET,MIL,8.45
SP,J.A. Happ (17383786),J.A. Happ,17383786,P,7900,TEX@MIN 05/03/2021 07:40PM ET,MIN,16.09
