,team,Name,b_o,pj_vO
0,MIL,Kolten Wong,1,10.59
1,MIL,Daniel Vogelbach,2,5.31
2,MIL,Omar Narvaez,3,10.83
3,MIL,Avisail Garcia,4,10.86
4,MIL,Travis Shaw,5,11.99
5,MIL,Jackie Bradley Jr.,6,7.15
6,MIL,Luis Urias,7,10.13
7,MIL,Billy McKinney,8,6.97
8,PHI,Andrew McCutchen,1,6.22
9,PHI,Rhys Hoskins,2,8.85
10,PHI,Bryce Harper,3,10.27
11,PHI,J.T. Realmuto,4,7.3
12,PHI,Didi Gregorius,5,6.57
13,PHI,Alec Bohm,6,6.41
14,PHI,Nick Maton,7,6.39
15,PHI,Odubel Herrera,8,0.83
16,TEX,Isiah Kiner-Falefa,1,14.15
17,TEX,David Dahl,2,7.88
18,TEX,Joey Gallo,3,9.25
19,TEX,Nate Lowe,4,14.18
20,TEX,Nick Solak,5,14.78
21,TEX,Willie Calhoun,6,13.13
22,TEX,Jose Trevino,7,7.89
23,TEX,Adolis Garcia,8,14.41
24,TEX,Brock Holt,9,7.03
25,MIN,Luis Arraez,1,7.3
26,MIN,Josh Donaldson,2,6.37
27,MIN,Byron Buxton,3,11.19
28,MIN,Nelson Cruz,4,8.12
29,MIN,Alex Kirilloff,5,5.16
30,MIN,Mitch Garver,6,4.57
31,MIN,Jorge Polanco,7,6.18
32,MIN,Max Kepler,8,7.4
33,MIN,Andrelton Simmons,9,6.86
34,LAD,Mookie Betts,1,14.52
35,LAD,Corey Seager,2,15.12
36,LAD,Justin Turner,3,18.31
37,LAD,Max Muncy,4,11.8
38,LAD,Edwin Rios,5,3.3
39,LAD,AJ Pollock,6,13.21
40,LAD,Luke Raley,7,5.94
41,LAD,Austin Barnes,8,5.06
42,CHC,Ian Happ,1,3.46
43,CHC,Willson Contreras,2,6.85
44,CHC,Anthony Rizzo,3,5.95
45,CHC,Kris Bryant,4,9.25
46,CHC,Jake Marisnick,5,4.6
47,CHC,Javier Baez,6,8.89
48,CHC,Jason Heyward,7,4.34
49,CHC,David Bote,8,3.3
50,NYM,Brandon Nimmo,1,7.16
51,NYM,Francisco Lindor,2,4.74
52,NYM,Jeff McNeil,3,5.65
53,NYM,Pete Alonso,4,8.9
54,NYM,Michael Conforto,5,7.04
55,NYM,J.D. Davis,6,8.34
56,NYM,Dominic Smith,7,5.9
57,NYM,James McCann,8,4.18
58,STL,Tommy Edman,1,7.76
59,STL,Dylan Carlson,2,7.79
60,STL,Paul Goldschmidt,3,7.67
61,STL,Nolan Arenado,4,7.69
62,STL,Paul DeJong,5,5.36
63,STL,Tyler O'Neill,6,6.94
64,STL,Andrew Knizner,7,4.67
65,STL,Justin Williams,8,3.24
66,KC,Whit Merrifield,1,7.4
67,KC,Andrew Benintendi,2,6.19
68,KC,Carlos Santana,3,7.11
