Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Max Scherzer (17151729),Max Scherzer,17151729,P,10500,STL@WAS 04/19/2021 07:05PM ET,WAS,24.32
RP,Corbin Burnes (17151731),Corbin Burnes,17151731,P,10400,MIL@SD 04/19/2021 10:10PM ET,MIL,33.22
SP,Tyler Glasnow (17151730),Tyler Glasnow,17151730,P,10400,TB@KC 04/19/2021 08:10PM ET,TB,30.48
SP,Joe Musgrove (17151326),Joe Musgrove,17151326,P,10200,MIL@SD 04/19/2021 10:10PM ET,SD,25.19
SP,Trevor Bauer (17151732),Trevor Bauer,17151732,P,10100,LAD@SEA 04/19/2021 10:10PM ET,LAD,28.42
SP,Clayton Kershaw (17151733),Clayton Kershaw,17151733,P,10000,LAD@SEA 04/19/2021 10:10PM ET,LAD,22.28
SP,Yu Darvish (17151734),Yu Darvish,17151734,P,9900,MIL@SD 04/19/2021 10:10PM ET,SD,22.22
SP,Walker Buehler (17151735),Walker Buehler,17151735,P,9800,LAD@SEA 04/19/2021 10:10PM ET,LAD,16.57
SP,Dustin May (17151327),Dustin May,17151327,P,9700,LAD@SEA 04/19/2021 10:10PM ET,LAD,22.02
SP,Freddy Peralta (17151736),Freddy Peralta,17151736,P,9600,MIL@SD 04/19/2021 10:10PM ET,MIL,22.48
SP,Jimmy Nelson (17151737),Jimmy Nelson,17151737,P,9500,LAD@SEA 04/19/2021 10:10PM ET,LAD,3.67
SP,Johnny Cueto (17151738),Johnny Cueto,17151738,P,9400,SF@PHI 04/19/2021 07:05PM ET,SF,23.6
SP,Chris Paddack (17151739),Chris Paddack,17151739,P,9300,MIL@SD 04/19/2021 10:10PM ET,SD,9.95
SP,Zack Wheeler (17151741),Zack Wheeler,17151741,P,9200,SF@PHI 04/19/2021 07:05PM ET,PHI,19.37
SP,Dinelson Lamet (17151740),Dinelson Lamet,17151740,P,9200,MIL@SD 04/19/2021 10:10PM ET,SD,0
SP,Zach Eflin (17151742),Zach Eflin,17151742,P,9100,SF@PHI 04/19/2021 07:05PM ET,PHI,18.53
SP,Brandon Woodruff (17151328),Brandon Woodruff,17151328,P,9000,MIL@SD 04/19/2021 10:10PM ET,MIL,19.95
SP,Julio Urias (17151743),Julio Urias,17151743,P,9000,LAD@SEA 04/19/2021 10:10PM ET,LAD,16.93
SP,Aaron Nola (17151744),Aaron Nola,17151744,P,8900,SF@PHI 04/19/2021 07:05PM ET,PHI,23.22
SP,Blake Snell (17151745),Blake Snell,17151745,P,8900,MIL@SD 04/19/2021 10:10PM ET,SD,13.82
SP,Zack Brown (17151746),Zack Brown,17151746,P,8900,MIL@SD 04/19/2021 10:10PM ET,MIL,0
SP,Patrick Corbin (17151747),Patrick Corbin,17151747,P,8800,STL@WAS 04/19/2021 07:05PM ET,WAS,-8.18
SP,Rich Hill (17151748),Rich Hill,17151748,P,8700,TB@KC 04/19/2021 08:10PM ET,TB,8.75
RP,Josh Lindblom (17151751),Josh Lindblom,17151751,P,8600,MIL@SD 04/19/2021 10:10PM ET,MIL,1.19
SP,Tony Gonsolin (17151749),Tony Gonsolin,17151749,P,8600,LAD@SEA 04/19/2021 10:10PM ET,LAD,0
SP,David Price (17151750),David Price,17151750,P,8600,LAD@SEA 04/19/2021 10:10PM ET,LAD,4.57
SP,Anthony DeSclafani (17151756),Anthony DeSclafani,17151756,P,8500,SF@PHI 04/19/2021 07:05PM ET,SF,14.86
SP,Jack Flaherty (17151329),Jack Flaherty,17151329,P,8500,STL@WAS 04/19/2021 07:05PM ET,STL,16.57
SP,Stephen Strasburg (17151753),Stephen Strasburg,17151753,P,8500,STL@WAS 04/19/2021 07:05PM ET,WAS,10.45
RP,Ray Black (17151752),Ray Black,17151752,P,8500,MIL@SD 04/19/2021 10:10PM ET,MIL,0
SP,Eric Lauer (17151755),Eric Lauer,17151755,P,8500,MIL@SD 04/19/2021 10:10PM ET,MIL,0
SP,Chris Archer (17151754),Chris Archer,17151754,P,8500,TB@KC 04/19/2021 08:10PM ET,TB,5.48
RP,Adrian Houser (17151757),Adrian Houser,17151757,P,8400,MIL@SD 04/19/2021 10:10PM ET,MIL,11.02
SP,Brent Suter (17151758),Brent Suter,17151758,P,8400,MIL@SD 04/19/2021 10:10PM ET,MIL,3.3
SP,Adonis Medina (17151761),Adonis Medina,17151761,P,8300,SF@PHI 04/19/2021 07:05PM ET,PHI,0
SP,JoJo Romero (17151762),JoJo Romero,17151762,P,8300,SF@PHI 04/19/2021 07:05PM ET,PHI,-3.23
SP,Logan Webb (17151763),Logan Webb,17151763,P,8300,SF@PHI 04/19/2021 07:05PM ET,SF,8.5
RP,Dakota Hudson (17151759),Dakota Hudson,17151759,P,8300,STL@WAS 04/19/2021 07:05PM ET,STL,0
SP,Miles Mikolas (17151760),Miles Mikolas,17151760,P,8300,STL@WAS 04/19/2021 07:05PM ET,STL,0
SP,Alex Reyes (17151764),Alex Reyes,17151764,P,8300,STL@WAS 04/19/2021 07:05PM ET,STL,3.14
SP,Spencer Howard (17151767),Spencer Howard,17151767,P,8200,SF@PHI 04/19/2021 07:05PM ET,PHI,0.45
RP,Josh Hader (17151765),Josh Hader,17151765,P,8200,MIL@SD 04/19/2021 10:10PM ET,MIL,7.91
SP,Griffin Canning (17151766),Griffin Canning,17151766,P,8200,TEX@LAA 04/19/2021 09:38PM ET,LAA,14.02
SP,Enyel De Los Santos (17151769),Enyel De Los Santos,17151769,P,8100,SF@PHI 04/19/2021 07:05PM ET,PHI,0
RP,Daniel Ponce de Leon (17151768),Daniel Ponce de Leon,17151768,P,8100,STL@WAS 04/19/2021 07:05PM ET,STL,-1.83
SP,Drew Pomeranz (17151770),Drew Pomeranz,17151770,P,8100,MIL@SD 04/19/2021 10:10PM ET,SD,4.82
SP,Adrian Morejon (17151771),Adrian Morejon,17151771,P,8100,MIL@SD 04/19/2021 10:10PM ET,SD,4.15
SP,Vince Velasquez (17151772),Vince Velasquez,17151772,P,8000,SF@PHI 04/19/2021 07:05PM ET,PHI,4.13
SP,Carlos Martinez (17151773),Carlos Martinez,17151773,P,8000,STL@WAS 04/19/2021 07:05PM ET,STL,4.65
RP,Ryan Weathers (17151774),Ryan Weathers,17151774,P,8000,MIL@SD 04/19/2021 10:10PM ET,SD,9.89
SP,Tyler Beede (17151776),Tyler Beede,17151776,P,7900,SF@PHI 04/19/2021 07:05PM ET,SF,0
SP,Joe Ross (17151330),Joe Ross,17151330,P,7900,STL@WAS 04/19/2021 07:05PM ET,WAS,20.68
SP,Genesis Cabrera (17151777),Genesis Cabrera,17151777,P,7900,STL@WAS 04/19/2021 07:05PM ET,STL,3.29
SP,Adam Wainwright (17151779),Adam Wainwright,17151779,P,7900,STL@WAS 04/19/2021 07:05PM ET,STL,7.17
SP,Brett Anderson (17151778),Brett Anderson,17151778,P,7900,MIL@SD 04/19/2021 10:10PM ET,MIL,13.62
RP,Mike Kickham (17151775),Mike Kickham,17151775,P,7900,LAD@SEA 04/19/2021 10:10PM ET,LAD,0
RP,Andrew Miller (17151783),Andrew Miller,17151783,P,7800,STL@WAS 04/19/2021 07:05PM ET,STL,0.93
SP,Mike Clevinger (17151780),Mike Clevinger,17151780,P,7800,MIL@SD 04/19/2021 10:10PM ET,SD,0
SP,Trevor Richards (17151782),Trevor Richards,17151782,P,7800,TB@KC 04/19/2021 08:10PM ET,TB,5.82
SP,Yusei Kikuchi (17151781),Yusei Kikuchi,17151781,P,7800,LAD@SEA 04/19/2021 10:10PM ET,SEA,15.45
SP,Jon Lester (17151784),Jon Lester,17151784,P,7700,STL@WAS 04/19/2021 07:05PM ET,WAS,0
RP,Chris Mazza (17151785),Chris Mazza,17151785,P,7700,TB@KC 04/19/2021 08:10PM ET,TB,-1.89
SP,Dylan Bundy (17151331),Dylan Bundy,17151331,P,7700,TEX@LAA 04/19/2021 09:38PM ET,LAA,20.25
SP,Matt Moore (17151790),Matt Moore,17151790,P,7600,SF@PHI 04/19/2021 07:05PM ET,PHI,3.05
RP,Kwang Hyun Kim (17151786),Kwang Hyun Kim,17151786,P,7600,STL@WAS 04/19/2021 07:05PM ET,STL,4.55
SP,Jake Woodford (17151787),Jake Woodford,17151787,P,7600,STL@WAS 04/19/2021 07:05PM ET,STL,5.1
SP,Yonny Chirinos (17151788),Yonny Chirinos,17151788,P,7600,TB@KC 04/19/2021 08:10PM ET,TB,0
SP,Michael Wacha (17151789),Michael Wacha,17151789,P,7600,TB@KC 04/19/2021 08:10PM ET,TB,17.45
SP,Aaron Sanchez (17151796),Aaron Sanchez,17151796,P,7500,SF@PHI 04/19/2021 07:05PM ET,SF,12.33
RP,Giovanny Gallegos (17151791),Giovanny Gallegos,17151791,P,7500,STL@WAS 04/19/2021 07:05PM ET,STL,6.75
SP,Angel Perdomo (17151792),Angel Perdomo,17151792,P,7500,MIL@SD 04/19/2021 10:10PM ET,MIL,4.27
SP,Ethan Small (17151793),Ethan Small,17151793,P,7500,MIL@SD 04/19/2021 10:10PM ET,MIL,0
SP,Aaron Ashby (17151794),Aaron Ashby,17151794,P,7500,MIL@SD 04/19/2021 10:10PM ET,MIL,0
SP,Drew Rasmussen (17151795),Drew Rasmussen,17151795,P,7500,MIL@SD 04/19/2021 10:10PM ET,MIL,0.9
SP,Alex Wood (17151799),Alex Wood,17151799,P,7400,SF@PHI 04/19/2021 07:05PM ET,SF,21.45
RP,Daniel Hudson (17151797),Daniel Hudson,17151797,P,7400,STL@WAS 04/19/2021 07:05PM ET,WAS,5.3
SP,Ryan Yarbrough (17151798),Ryan Yarbrough,17151798,P,7400,TB@KC 04/19/2021 08:10PM ET,TB,9.54
SP,Dane Dunning (17151800),Dane Dunning,17151800,P,7400,TEX@LAA 04/19/2021 09:38PM ET,TEX,20.18
SP,Jordan Zimmermann (17151805),Jordan Zimmermann,17151805,P,7300,MIL@SD 04/19/2021 10:10PM ET,MIL,0
RP,Luis Patino (17151801),Luis Patino,17151801,P,7300,TB@KC 04/19/2021 08:10PM ET,TB,0
SP,Mike Minor (17151802),Mike Minor,17151802,P,7300,TB@KC 04/19/2021 08:10PM ET,KC,10.88
SP,Jose Suarez (17151803),Jose Suarez,17151803,P,7300,TEX@LAA 04/19/2021 09:38PM ET,LAA,0
SP,Alex Cobb (17151804),Alex Cobb,17151804,P,7300,TEX@LAA 04/19/2021 09:38PM ET,LAA,21.62
SP,James Paxton (17151806),James Paxton,17151806,P,7300,LAD@SEA 04/19/2021 10:10PM ET,SEA,4.4
RP,Seth Elledge (17151807),Seth Elledge,17151807,P,7200,STL@WAS 04/19/2021 07:05PM ET,STL,0
SP,Josh Fleming (17151332),Josh Fleming,17151332,P,7200,TB@KC 04/19/2021 08:10PM ET,TB,9.65
RP,Ryan Helsley (17151808),Ryan Helsley,17151808,P,7100,STL@WAS 04/19/2021 07:05PM ET,STL,3.26
SP,Erick Fedde (17151811),Erick Fedde,17151811,P,7100,STL@WAS 04/19/2021 07:05PM ET,WAS,11.37
SP,Jaime Barria (17151809),Jaime Barria,17151809,P,7100,TEX@LAA 04/19/2021 09:38PM ET,LAA,-15.5
