"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Brandon Nimmo","NYM","12","38","47","17","14","3","0","0","5","4","8","0","10","0","0","1","0","2","0",".447","12927"
"Ronald Acuna Jr.","ATL","16","62","72","26","12","6","1","7","21","16","9","0","10","0","1","0","0","3","0",".419","18401"
"Justin Turner","LAD","15","59","68","24","12","7","0","5","14","16","7","0","14","1","1","0","1","0","0",".407","5235"
"Yermin Mercedes","CHW","15","57","61","23","15","4","0","4","7","12","4","0","9","0","0","0","1","0","0",".404","17423"
"Nelson Cruz","MIN","13","41","47","16","10","2","0","4","9","10","3","0","9","1","2","0","1","0","0",".390","2434"
"Vladimir Guerrero Jr.","TOR","16","54","67","21","14","3","0","4","10","11","11","0","11","2","0","0","1","1","0",".389","19611"
"Xander Bogaerts","BOS","15","57","62","22","16","6","0","0","6","4","5","1","12","0","0","0","1","1","0",".386","12161"
"J.D. Martinez","BOS","15","60","66","23","10","7","0","6","15","20","6","0","13","0","0","0","3","0","0",".383","6184"
"Yuli Gurriel","HOU","15","53","65","19","14","4","0","1","5","5","12","0","7","0","0","0","1","0","0",".358","19198"
"Cedric Mullins II","BAL","16","62","68","22","14","7","0","1","8","4","6","0","16","0","0","0","0","2","1",".355","17929"
"Mike Trout","LAA","14","48","61","17","9","4","0","4","12","10","13","3","19","0","0","0","0","0","0",".354","10155"
"Jean Segura","PHI","16","58","62","20","15","4","0","1","7","5","3","1","10","0","1","0","4","1","0",".345","5933"
"Jared Walsh","LAA","13","44","51","15","8","2","1","4","10","13","5","0","8","2","0","0","0","0","0",".341","18607"
"Joey Wendle","TBR","15","53","56","18","11","4","0","3","13","11","1","0","11","2","0","0","3","0","0",".340","13853"
"Jed Lowrie","OAK","15","54","61","18","12","4","0","2","10","12","7","0","10","0","0","0","0","0","0",".333","4418"
"Bryce Harper","PHI","15","49","61","16","10","3","0","3","9","7","11","2","12","1","0","0","1","1","0",".327","11579"
"Jazz Chisholm","MIA","14","40","51","13","6","3","1","3","8","6","9","0","13","1","1","0","0","3","0",".325","20454"
