team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
KC,4/24/2021,1,593160,Whit Merrifield,1,Y,2B
KC,4/24/2021,1,467793,Carlos Santana,2,Y,1B
KC,4/24/2021,1,521692,Salvador Perez,3,Y,DH
KC,4/24/2021,1,624585,Jorge Soler,4,Y,RF
KC,4/24/2021,1,641531,Hunter Dozier,5,Y,3B
KC,4/24/2021,1,593643,Hanser Alberto,6,Y,SS
KC,4/24/2021,1,643217,Andrew Benintendi,7,Y,LF
KC,4/24/2021,1,572191,Michael Taylor,8,Y,CF
KC,4/24/2021,1,595956,Cam Gallagher,9,Y,C
KC,4/24/2021,1,663903,Brady Singer,SP,Y,
DET,4/24/2021,1,543257,Robbie Grossman,1,Y,DH
DET,4/24/2021,1,668731,Akil Baddoo,2,Y,LF
DET,4/24/2021,1,600869,Jeimer Candelario,3,Y,3B
DET,4/24/2021,1,467092,Wilson Ramos,4,Y,C
DET,4/24/2021,1,650489,Willi Castro,5,Y,SS
DET,4/24/2021,1,570731,Jonathan Schoop,6,Y,1B
DET,4/24/2021,1,605612,Harold Castro,7,Y,2B
DET,4/24/2021,1,622682,Victor Reyes,8,Y,RF
DET,4/24/2021,1,592444,JaCoby Jones,9,Y,CF
DET,4/24/2021,1,571510,Matt Boyd,SP,Y,
SEA,4/24/2021,1,571745,Mitch Haniger,1,Y,RF
SEA,4/24/2021,1,664034,Ty France,2,Y,2B
SEA,4/24/2021,1,572122,Kyle Seager,3,Y,3B
SEA,4/24/2021,1,592530,Jose Marmolejos,4,Y,DH
SEA,4/24/2021,1,657108,Evan White,5,Y,1B
SEA,4/24/2021,1,666211,Taylor Trammell,6,Y,CF
SEA,4/24/2021,1,620443,Luis Torrens,7,Y,C
SEA,4/24/2021,1,664059,Sam Haggerty,8,Y,LF
SEA,4/24/2021,1,641487,J.P. Crawford,9,Y,SS
SEA,4/24/2021,1,623167,Chris Flexen,SP,Y,
BOS,4/24/2021,1,624414,Christian Arroyo,1,Y,2B
BOS,4/24/2021,1,657077,Alex Verdugo,2,Y,CF
BOS,4/24/2021,1,502110,J.D. Martinez,3,Y,DH
